"IDRSSD"	RCFD0426	RCFD2150	RCFD2651	RCFD3164	RCFD3190	RCFD4088	RCFD5507	RCFD6164	RCFD6165	RCFDA590	RCFDB026	RCFDB569	RCFDB570	RCFDB571	RCFDF055	RCFDF056	RCFDF057	RCFDF058	RCFDF059	RCFDF060	RCFDF061	RCFDF062	RCFDF063	RCFDF065	RCFDJ461	RCFDJ462	RCFDK178	RCFDK179	RCFDK180	RCFDK181	RCFDK182	RCFDK183	RCFDK184	RCFDK185	RCFDK186	RCFDK192	RCFDK193	RCFDK194	RCFDK273	RCFN5513	RCFNK260	RCFNK290	RCON0426	RCON2150	RCON2651	RCON3164	RCON3190	RCON4088	RCON5507	RCON5508	RCON5509	RCON5510	RCON5511	RCON5512	RCON6164	RCON6165	RCONA590	RCONB026	RCONB569	RCONB570	RCONB571	RCONC979	RCONF055	RCONF056	RCONF057	RCONF058	RCONF059	RCONF060	RCONF061	RCONF062	RCONF063	RCONF064	RCONF065	RCONG463	RCONG464	RCONJ461	RCONJ462	RCONK169	RCONK170	RCONK171	RCONK172	RCONK173	RCONK174	RCONK175	RCONK176	RCONK177	RCONK178	RCONK179	RCONK180	RCONK181	RCONK182	RCONK183	RCONK184	RCONK185	RCONK186	RCONK187	RCONK188	RCONK189	RCONK190	RCONK191	RCONK192	RCONK193	RCONK194	RCONK273	TEXT4087	
325534																																											1603	1274	0	1603	0	true	0	628	0	155	0	491	1121	1	1664	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	http://www.byronbank.com	
325824																																											0	764	0	0	0	true	0	0	0	764	0	0	619	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	http://online.fnbwellston.com	
326054																																											0	1639	0	0	15000	true	0	1519	0	0	0	120	2223	1	0	0	false	0	0	0	0	0	0	15000	15000	0	0	0	0	0	0	true	false	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	http://www.silverlakebank.com	
326344																																											558	18	1000	0	1000	true	558	0	0	10	0	8	2388	3	0	0	true	0	0	0	1000	0	0	0	0	0	0	0	0	4925	0	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	www.psbnewton.com	
326858																																											551	1195	1300	551	3325	true	0	960	0	235	0	0	4477	1	551	0	true	0	2025	0	1300	0	0	0	0	2025	0	0	0	0	2025	true	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	WWW.FNBSF.COM	
326979																																											0	0	3500	0	11970	true	0	0	0	0	0	0	1426	1	0	0	true	0	0	0	3507	6702	1629	132	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	http://greenfieldcoopbank.com	
327015																																											0	686	0	0	3255	true	0	0	0	138	548	0	1162	1	0	0	false	0	0	0	0	281	353	2621	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	www.saltlickdepositbank.com	
327220																																											133	40	12	133	6858	true	0	0	0	40	0	0	381	0	283	0	false	0	0	0	12	622	0	6224	1000	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	www.farmersstate-oh.com	
327305																																											387	371	3908	0	30386	true	387	35	0	313	0	23	10530	3	0	0	true	0	0	0	3908	23021	3271	186	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	http://www.katahdintrust.com	
327435																																											0	7590	0	0	14707	true	0	1239	0	5066	0	1285	5003	2	0	0	true	0	0	0	0	11425	3275	0	0	7	0	0	0	0	0	true	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	unitedsouthernbank.com	
327453																																											1187	3165	5000	0	5000	true	1187	1272	10	687	0	1196	166	0	0	0	true	0	0	0	5000	0	0	0	0	0	0	0	0	0	0	true	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	www.1stsouth.com	
327556																																											0	0	0	0	5585	true	0	0	0	0	0	0	399	0	0	0	false	0	0	0	4133	128	281	1043	0	0	0	0	0	0	0	true	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	www.fnbtexhoma.com	
327855																																											0	1911	23	0	630	true	0	1387	0	0	0	524	6176	4	0	0	true	0	0	0	23	42	0	565	0	0	0	0	0	0	0	true	false	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	http://www.fnbgraham.com	
327949																																											0	881	0	0	0	true	0	0	0	881	0	0	0	0	0	0	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	http://FCBBANKS.COM	
328058																																											0	77	0	0	78	true	0	0	0	0	0	77	230	0	0	0	false	0	0	0	0	0	0	0	0	78	0	0	0	0	0	true	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	http://www.fnbthomas.com	
328151																																											0	0	0	0	0	true	0	0	0	0	0	0	32	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	www.csbmiltonvale.net	
328357																																											18	695	0	0	0	true	18	0	0	695	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	http://www.titanbank.com	
328423																																											1272	4658	0	178	5915	true	1094	2431	0	801	0	1088	3135	2	178	0	true	0	915	338	5000	0	0	0	0	915	0	0	0	0	0	true	false	0	63	0	0	0	0	926	0	1433	16282	9808	0	8919	0	0	0	0	0	0	0	0	0	338	0	0	270	0	0	0	www.nbtdirect.com	
328450																																											0	810	0	0	3015	true	0	0	470	246	0	94	1315	0	0	0	false	0	0	0	0	1026	960	1029	0	0	0	0	0	0	0	true	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	http://www.chickashabank.com	
328656																																											0	0	0	0	3500	true	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	3000	500	0	0	0	0	0	0	0	0	true	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	www.fsbadams.com	
328777																																											15242	4829	18000	542	155061	true	14700	1674	0	2791	0	364	5808	2	542	0	true	0	0	0	128000	27000	0	0	135000	0	0	61	0	0	0	false	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	www.firstsavingsonline.com	
329149																																											0	47	0	0	8200	true	0	0	0	0	0	47	2091	2	0	0	false	0	0	0	2200	6000	0	0	0	0	0	0	0	0	0	true	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	www.bankplusiowa.com	
329345																																											920	1359	0	0	583	true	920	0	0	232	0	1127	4200	2	0	0	true	0	0	0	0	0	0	0	0	0	0	0	583	0	0	false	true	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	www.firstbankar.com	
329550																																											0	6266	0	0	0	true	0	1490	0	2712	0	2064	1777	1	0	0	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	www.insouth.com	
329756																																											0	515	0	0	198	true	0	0	0	0	0	515	588	0	0	0	false	0	0	0	198	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	www.fnbsk.com	
329952																																											0	1871	0	0	0	true	0	736	0	837	0	298	828	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	www.fnbgranbury.com	
330239																																											8	745	4650	0	21250	false	8	0	0	745	0	0	556	0	0	0	false	0	0	0	4650	16600	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	http://www.fnbhamilton.com	
330248																																											0	109	0	0	267	true	0	109	0	0	0	0	158	0	0	0	true	0	267	0	0	0	0	0	0	267	0	0	0	0	267	true	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	http://www.fnbnokomis.com	
330453																																											0	0	0	0	70	true	0	0	0	0	0	0	0	0	0	0	false	0	10	0	0	0	0	0	0	10	41	16	3	0	0	true	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	http://www.alturastatebank.com	
330855																																											706	6879	0	0	79456	true	706	5062	0	862	0	955	16309	4	0	0	true	0	0	0	15000	0	0	62500	0	1292	604	60	0	0	1956	true	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	http://www.bankofmissouri.com	
330873																																											263	271	1957	262	7457	true	1	0	0	271	0	0	1863	2	364	0	false	0	0	0	1957	0	0	5500	5500	0	0	0	0	0	0	true	false	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	http://www.wakefieldcoop.com	
330949																																											0	1457	1591	0	7661	true	0	1457	0	0	0	0	1778	1	0	0	false	0	0	0	1591	2158	1460	2452	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	http://www.mtownbank.com	
331375																																											0	0	3000	0	25000	true	0	0	0	0	0	0	188	0	0	0	false	0	0	0	3000	9000	8000	5000	12000	0	0	0	0	0	0	true	false	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	http://www.bankgloucester.com	
331544																																											0	11	0	0	0	true	0	11	0	0	0	0	251	0	0	0	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	http://www.richlandcountybank.com	
331553																																											0	0	0	0	0	true	0	0	0	0	0	0	478	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	http://www.nekomasb.com	
331713																																											0	199	15000	0	35000	true	0	0	0	199	0	0	4614	2	0	0	false	0	0	0	20000	15000	0	0	0	0	0	0	0	0	0	true	false	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	http://www.newtripolibank.net	
332055																																											0	563	0	0	0	true	0	0	195	368	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	http://www.firstbankks.com	
332224																																											63	2720	21	63	740	true	0	54	0	248	0	2418	2650	1	63	0	false	0	0	0	21	44	47	628	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	http://www.mfbonline.com	
332345																																											0	0	0	0	0	false	0	0	0	0	0	0	122	1	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
332402																																											830	1380	0	830	14541	true	0	0	0	0	0	1380	1220	1	870	0	false	0	0	0	9000	2857	2684	0	0	0	0	0	0	0	0	true	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	www.randolphsavings.com	
332756																																											0	0	0	0	0	true	0	0	0	0	0	0	501	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	www.adamsstate.com	
333034																																											0	4204	5600	0	5600	true	0	1925	0	773	0	1506	313	0	0	0	false	0	0	0	5600	0	0	0	0	0	0	0	0	0	0	true	false	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	www.cbjc.com	
333052																																											0	140	0	0	0	true	0	0	0	88	0	52	284	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	FNBBATTLELAKE.COM	
333203																																											697	1410	1705	687	26892	true	0	342	0	510	265	293	4729	2	701	10	false	0	153	0	1705	5548	4884	14602	0	153	0	0	0	0	153	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	http://www.unionbankvt.com	
333650																																											1448	185	0	0	3277	true	1448	0	0	105	0	80	2688	2	0	0	false	0	0	0	0	0	2000	1277	0	0	0	0	0	0	0	true	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	http://www.thebankks.com	
333856																																											0	250	0	0	0	true	0	0	0	0	0	250	10	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	http://grandviewbank.com	
333940																																											0	820	0	0	0	true	0	820	0	0	0	0	2199	2	0	0	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	http://fnbokaw.com	
334255																																											0	442	0	0	2000	true	0	0	0	442	0	0	20	0	0	0	false	0	0	0	2000	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	http://www.blainestatebank.com	
334264																																											0	2643	0	0	263	true	0	175	0	38	0	2430	2286	2	0	0	false	0	0	0	0	0	0	263	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	www.fcbweb.net	
334648																																											0	305	0	0	0	true	0	290	0	15	0	0	107	0	0	0	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	http://www.tsbbank.com	
334657																																											0	409	1000	0	1827	true	0	32	0	246	0	131	448	0	0	0	false	0	17	0	1000	0	0	685	0	17	71	37	17	0	142	true	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	http://www.fmbankmn.com	
335346																																											0	14	0	0	0	true	0	14	0	0	0	0	1967	2	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	http://www.hnb.com	
335355																																											0	1262	13750	0	23371	true	0	0	0	510	0	752	2809	1	0	0	false	0	1621	0	13750	8000	0	0	5000	1621	0	0	0	0	1621	true	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	www.2riversbank.com	
335757																																											0	0	0	0	0	false	0	0	0	0	0	0	417	2	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
336147																																											0	0	0	0	10053	true	0	0	0	0	0	0	800	0	0	0	false	0	0	0	0	691	42	9320	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	www.unitedcitizensbank.com	
336361																																											0	422	0	0	0	true	0	24	0	122	0	276	78	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	http://www.sangerbank.com	
336576																																											0	15700	0	0	0	true	0	12341	0	2375	25	959	1544	0	0	0	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	equitablebank.net	
336950																																											0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
337247																																											0	539	138	0	3655	true	0	24	0	0	0	515	0	0	0	0	true	0	0	0	138	1349	479	1689	0	0	0	0	0	0	0	true	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	http://www.asbtripoli.com	
337340																																											104	447	0	0	0	true	104	0	0	110	337	0	3060	2	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	www.hbschaumburg.com	
338178																																											0	280	0	0	0	true	0	0	0	280	0	0	2264	1	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	www.melrosecoop.com	
338646																																											93	0	1167	93	3167	true	0	0	0	0	0	0	2791	1	93	0	true	0	0	0	1167	2000	0	0	0	0	0	0	0	0	0	true	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	http://www.trustbank.net	
338758																																											0	3164	0	0	350	true	0	1785	146	959	0	274	162	0	0	0	true	0	0	0	0	350	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	www.fnbrockies.com	
338851																																											0	1517	2925	0	5100	true	0	187	0	642	0	688	1234	1	0	0	false	0	0	0	2925	2000	0	0	0	0	175	0	0	0	175	true	false	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	http://www.cambridgestatebank.com	
338945																																											0	61	0	0	0	true	0	0	0	20	0	41	988	2	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	http://www.1stcommunitybanks.com	
339054																																											0	0	0	0	0	true	0	0	0	0	0	0	222	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	http://www.gruverstatebank.com	
339353																																											0	304	0	0	550	true	0	0	0	0	0	304	0	0	0	0	false	0	0	0	0	0	0	550	0	0	0	0	0	0	0	true	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	www.fsbcanby.com	
339456																																											0	789	8000	0	21500	true	0	114	0	600	0	75	5498	3	0	0	false	0	0	0	8000	13000	0	0	0	500	0	0	0	0	500	true	false	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	http://www.fcbot.com/	
339607																																											0	1409	44500	0	173828	true	0	0	0	1409	0	0	932	1	0	0	true	0	608	0	47550	35303	61203	29164	67000	608	0	0	0	0	608	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	www.sbsavings.com	
339773																																											0	12793	64000	0	116961	true	0	12502	0	291	0	0	2656	2	0	0	false	0	0	0	64000	41000	11500	461	9500	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	http://www.needhambank.com	
339858	133251	125934	1149	127745	28347	true	5506	425283	6	127745	0	true	2251664	17595	1149	550	0	0	0	17595	0	0	9053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					28347			19417	0	35654	168	70695								0										0		true	true			0	0	0	0	0	0	0	0	0										0	0	0	0	0					www.bankofoklahoma.com	
339951																																											0	45292	0	0	10000	true	0	18911	0	1086	0	25295	255	0	0	0	true	0	0	0	5000	5000	0	0	0	0	0	0	0	0	0	true	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	http://WWW.VALLEYVIEWBANK.COM	
340135																																											0	7414	0	0	35898	true	0	6214	0	232	0	968	1654	2	0	0	true	0	0	0	0	20000	3000	12797	25000	0	0	0	101	0	101	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	http://www.bankoftennessee.com	
340144																																											1268	4828	12977	1268	61101	true	0	2354	0	421	0	2053	9425	3	1268	0	true	0	0	0	12977	24909	22215	1000	0	0	0	0	0	0	0	true	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	www.psbwi.com	
340256																																											0	9161	0	0	24200	true	0	8493	0	298	0	370	2173	0	0	0	false	0	0	0	23600	600	0	0	0	0	0	0	0	0	0	true	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	http://21stcenturybank.com	
340443																																											150	32	1000	150	2000	true	0	0	0	32	0	0	508	0	150	0	false	0	0	0	1000	1000	0	0	0	0	0	0	0	0	0	true	false	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	www.fnbpville.com	
340555																																											0	787	0	0	1583	false	0	785	0	2	0	0	1941	2	0	0	false	0	0	0	117	233	233	1000	0	0	0	0	0	0	0	true	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	http://www.fnbordway.com	
340649																																											0	1304	1000	0	2500	true	0	582	722	0	0	0	103	0	0	0	true	0	0	0	1000	500	500	500	500	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	http://www.csbpoky.com	
340742																																											0	3831	5000	0	10196	true	0	2176	0	1329	226	100	3887	1	0	0	false	0	196	0	5000	5000	0	0	0	196	0	0	0	0	196	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	http://cibmbank.com	
340751																																											0	72	0	0	3	true	0	0	0	0	0	72	5840	2	0	0	false	0	3	0	0	0	0	0	0	3	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	http://www.fnbab.com	
341178																																											0	33143	0	0	0	true	0	6767	0	24012	168	2196	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	http://www.blueridgesavings.com	
341851																																											0	0	2000	0	2094	true	0	0	0	0	0	0	0	0	0	0	false	0	94	0	2000	0	0	0	0	94	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	www.clintonstatebank.com	
341954																																											0	0	0	0	100	false	0	0	0	0	0	0	22	0	0	0	false	0	0	0	0	0	0	0	0	100	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	http://www.fsbweb.com	
342054																																											0	330	0	0	2600	true	0	265	0	65	0	0	1049	0	0	0	true	0	0	0	2600	0	0	0	0	0	0	0	0	0	0	true	false	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	www.phelpscountybank.com	
342175																																											0	10507	0	0	60000	true	0	4666	0	1689	0	4152	3272	2	0	0	true	0	0	0	0	0	0	60000	0	0	0	0	0	0	0	true	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	http://www.ashevillesavings.com	
342362																																											1306	0	0	0	0	true	1306	0	0	0	0	0	2096	1	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	http://www.fnbshiner.com	
342410																																											3502	847	25000	2303	45068	true	1199	22	0	515	104	206	2675	2	2371	0	true	0	0	0	25000	10000	3879	5874	5000	315	0	0	0	0	0	true	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	http://www.orrstown.com	
342634	69130	86098	75000	53598	154585	true	15532	139580	10	53598	0	true	1013019	54423	75000	0	0	0	0	54423	25162	0	0	54423	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					154585			64667	0	11892	656	8883								0										0		true	true			0	0	0	0	0	0	0	0	0										0	0	0	0	0					http://www.trustmark.com	
343051																																											0	0	0	0	0	true	0	0	0	0	0	0	91	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	WWW.BANKOFEUFAULA.COM	
343248																																											0	0	0	0	0	true	0	0	0	0	0	0	619	1	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	true	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	http://www.fnbprimghar.com	
343257																																											0	491	0	0	9	true	0	0	0	491	0	0	587	1	0	0	false	0	0	0	0	0	0	0	0	9	0	0	0	0	0	true	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	http://www.unitedswbank.com	
