"IDRSSD"	RCFD0211	RCFD0213	RCFD0416	RCFD1286	RCFD1287	RCFD1289	RCFD1290	RCFD1291	RCFD1293	RCFD1294	RCFD1295	RCFD1297	RCFD1298	RCFD1737	RCFD1738	RCFD1739	RCFD1741	RCFD1742	RCFD1743	RCFD1744	RCFD1746	RCFD1754	RCFD1771	RCFD1772	RCFD1773	RCFD1778	RCFD8496	RCFD8497	RCFD8498	RCFD8499	RCFD8782	RCFD8783	RCFDA248	RCFDA510	RCFDA511	RCFDA549	RCFDA550	RCFDA551	RCFDA552	RCFDA553	RCFDA554	RCFDA555	RCFDA556	RCFDA557	RCFDA558	RCFDA559	RCFDA560	RCFDA561	RCFDA562	RCFDB838	RCFDB839	RCFDB840	RCFDB841	RCFDB842	RCFDB843	RCFDB844	RCFDB845	RCFDB846	RCFDB847	RCFDB848	RCFDB849	RCFDB850	RCFDB851	RCFDB852	RCFDB853	RCFDB854	RCFDB855	RCFDB856	RCFDB857	RCFDB858	RCFDB859	RCFDB860	RCFDB861	RCFDC026	RCFDC027	RCFDC988	RCFDC989	RCFDG300	RCFDG301	RCFDG302	RCFDG303	RCFDG304	RCFDG305	RCFDG306	RCFDG307	RCFDG308	RCFDG309	RCFDG310	RCFDG311	RCFDG312	RCFDG313	RCFDG314	RCFDG315	RCFDG316	RCFDG317	RCFDG318	RCFDG319	RCFDG320	RCFDG321	RCFDG322	RCFDG323	RCFDG336	RCFDG337	RCFDG338	RCFDG339	RCFDG340	RCFDG341	RCFDG342	RCFDG343	RCFDG344	RCFDG345	RCFDG346	RCFDG347	RCFDG348	RCFDG349	RCFDG350	RCFDG351	RCFDG352	RCFDG353	RCFDG354	RCFDG355	RCFDG356	RCFDG357	RCFDG358	RCFDG359	RCFDG360	RCFDG361	RCFDG362	RCFDG363	RCFDG364	RCFDG365	RCFDG366	RCFDG367	RCFDG368	RCFDG369	RCFDG370	RCFDG371	RCFDG372	RCFDG373	RCFDG374	RCFDG375	RCFDK142	RCFDK143	RCFDK144	RCFDK145	RCFDK146	RCFDK147	RCFDK148	RCFDK149	RCFDK150	RCFDK151	RCFDK152	RCFDK153	RCFDK154	RCFDK155	RCFDK156	RCFDK157	RCON0211	RCON0213	RCON0416	RCON1286	RCON1287	RCON1289	RCON1290	RCON1291	RCON1293	RCON1294	RCON1295	RCON1297	RCON1298	RCON1737	RCON1738	RCON1739	RCON1741	RCON1742	RCON1743	RCON1744	RCON1746	RCON1754	RCON1771	RCON1772	RCON1773	RCON1778	RCON8496	RCON8497	RCON8498	RCON8499	RCON8782	RCON8783	RCONA248	RCONA510	RCONA511	RCONA549	RCONA550	RCONA551	RCONA552	RCONA553	RCONA554	RCONA555	RCONA556	RCONA557	RCONA558	RCONA559	RCONA560	RCONA561	RCONA562	RCONB838	RCONB839	RCONB840	RCONB841	RCONB842	RCONB843	RCONB844	RCONB845	RCONB846	RCONB847	RCONB848	RCONB849	RCONB850	RCONB851	RCONB852	RCONB853	RCONB854	RCONB855	RCONB856	RCONB857	RCONB858	RCONB859	RCONB860	RCONB861	RCONC026	RCONC027	RCONC988	RCONC989	RCONG300	RCONG301	RCONG302	RCONG303	RCONG304	RCONG305	
1557																																																																																																																																																														0	0	6587	0	0	0	0	0	0	0	0	5031	5101	0	0	0	0	0	0	0	0	12152	12344	5072	5145	0	12152	12344	41	44	0	0	1894	0	0	1006	888	4745	3317	7341	0	0	0	0	0	0	0	0	0																									0	0	0	0	0	0	0	0	0	0	
1669																																																																																																																																																														0	0	43700	7067	7068	0	0	0	0	51248	53217	41240	42451	0	0	0	0	0	0	0	0	73606	76381	48311	49523	0	19222	19929	0	0	0	0	19951	0	0	6115	13836	44531	44388	11119	0	0	4	0	0	3136	0	0	0																									0	0	0	0	0	0	0	0	3136	3235	
1829																																																																																																																																																														0	0	12990	0	0	0	0	0	0	0	0	13540	13560	0	0	974	1057	0	0	0	0	0	0	77599	78505	0	0	0	19310	19188	3750	3766	645	1839	1576	75	166	2325	3873	20600	6766	437	479	193	189	31456	10369	0	0																									0	0	0	0	0	0	1262	1336	0	0	
1856																																																																																																																																																														0	0	59685	0	0	0	0	0	0	0	0	23405	21942	0	0	0	0	0	0	0	0	14814	15261	59429	59079	0	1908	2084	4196	4090	3419	3303	100	0	0	100	0	99	0	26535	1208	0	0	127	0	0	0	17977	27849																									0	0	0	0	0	0	0	0	0	0	
2040																																																																																																																																																														0	0	20705	0	0	0	0	1234	1246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43734	44022	0	0	0	20329	21019	0	0	2414	0	0	2694	914	2750	4857	10998	1052	0	0	158	0	8342	1022	3387	7849																									0	0	0	0	0	0	0	0	0	0	
2161																																																																																																																																																														0	0	23941	0	0	0	0	0	0	0	0	3979	4029	0	0	0	0	0	0	0	0	1	1	25874	26570	0	0	0	7783	7910	724	750	889	0	0	155	734	1144	3512	6394	0	0	0	0	0	13450	1182	0	0																									0	0	0	0	1	1	0	0	0	0	
2376																																																																																																																																																														0	0	373207	0	0	0	0	0	0	0	0	163873	160539	0	0	2000	2039	0	0	0	0	49307	50398	693669	690792	0	0	0	0	0	23486	23513	4677	0	0	0	2038	0	147031	23472	0	15985	12908	4908	0	84613	4086	226072	218984	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2077	2098	0	0	27840	28879	
2554																																																																																																																																																														0	0	0	0	0	0	0	0	0	0	0	500	498	0	0	0	0	0	0	0	0	673	671	512	510	0	673	671	0	0	0	0	0	12	12	0	80	232	221	617	20	0	0	0	0	0	0	0	0																									0	0	0	0	0	0	0	0	0	0	
2732																																																																																																																																																														0	0	32248	0	0	0	0	0	0	0	0	10586	10745	0	0	550	550	0	0	0	0	0	0	74808	76125	0	0	0	63672	64830	0	0	10220	0	0	941	9828	35502	23288	6566	0	0	0	0	0	0	0	0	0																									0	0	0	0	0	0	0	0	0	0	
2750																																																																																																																																																														0	0	8281	0	0	0	0	0	0	0	0	6794	6596	0	0	2534	2512	0	0	0	0	0	0	16799	16585	0	0	0	2995	2966	6090	5943	262	0	0	0	76	246	766	9952	1034	265	1097	597	477	1193	709	0	173																									0	0	0	0	0	0	2973	2991	0	0	
3252																																																																																																																																																														0	0	52452	0	0	0	0	981	986	0	0	1177	1183	0	0	395	394	0	0	0	0	100	100	62265	62578	0	100	100	13949	13981	777	777	726	0	0	1101	528	2071	4227	8303	414	788	83	0	1314	3247	5838	0	34766																									0	0	0	0	0	0	2569	2672	0	0	
3458																																																																																																																																																														0	0	7255	0	0	0	0	0	0	0	0	6278	6322	0	0	452	487	0	0	0	0	2827	2872	7115	7196	0	2827	2872	0	0	0	0	1698	0	0	507	1191	411	1905	5397	225	0	0	0	0	233	154	0	0																									0	0	0	0	0	0	0	0	0	0	
3720																																																																																																																																																														0	0	34397	0	0	0	0	0	0	0	0	15507	15551	0	0	0	0	0	0	0	0	3938	4026	43276	44145	0	3938	4026	8988	9199	2250	2229	3187	0	0	201	2829	5393	11261	9004	0	0	157	356	39	17651	1096	97	0																									0	0	0	0	0	0	6094	6279	0	0	
3953																																																																																																																																																														0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	0	0	0	0	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0																									0	0	0	0	0	0	0	0	0	0	
4156																																																																																																																																																														0	0	13446	2037	2037	0	0	0	0	0	0	14676	14703	0	0	0	0	0	0	0	0	0	0	31509	32202	0	0	0	14796	15462	250	231	8163	0	0	1448	6715	11053	6667	5836	483	0	0	0	0	0	0	0	0																									0	0	0	0	0	0	0	0	0	0	
4231																																																																																																																																																														0	0	19187	0	0	0	0	0	0	0	0	6130	5977	0	0	0	0	0	0	0	0	0	0	36658	35877	0	0	0	14050	13638	2500	2490	0	0	0	0	0	100	810	12427	6278	0	0	0	0	4002	11996	0	264																									0	0	0	0	0	0	0	0	0	0	
4437																																																																																																																																																														0	0	24160	0	0	0	0	0	0	0	0	44221	44406	0	0	523	601	0	0	0	0	630	644	77311	78154	0	630	644	25511	26105	4500	4514	1579	0	0	435	1008	14610	21999	33063	627	0	136	0	0	6906	0	0	0																									0	0	0	0	0	0	0	0	0	0	
4839																																																																																																																																																														0	0	16967	0	0	0	0	7421	7373	0	0	707	720	0	0	995	993	0	0	0	0	0	0	48343	48216	0	0	0	21189	20964	495	494	659	0	0	499	1009	649	957	22915	4021	1798	157	241	25	6570	7961	700	714																									0	0	0	0	0	0	4679	4733	0	0	
5005																																																																																																																																																														0	0	11534	0	0	0	0	0	0	0	0	8498	8389	0	0	7541	7967	0	0	0	0	278	297	45577	46720	0	0	0	7928	8119	808	833	2443	2651	2923	0	2294	6215	5128	10714	124	31	118	46	0	13225	4608	38	1534																									0	0	0	0	278	297	455	461	0	0	
5069																																																																																																																																																														0	0	0	1096	1224	0	0	0	0	0	0	0	0	0	0	9874	10647	0	0	0	0	0	0	29044	29807	0	0	0	13810	13477	0	0	25	4264	4459	1145	25	52	1224	4746	18156	0	0	0	0	0	0	0	0																									0	0	0	0	0	0	0	0	0	0	
