"IDRSSD"	RIAD0497	RIAD4042	RIAD4136	RIAD4141	RIAD4146	RIAD4461	RIAD4462	RIAD4463	RIAD4464	RIAD4467	RIAD4468	RIAD4469	RIAD4486	RIAD4487	RIAD4488	RIAD4489	RIAD4491	RIAD4498	RIAD4499	RIAD4521	RIAD4522	RIAD4769	RIAD5523	RIAD8403	RIADB526	RIADB527	RIADC013	RIADC014	RIADC015	RIADC016	RIADC017	RIADC018	TEXT4461	TEXT4462	TEXT4463	TEXT4464	TEXT4467	TEXT4468	TEXT4469	TEXT4487	TEXT4489	TEXT4498	TEXT4499	TEXT4521	TEXT4522	TEXT4769	TEXTB526	TEXTB527	
4231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	15	0	0	0	0	0	0	24	0																	
4437	36	0	0	50	0	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	34	0	0	0	0	0	0	113	29	ORIGINATION FEES - SECONDARY MARKET LOANS                                                                                                                                                        																
4745	0	0	5	1	0	0	0	0	1	3	4	0	0	0	0	0	0	0	0	0	0	false	0	1	0	0	0	0	0	1	3	1				STATE OF ILLINOIS ASSESMENT                                                                                                                                                                      	BANK OF SRVC CHGS                                                                                                                                                                                	MISCELLANEOUS                                                                                                                                                                                    											
4839	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	101	0																	
5005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	70	0	0	82	0																	
5050	0	0	15	0	0	19	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	19	25	merchant card                                                                                                                                                                                    			merchant card                                                                                                                                                                                    													
5069	41	0	0	4	17	28	19	0	11	12	42	0	0	0	0	0	0	0	0	0	0	false	0	8	0	0	0	0	0	0	45	14	FEES FROM LETTERS OF CREDIT                                                                                                                                                                      	DOCUMENTARY COLLECTION FEES                                                                                                                                                                      		PHONE AND TELEX                                                                                                                                                                                  	MISCELLANEOUS SERVICE CHARGES                                                                                                                                                                    	OTHER PROFESSIONAL SERVICES AND AUDITS                                                                                                                                                           											
5135	10	0	10	24	5	17	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	false	0	6	0	0	0	0	5	14	137	23	Miscellaneous Income                                                                                                                                                                             			Audit & Exam Fees                                                                                                                                                                                													
5210	0	0	0	0	0	0	0	0	169	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	125	0	0	0	0				Pa shares tax                                                                                                                                                                                    													
5247	59	0	10	13	34	246	314	0	173	189	0	0	0	0	0	0	0	0	0	0	0	false	0	186	0	0	81	0	61	23	157	123	Debit card income                                                                                                                                                                                	Mortgage loan processing income                                                                                                                                                                  		Item processing                                                                                                                                                                                  	ATM/Debit card expense                                                                                                                                                                           												
5274	0	0	30	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	60	0	NSF & Overdraft Income                                                                                                                                                                           																
5331	0	0	0	0	0	0	0	0	38	54	0	0	0	0	0	0	0	0	0	79	0	false	0	0	0	0	0	0	0	42	114	0				ATM PROCESSING FEES                                                                                                                                                                              	EXAM AND AUDIT FEES                                                                                                                                                                              							ADJ FOR OFF B/S ITEMS ALLOCATED TO LOAN LOSS RESERVE                                                                                                                                             					
5461	25	0	4	10	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	30	0	0	29	14	8	54	86	49																	
5751	0	0	14	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	21	0	0	0	0				Accounting Fees and expenses                                                                                                                                                                     													
5939	0	0	0	0	0	0	0	0	549	692	401	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	1577	0				ORE EXPENSE                                                                                                                                                                                      	AMORTIZATION ON PREMIUM OF DEPOSITS                                                                                                                                                              	LOAN EXPENSES                                                                                                                                                                                    											
6039	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	52	0																	
6057	2	1	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	3	0	0	0	0	0	0	9	4																	
6141	4	0	11	2	2	3	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	false	0	8	0	0	2	0	6	0	24	7	fees and commissions                                                                                                                                                                             			other fees and commissions                                                                                                                                                                       													
6329	29	0	10	21	12	85	109	44	53	37	23	0	0	0	0	0	0	0	0	0	0	false	0	45	0	0	0	0	11	43	0	88	SERVICE CHARGE & LOAN ORIGINATION                                                                                                                                                                	YIELD SPREAD PREMIUM                                                                                                                                                                             	EXCHANGE                                                                                                                                                                                         	TELEPHONE                                                                                                                                                                                        	DONATION                                                                                                                                                                                         	SERVICE FEE ANANLYSIS ECT                                                                                                                                                                        											
6972	267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	207																	
7009	0	0	0	0	0	0	0	0	9795	364	0	0	0	0	0	0	0	8	0	0	0	true	0	0	0	0	0	0	0	0	0	0				Investment advisory & other service fees                                                                                                                                                         	Custody fees                                                                                                                                                                                     					See item RI-E7 below for description                                                                                                                                                             							
7045	10	0	15	10	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	19	0	0	3	0	5	9	0	21																	
7157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	6	0	0	0	0	0	0	12	4																	
7166	0	0	0	0	0	0	0	0	282	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	243	0				HOLDING CO MANAGEMENT FEES                                                                                                                                                                       													
7456	0	0	12	16	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	36	19	overdrafts                                                                                                                                                                                       																
7634	0	0	0	0	0	10	0	0	8	8	8	0	0	0	0	0	0	0	0	0	0	false	0	8	0	0	0	0	0	0	16	11	EDP Income                                                                                                                                                                                       			Audit, Tax and Accounting Fees                                                                                                                                                                   	Expired Premium on Securities                                                                                                                                                                    	ATM Operation Expense                                                                                                                                                                            											
8033	0	12	17	0	0	11	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	26	10	Fees All Other                                                                                                                                                                                   			Taxes AdValorem                                                                                                                                                                                  													
8417	0	0	0	0	0	0	0	0	7885	59363	3260	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	4429	0				Attorney Fees                                                                                                                                                                                    	Affiliate Related Expense Allocations                                                                                                                                                            	Misc. Service Charges                                                                                                                                                                            											
8462	0	0	10	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	false	0	10	0	0	0	0	0	0	11	10				Comptroller of the Currency assessments                                                                                                                                                          													
8547	0	0	0	0	0								0		0		0					false	0	0			0	0	0	0	528	0																	
8631	11	11	25	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	19	0				COLLECTION AND REPOSSESSION EXPENSE                                                                                                                                                              													
9115	436	0	0	0	0	0	0	0	1038	299	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0				Intercompany Allocation                                                                                                                                                                          	MAC Processing                                                                                                                                                                                   												
9160	0	0	0	0	0	82	0	0	45	26	0	0	0	0	0	0	0	0	0	0	0	false	0	23	0	0	0	0	0	0	85	51	Mortgage Referral Fees                                                                                                                                                                           			Premise Rent                                                                                                                                                                                     	Courier Svs                                                                                                                                                                                      												
9357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0																	
9553	0	0	11	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0				ATM Expense                                                                                                                                                                                      													
9807	0	0	0	0	0	361	0	0	1119	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	Mortgage modification fees                                                                                                                                                                       			Change in value of bank owned life insurance                                                                                                                                                     													
9955	0	0	15	0	0								0		0		0					false	0	0			0	0	0	0	61	12																	
10157	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	35	11																	
10250	58	0	16	4	9	8	189	0	13	40	18	0	0	0	0	0	0	0	0	0	0	false	0	73	0	0	9	3	8	7	28	52	Merchant Credit Card Income                                                                                                                                                                      	Mortgage Origination Fees                                                                                                                                                                        		Education                                                                                                                                                                                        	Insurance, Fidelity, Property, VSI                                                                                                                                                               	Repossession Expenses                                                                                                                                                                            											
10849	0	0	0	0	0	0	0	0	27	35	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0				SOFTWARE MAINTENANCE EXPENSE                                                                                                                                                                     	TELEPHONE EXPENSE                                                                                                                                                                                												
10858	0	0	0	0	0	0	0	0	87	0	0	0	0	0	0	0	0	500	0	0	0	false	0	0	0	0	0	0	0	0	0	0				I/C FNNI Adm. Overhead                                                                                                                                                                           						Capital Injection                                                                                                                                                                                							
11145	15	0	22	1	4	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	false	0	20	0	0	17	0	19	11	79	28				audits and exams                                                                                                                                                                                 													
11640	0	0	37	0	0	0	0	0	28	32	19	0	0	0	0	0	0	0	0	0	0	false	0	21	0	0	0	53	0	0	0	24				SALES & STATE INCOME TAX                                                                                                                                                                         	BOUNCE PROTECTION FEE EXPENSE                                                                                                                                                                    	LOAN AND COLLECTION                                                                                                                                                                              											
11837	0	0	0	0	0	18	25		16	14	20		0		0		0					false	0	0			0	0	0	0	15	0	Mtg. Origination Fees - Farmers Funding	Miscellaneous Fees		ATM Expense - Intercept	Business Occupational Taxes	Item Processing											
12030	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	189	53																	
12058	0	0	0	0	0	0	0	0	18	56	0	0	0	0	0	0	0	0	0	0	0	false	0	23	0	0	0	0	0	0	0	25				Telephone                                                                                                                                                                                        	Other bank fees                                                                                                                                                                                  												
12142	12	0	17	3	6	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	false	0	30	0	0	5	0	42	10	0	43				Consulting                                                                                                                                                                                       													
12245	0	0	0	0	0	17	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	32	0	OTHER FEE INCOME                                                                                                                                                                                 																
12311	0	0	0	0	0	138193	7635	0	111588	7635	6532	0	0	0	0	0	0	0	0	-3639	-21560	false	0	0	0	0	0	11137	0	0	0	0	Operating lease income	Residential mortgage loan origination fees		Operating lease expense	Corporate overhead charges	Software license fees						Allowance related to sale & securitization of loans	Change in allowance related to off-balance sheet credit				
12357	1	0	0	5	1	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	false	0	1	0	0	0	0	0	0	0	2	Collections                                                                                                                                                                                      			Insurance                                                                                                                                                                                        													
12647	0	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	9	0	0	0	0	0	0	27	15	service fee on loans                                                                                                                                                                             																
12656	1	0	6	4	6	1			4	3	2		0		0		0					false	0	3			0	0	2	2	2	5	MISC INCOME                                                                                                                                                                                      			CORRESPONDENT SERVICE CHGS                                                                                                                                                                       	TELEPHONE EXPENSES                                                                                                                                                                               	BLANKET BOND PREMIUMS                                                                                                                                                                            											
12937	0	0	22	36	0	0	0	0	31	21	0	0	0	0	0	0	0	0	0	0	0	false	0	22	0	0	0	0	0	21	29	0				Insurance                                                                                                                                                                                        	Automated Teller Card                                                                                                                                                                            												
12946	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	85	0	0	0	0																	
12955	0	0	0	0	0	99	0	0	23	19	19	0	0	0	0	0	0	0	0	0	0	false	0	27	0	0	0	0	0	0	26	35	MISC. INCOME                                                                                                                                                                                     			EXAMS & ACCOUNTING                                                                                                                                                                               	TELEPHONE                                                                                                                                                                                        	MISC. EXPENSE                                                                                                                                                                                    											
13037	0	0	26	0	0								0		0		0					false	0	0			0	0	0	0	0	0																	
13103	0	0	0	0	0	0	0	0	138	0	0	0	0	0	0	0	0	0	0	0	0	true	0	0	0	0	0	0	0	0	193	0				Item processing                                                                                                                                                                                  													
13251	2	0	0	9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	1	0	0	1	7	4																	
13309	334	0	0	574	0	359	0	0	1163	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	CHECKCARD INTERCHANGE INCOME                                                                                                                                                                     			COMPUTER SERVICE FEE                                                                                                                                                                             													
13457	0	0	4	0	0	0	0	0	4	4	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	14	0	0	10	0				OCC assessment                                                                                                                                                                                   	Life Insurance Expenses                                                                                                                                                                          												
14052	34	0	12	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	true	0	14	0	0	0	0	0	0	29	0	SECONDARY MARKET REAL ESTATE PROCESSING FEE                                                                                                                                                      																
14155	20	0	5	1	3	0	0	0	13	0	15	0	0	0	0	0	0	0	0	0	0	false	0	10	0	0	10	13	1	5	47	20				CONSULTING                                                                                                                                                                                       		DEBIT CARDS                                                                                                                                                                                      											
14258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	93	79	0																	
14409	5614	0	0	0	0	0	0	4072	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	4559	0	7900	0	0			Other servicing fees                                                                                                                                                                             														
14454	0	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	12	0				Management Fees                                                                                                                                                                                  													
14650	0	0	6	6	0	9	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	8	0	0	23	7	EXCHANGE AND COLLECTIONS                                                                                                                                                                         			MISCELLANEOUS EXPENSE                                                                                                                                                                            													
14753	9	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	false	0	7	0	0	0	0	0	0	20	0				DEPRECIATION EXPENSE-FURNITURE                                                                                                                                                                   													
14865	15	0	0	0	0	69	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	false	0	20	0	0	0	0	0	0	0	24	Broker Fee Income                                                                                                                                                                                			ATM Expense                                                                                                                                                                                      													
14931	0	0	0	5	0				18	18	10		0		0		0					false	0	7			0	0	0	0	33	8				Courier 8 & Insurance 10                                                                                                                                                                         	Audit/actg. 9 & corresp. bank chgs. 9                                                                                                                                                            	Prof. Empl. Org. (ADP TotalSource)                                                                                                                                                               											
14940	67	0	0	0	0	76	0	0	293	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	25	109	0	Affiliates-mtge loan fees                                                                                                                                                                        			Holding Co .admin and processing fees                                                                                                                                                            													
15536	37	0	23	159	38				196				0		0		0					false	0	36			43	0	48	74	285	63				Other Real Estate expense                                                                                                                                                                        													
15732	0	0	0	0	0	289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	67	0	0	100	0	Mortgage Origination Fees                                                                                                                                                                        																
16337	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	57	148	0																	
16355	14	0	0	0	0	25	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	37	0	MORTGAGE LOAN ORIGINATION FEE                                                                                                                                                                    			MANAGEMENT FEES                                                                                                                                                                                  													
