"IDRSSD"	RCFD0010	RCFD1350	RCFD1395	RCFD1651	RCFD1727	RCFD1754	RCFD1773	RCFD2170	RCFD2221	RCFD2243	RCFD3123	RCFD3128	RCFD3210	RCFD3368	RCFD3411	RCFD3429	RCFD3433	RCFD3545	RCFD3792	RCFD3809	RCFD3812	RCFD3819	RCFD3821	RCFD3833	RCFD4336	RCFD5306	RCFD5310	RCFD5311	RCFD5320	RCFD5327	RCFD5334	RCFD5339	RCFD5340	RCFD5369	RCFD5610	RCFD7204	RCFD7205	RCFD7206	RCFD7273	RCFD7274	RCFD7275	RCFD8274	RCFD8275	RCFD8434	RCFD8764	RCFD8766	RCFD8767	RCFD8769	RCFD8770	RCFD8771	RCFD8772	RCFD8773	RCFD8774	RCFD8775	RCFD8776	RCFD8777	RCFD8778	RCFD8779	RCFDA000	RCFDA001	RCFDA002	RCFDA167	RCFDA221	RCFDA222	RCFDA223	RCFDA224	RCFDA250	RCFDB503	RCFDB504	RCFDB505	RCFDB528	RCFDB588	RCFDB589	RCFDB590	RCFDB591	RCFDB592	RCFDB593	RCFDB594	RCFDB595	RCFDB596	RCFDB600	RCFDB601	RCFDB602	RCFDB603	RCFDB604	RCFDB605	RCFDB606	RCFDB607	RCFDB608	RCFDB609	RCFDB610	RCFDB611	RCFDB612	RCFDB613	RCFDB614	RCFDB616	RCFDB617	RCFDB618	RCFDB619	RCFDB620	RCFDB621	RCFDB622	RCFDB623	RCFDB624	RCFDB625	RCFDB626	RCFDB627	RCFDB628	RCFDB629	RCFDB630	RCFDB631	RCFDB639	RCFDB640	RCFDB641	RCFDB642	RCFDB643	RCFDB644	RCFDB645	RCFDB646	RCFDB647	RCFDB648	RCFDB649	RCFDB650	RCFDB651	RCFDB652	RCFDB653	RCFDB654	RCFDB655	RCFDB656	RCFDB657	RCFDB658	RCFDB659	RCFDB660	RCFDB661	RCFDB662	RCFDB663	RCFDB664	RCFDB665	RCFDB666	RCFDB667	RCFDB668	RCFDB669	RCFDB670	RCFDB671	RCFDB672	RCFDB673	RCFDB674	RCFDB675	RCFDB676	RCFDB677	RCFDB678	RCFDB679	RCFDB680	RCFDB681	RCFDB682	RCFDB683	RCFDB684	RCFDB685	RCFDB686	RCFDB687	RCFDB688	RCFDB689	RCFDB690	RCFDB691	RCFDB693	RCFDB694	RCFDB695	RCFDB696	RCFDB697	RCFDB698	RCFDB699	RCFDB700	RCFDB701	RCFDB702	RCFDB703	RCFDB704	RCON0010	RCON1350	RCON1395	RCON1651	RCON1727	RCON1754	RCON1773	RCON2170	RCON2221	RCON2243	RCON3123	RCON3128	RCON3210	RCON3368	RCON3411	RCON3429	RCON3433	RCON3545	RCON3792	RCON3809	RCON3812	RCON3819	RCON3821	RCON3833	RCON4336	RCON5306	RCON5310	RCON5311	RCON5320	RCON5327	RCON5334	RCON5339	RCON5340	RCON5369	RCON5610	RCON7204	RCON7205	RCON7206	RCON7273	RCON7274	RCON7275	RCON8274	RCON8275	RCON8434	RCON8764	RCON8766	RCON8767	RCON8769	RCON8770	RCON8771	RCON8772	RCON8773	RCON8774	RCON8775	RCON8776	RCON8777	RCON8778	RCON8779	RCONA000	RCONA001	RCONA002	RCONA167	RCONA221	RCONA222	
1351																																																																																																																																																																																	1903	5818	0	0	0	22298	4642	84267	0	0	358	0	11949	82844	0	0	0	0	12217	0	0	0	196	0	0	0	358	358	520	27796	11975	2963	44191	0	0	0.1431	0.2188	0.2124	0.0000	0.0000	0.0000	11859	358	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1454																																																																																																																																																																																	24290	24100	0	0	0	0	93508	283575	0	0	841	0	28820	273527	0	0	0	0	26845	0	0	17772	0	0	0	0	841	841	21319	115882	37400	5967	106999	1503	0	0.0951	0.1761	0.1706	0.0000	0.0000	0.0000	26004	841	2654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1557																																																																																																																																																																																	1026	5716	0	0	0	2236	8659	34705	0	0	357	0	5749	34848	0	0	0	0	5813	0	0	0	45	1437	0	0	253	253	157	16486	3835	944	14284	0	0	0.1596	0.2887	0.2761	0.0000	0.0000	0.0000	5560	253	189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	104	
1632																																																																																																																																																																																	8911	0	0	0	0	0	33533	197142	0	0	2036	0	15915	194565	0	0	0	0	17085	0	0	1540	418	10423	0	0	1937	1937	1884	42201	28303	7172	125542	0	0	0.0779	0.1103	0.0978	0.0000	0.0000	0.0000	15148	1937	767	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99	
1669																																																																																																																																																																																	13322	14122	0	0	0	96669	49533	245324	0	0	718	0	38692	245225	0	0	0	0	36124	0	0	15	0	0	0	0	718	718	33712	139334	35133	1551	34168	0	0	0.1459	0.4537	0.4447	0.0000	0.0000	0.0000	35406	718	793	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1829																																																																																																																																																																																	8129	0	0	0	0	0	105511	243776	477	0	1683	0	34038	248596	0	0	0	0	33619	0	0	111	58	6184	0	0	1683	2160	28021	42569	74059	6107	97379	0	0	0.1265	0.2300	0.2152	0.0000	0.0000	0.0000	31459	2160	2579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1856																																																																																																																																																																																	1391	759	0	0	0	0	2938	9218	0	0	137	0	746	9382	0	0	0	0	764	0	0	0	0	65	0	0	57	57	710	4366	1185	471	3042	0	0	0.0754	0.1713	0.1585	0.0000	0.0000	0.0000	707	57	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	
1959																																																																																																																																																																																	1544	0	0	0	0	2113	6994	17361	0	0	327	0	2122	17745	0	0	0	0	2107	0	0	0	0	0	0	0	106	106	2208	8393	111	288	6774	0	0	0.1128	0.2542	0.2414	0.0000	0.0000	0.0000	2001	106	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	221	
2040																																																																																																																																																																																	3084	8189	0	0	0	314	18806	132136	0	0	1191	0	12461	123906	0	0	0	0	13196	0	0	380	0	0	0	0	1191	1191	900	18341	42874	3862	70516	243	0	0.0969	0.1375	0.1251	0.0000	0.0000	0.0000	12005	1191	456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2161																																																																																																																																																																																	10378	4440	0	0	0	826	22772	93718	0	0	498	0	8742	92938	0	0	0	0	8901	0	0	124	0	0	0	0	498	498	2475	35626	21835	2713	33767	0	0	0.0904	0.1718	0.1622	0.0000	0.0000	0.0000	8403	498	339	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2376																																																																																																																																																																																	23961	0	0	0	0	18859	274762	698914	0	0	5046	0	90286	677482	0	0	0	0	92121	0	0	0	0	0	0	0	3438	3438	82218	198029	371674	12110	49575	0	0	0.1309	0.3369	0.3244	0.0000	0.0000	0.0000	88683	3438	1600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1608	
2451																																																																																																																																																																																	277	290	0	0	0	307	566	12234	0	0	101	0	939	11717	12	0	0	0	1029	0	0	0	0	0	0	0	101	101	37	1389	2946	491	7946	0	0	0.0792	0.1061	0.0957	0.0000	0.0000	0.0000	928	101	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2554																																																																																																																																																																																	629	0	0	0	0	16	1284	6077	0	0	51	0	742	6238	0	0	0	0	777	0	0	0	0	0	0	0	51	51	5	1663	337	271	4107	0	0	0.1164	0.1686	0.1575	0.0000	0.0000	0.0000	726	51	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2732																																																																																																																																																																																	16446	4200	0	0	0	6	88828	403761	0	0	2172	0	45853	402484	0	0	0	0	44983	0	0	2712	0	0	0	0	2172	2172	7207	99478	65465	9430	230105	0	0	0.1068	0.1576	0.1500	0.0000	0.0000	0.0000	42811	2172	1233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2750																																																																																																																																																																																	600	2420	0	0	0	0	3596	48420	0	0	831	0	5250	47044	0	0	0	0	5671	0	0	10	0	11	0	0	524	524	1812	4662	3393	3044	39281	0	0	0.1094	0.1363	0.1237	0.0000	0.0000	0.0000	5147	524	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	307	
2938																																																																																																																																																																																	10989	0	0	0	0	0	42342	268734	0	0	2500	0	20795	268258	0	0	0	0	22226	0	0	4003	323	2236	0	0	2500	2500	3121	46737	36295	10700	183343	0	0	0.0735	0.1029	0.0913	0.0000	0.0000	0.0000	19726	2500	1069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2956																																																																																																																																																																																	3572	7090	0	0	0	0	32829	113691	0	0	850	0	12653	114617	20	0	0	0	13038	0	0	0	91	262	0	0	779	779	7240	40596	23840	1355	42223	0	0	0.1070	0.2095	0.1970	0.0000	0.0000	0.0000	12259	779	394	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	
