"IDRSSD"	RCFD0010	RCFD1395	RCFD1651	RCFD1754	RCFD1773	RCFD2170	RCFD2221	RCFD3123	RCFD3128	RCFD3210	RCFD3368	RCFD3411	RCFD3429	RCFD3433	RCFD3545	RCFD3792	RCFD3809	RCFD3812	RCFD3821	RCFD3833	RCFD4336	RCFD5306	RCFD5310	RCFD5311	RCFD5320	RCFD5327	RCFD5334	RCFD5339	RCFD5340	RCFD5369	RCFD5610	RCFD7204	RCFD7205	RCFD7206	RCFD7273	RCFD7274	RCFD7275	RCFD8274	RCFD8275	RCFD8434	RCFD8764	RCFD8766	RCFD8767	RCFD8769	RCFD8770	RCFD8771	RCFD8772	RCFD8773	RCFD8774	RCFD8775	RCFD8776	RCFD8777	RCFD8778	RCFD8779	RCFDA000	RCFDA001	RCFDA002	RCFDA167	RCFDA221	RCFDA222	RCFDA223	RCFDA224	RCFDA250	RCFDB503	RCFDB504	RCFDB505	RCFDB520	RCFDB528	RCFDB541	RCFDB542	RCFDB543	RCFDB546	RCFDB547	RCFDB548	RCFDB581	RCFDB582	RCFDB583	RCFDB588	RCFDB589	RCFDB590	RCFDB591	RCFDB592	RCFDB593	RCFDB594	RCFDB595	RCFDB596	RCFDB600	RCFDB601	RCFDB602	RCFDB603	RCFDB604	RCFDB605	RCFDB606	RCFDB607	RCFDB608	RCFDB609	RCFDB610	RCFDB611	RCFDB612	RCFDB617	RCFDB618	RCFDB619	RCFDB620	RCFDB621	RCFDB622	RCFDB623	RCFDB624	RCFDB625	RCFDB626	RCFDB627	RCFDB628	RCFDB629	RCFDB630	RCFDB631	RCFDB639	RCFDB640	RCFDB641	RCFDB642	RCFDB643	RCFDB644	RCFDB650	RCFDB651	RCFDB652	RCFDB653	RCFDB654	RCFDB655	RCFDB656	RCFDB657	RCFDB658	RCFDB659	RCFDB660	RCFDB661	RCFDB662	RCFDB663	RCFDB664	RCFDB665	RCFDB666	RCFDB667	RCFDB668	RCFDB669	RCFDB670	RCFDB671	RCFDB672	RCFDB673	RCFDB675	RCFDB676	RCFDB677	RCFDB678	RCFDB679	RCFDB680	RCFDB681	RCFDB682	RCFDB683	RCFDB684	RCFDB685	RCFDB686	RCFDB687	RCFDB688	RCFDB689	RCFDB690	RCFDB691	RCFDB693	RCFDB694	RCFDB695	RCFDB696	RCFDB697	RCFDB698	RCFDB699	RCFDB700	RCFDB701	RCFDB702	RCFDB703	RCFDB704	RCFDC063	RCFDC064	RCFDC225	RCFDC227	RCFDC228	RCFDC869	RCFDC980	RCFDC981	RCFDC982	RCFDC983	RCFDC984	RCFDC985	RCON0010	RCON1395	RCON1651	RCON1754	RCON1773	RCON2170	RCON2221	RCON3123	RCON3128	RCON3210	RCON3368	RCON3411	RCON3429	RCON3433	RCON3545	RCON3792	RCON3809	RCON3812	RCON3821	RCON3833	RCON4336	RCON5306	RCON5310	RCON5311	RCON5320	RCON5327	RCON5334	RCON5339	RCON5340	RCON5369	RCON5610	RCON7204	RCON7205	RCON7206	RCON7273	RCON7274	RCON7275	RCON8274	RCON8275	RCON8434	RCON8764	RCON8766	RCON8767	RCON8769	RCON8770	RCON8771	RCON8772	RCON8773	RCON8774	RCON8775	RCON8776	RCON8777	RCON8778	RCON8779	RCONA000	
1351																																																																																																																																																																																										2346	0	0	35487	3862	104503	0	1190	0	14476	105279	0	0	0	0	15511	0	0	605	2516	0	0	897	897	837	32385	17815	2404	54794	0	0	0.1388	0.2171	0.2045	0	0	0	14614	897	-138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1454																																																																																																																																																																																										26044	0	0	0	147542	429459	0	1485	0	28734	393037	0	0	0	0	34593	0	0	0	0	0	0	1485	1485	18518	208193	56467	6873	152140	1253	0	0.084251	0.152713	0.146157	0	0	0	33108	1485	-4441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1557																																																																																																																																																																																										1053	0	0	967	11697	35223	0	375	0	4547	34548	0	0	0	0	4946	0	0	51	1246	0	0	271	271	205	16711	2301	923	16575	0	0	0.1353	0.2288	0.2163	0	0	0	4675	271	-128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1632																																																																																																																																																																																										13576	0	0	0	33028	529170	0	6618	0	45255	512865	0	0	0	0	51917	0	0	4849	50633	0	0	6262	6262	2162	49447	64315	19181	420514	0	0	0.08902	0.103705	0.091196	0	0	0	45655	6262	-400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1669																																																																																																																																																																																										13481	0	0	71974	46885	222258	0	1539	0	39052	223088	116	0	0	0	39762	0	0	0	0	0	0	1184	1184	9432	125124	39339	10403	50038	0	0	0.174221	0.421203	0.408661	0	0	0	38578	1184	-1183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1829																																																																																																																																																																																										5882	0	0	0	103096	303125	711	3309	0	37908	305724	0	0	0	0	41812	0	0	0	10386	0	0	2345	3056	7065	95611	84993	6246	120760	0	0	0.1268	0.2241	0.2077	0	0	0	38756	3056	-848	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1856																																																																																																																																																																																										272	0	0	109271	80441	211697	0	126	0	8648	223824	0	0	0	0	15483	0	0	0	28	0	0	126	126	0	194619	4393	6749	19520	0	0	0.0686	0.2553	0.2532	0	0	0	15357	126	-6807	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2040																																																																																																																																																																																										3376	0	0	0	26469	166559	0	1972	0	15802	160066	0	0	0	0	17573	0	0	0	0	0	0	1586	1586	833	29385	36554	5356	101956	569	0	0.0999	0.1389	0.1264	0	0	0	15987	1586	-185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2161																																																																																																																																																																																										6706	0	0	78	27778	97401	0	552	0	10251	97499	0	0	0	0	11230	0	0	0	0	0	0	552	552	1222	35822	29043	4413	32512	0	0	0.1095	0.2072	0.197	0	0	0	10678	552	-427	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2376																																																																																																																																																																																										7273	0	0	288110	27925	1006361	0	7672	0	122340	1011690	0	0	0	0	129235	0	0	105	0	0	0	6977	6977	23021	305380	376696	49674	308700	0	0	0.1209	0.2318	0.2193	0	0	0	122258	6977	-130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2451																																																																																																																																																																																										1238	0	0	0	0	31739	0	195	0	3076	30569	0	0	0	0	2521	0	0	110	0	0	0	195	195	357	3591	6961	935	20275	0	0	0.078	0.0954	0.0881	0	0	0	2326	195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2554																																																																																																																																																																																										474	0	0	3	2458	6724	0	56	0	522	6842	0	0	0	0	763	0	0	0	0	0	0	50	50	2	3529	321	231	3119	0	0	0.1042	0.1917	0.1791	0	0	0	713	50	-191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2732																																																																																																																																																																																										14909	0	0	0	61153	550895	0	3609	0	62784	537985	0	0	0	0	65858	0	0	0	0	0	0	3609	3609	44348	105671	104769	11171	299555	35432	0	0.11598	0.174292	0.164741	0	0	0	62249	3609	-727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2750																																																																																																																																																																																										1548	0	0	0	14089	52022	0	516	0	4627	51424	0	0	0	0	5547	0	0	0	0	0	0	440	440	3367	15647	3852	1927	30152	0	0	0.0993	0.1579	0.1453	0	0	0	5107	440	-480	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2938																																																																																																																																																																																										15112	0	0	0	43293	372405	0	5528	0	28762	368252	0	0	0	0	33355	0	0	1805	16966	0	0	3886	3886	1702	59781	75014	13069	242586	0	0	0.080024	0.107862	0.095296	0	0	0	29469	3886	-707	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3252																																																																																																																																																																																										5993	0	0	7830	33504	100574	0	936	0	12080	102350	0	0	0	0	13515	0	0	407	202	0	0	776	776	7282	40161	2864	3359	52201	0	0	0.1245	0.2181	0.2056	0	0	0	12739	776	-659	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3458																																																																																																																																																																																										4140	0	0	2279	7447	24367	0	385	0	2589	25180	0	0	0	0	2906	0	0	0	0	0	0	216	216	1822	6144	1719	481	15221	0	0	0.106831	0.169535	0.156934	0	0	0	2690	216	-101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3506																																																																																																																																																																																										39639	0	0	31208	309902	1661970	0	10649	0	204171	1651060	0	0	0	0	146517	0	0	3165	108500	0	0	10669	10669	32266	364370	212997	69014	997051	0	0	0.086042	0.121379	0.112541	0	0	0	135848	10669	-3849	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3720																																																																																																																																																																																										5113	0	0	13582	38533	155673	0	1278	0	19658	158620	0	0	0	0	18645	0	0	0	2475	0	0	1119	1119	5022	59207	33438	4216	59739	291	1113	0.111271	0.208555	0.196038	0	0	0	17526	1119	1019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3953																																																																																																																																																																																										3225	0	0	0	0	99470	0	1526	0	6875	97229	0	0	0	0	7812	0	0	1198	0	0	0	937	937	594	25378	11445	7083	63578	10850	0	0.0707	0.105	0.0924	0	0	0	6875	937	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4138																																																																																																																																																																																										4675	0	0	0	39251	182955	0	1229	0	16277	179468	0	0	0	0	18549	0	0	461	0	0	0	1230	1230	2639	43937	55615	8785	83729	0	0	0.096502	0.154159	0.143936	0	0	0	17319	1230	-1042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
