"IDRSSD"	RCFD0426	RCFD2130	RCFD2150	RCFD2651	RCFD3164	RCFD3190	RCFD4088	RCFD5372	RCFD5374	RCFD5375	RCFD5507	RCFD6164	RCFD6165	RCFDA590	RCFDB026	RCFDB565	RCFDB566	RCFDB567	RCFDB568	RCFDB569	RCFDB570	RCFDB571	RCFN5513	RCON0426	RCON2130	RCON2150	RCON2651	RCON3164	RCON3190	RCON4088	RCON5372	RCON5374	RCON5375	RCON5507	RCON5508	RCON5509	RCON5510	RCON5511	RCON5512	RCON6164	RCON6165	RCONA590	RCONB026	RCONB565	RCONB566	RCONB567	RCONB568	RCONB569	RCONB570	RCONB571	RCONC979	TEXT4087	
2732																								1262	0	345	0	0	116	true	0	0	0	1262	0	0	0	0	345	20625	6	0	0	0	0	0	0	true	0	116	0	www.albanybank.com	
2750																								0	0	0	0	0	5900	true	0	0	0	0	0	0	0	0	0	1135	3	0	0	1200	4700	0	0	false	0	0	0	www.genoanationalbank.com	
2938																								0	0	88	15500	0	15500	true	0	0	0	0	0	0	88	0	0	28328	8	0	0	0	0	0	0	true	406	0	0	www.securitybank-albany.com	
3252																								0	0	162	2600	0	4274	false	0	0	0	0	0	0	0	0	162	560	0	0	0	667	1000	0	0	false	0	7	0		
3458																								0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0		
3506																								5784	8	0	97792	695	198122	true	0	0	8	5089	0	0	0	0	0	15591	4	695	0	0	100000	0	330	true	0	0	0	interchangebank.cm	
3720																								0	0	172	0	0	4234	true	0	0	0	0	0	0	168	0	4	611	1	0	0	2000	2000	0	0	true	0	234	0	www.bankofclarendon.com	
3953																								0	0	233	0	0	392	true	0	0	0	0	0	188	0	0	45	1814	2	0	0	0	392	0	0	false	0	0	0	http://www.fcbanker.com	
4138																								0	23	1080	298	0	2574	true	0	0	23	0	95	0	105	880	0	4872	2	0	0	1537	739	0	0	true	0	0	0	www.fnblafollette.com	
4147																								0	0	524	1500	0	13000	true	0	0	0	0	0	0	0	0	524	4247	2	0	0	6500	5000	0	0	false	0	0	0	http://www.inbank.com	
4156																								0	0	128	12000	0	19000	true	0	0	0	0	0	0	128	0	0	193	1	0	0	0	7000	0	0	false	0	0	0	http://www.kanzabank.com	
4231																								0	0	147	0	0	0	false	0	0	0	0	0	0	0	0	147	173	0	0	0	0	0	0	0	false	0	0	0		
4437																								0	0	160	1500	0	7527	true	0	0	0	0	0	0	160	0	0	20113	5	0	0	103	5924	0	0	false	0	0	0	www.fnbwv.com	
4839																								0	76	0	6000	0	30900	true	0	0	76	0	0	0	0	0	0	11597	4	0	0	13500	11400	0	0	false	0	0	0	http://abcbank.net	
5005																								0	0	0	12106	0	46142	true	0	0	0	0	0	0	0	0	0	104	0	0	0	8071	25965	0	0	true	0	0	0	WWW.STONESAV.COM	
5069																								0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	150	0	0	0	0	0	0	0	false	0	0	0		
5135																								0	0	39	5000	0	17000	false	0	0	0	0	0	0	34	0	5	12042	5	0	0	12000	0	0	0	false	0	0	0	http://www.fsbanks.com	
5210																								88	0	72	115141	0	170409	true	0	0	0	88	0	0	72	0	0	898	0	0	0	35000	20000	0	0	false	0	268	0	http://www.acnb.com	
5274																								0	0	0	3000	0	13455	true	0	0	0	0	0	0	0	0	0	3574	2	0	0	10455	0	0	0	false	0	0	0	http://www.cloverleafbank.com	
5331																								0	0	0	2500	0	17252	true	0	0	0	0	0	0	0	0	0	2841	2	0	0	14750	0	0	0	false	0	2	0	www.hydeparkbank.net	
5461																								918	731	0	0	0	6262	true	0	731	0	918	0	0	0	0	0	840	1	0	0	0	0	0	0	false	0	6262	0	WWW.BANKBAC.COM	
5751																								0	0	0	0	0	0	true	0	0	0	0	0	0	0	0	0	212	0	0	0	0	0	0	0	true	0	0	0	http://www.kearnycountybank.com	
6039																								0	0	8	0	0	0	false	0	0	0	0	0	0	0	0	8	569	0	0	0	0	0	0	0	true	0	0	0	www.aebalma.com	
6057																								0	0	68	200	0	700	false	0	0	0	0	0	0	51	0	17	8	0	0	0	500	0	0	0	false	0	0	0	http://www.bankhale.com	
6141																								0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	112	0	0	0	0	0	0	0	false	0	0	0		
6329																								0	0	255	0	0	0	true	0	0	0	0	0	120	109	0	26	778	1	0	0	0	0	0	0	false	0	0	0	www:abbank.com	
6972																								0	0	0	11800	0	29302	true	0	0	0	0	0	0	0	0	0	3363	2	0	0	0	1500	0	0	false	0	16002	0	http://www.firstindy.com	
7009																								0	0	0	0	0	0	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	http://www.bessemer.com	
7045																								0	0	0	0	0	0	true	0	0	0	0	0	0	0	0	0	1560	0	0	0	0	0	0	0	false	0	0	0	www.tpbbancorp.com	
7157																								0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	265	0	0	0	0	0	0	0	false	0	0	0		
7456																								0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	163	0	0	0	0	0	0	0	false	0	0	0	www.bankofhartington.com	
7634																								0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	605	1	0	0	0	0	0	0	false	0	0	0		
8033																								0	0	300	7582	0	16612	false	0	0	0	0	0	0	0	0	300	1393	1	0	0	2750	6280	0	0	true	0	0	0		
8417																								63000	0	0	0	0	41114	true	0	0	0	63000	0	0	0	0	0	0	0	0	0	0	0	0	0	true	0	41114	0	http://www.chase.com	
8462																								0	0	0	0	0	0	true	0	0	0	0	0	0	0	0	0	1531	2	0	0	0	0	0	0	false	0	0	0	http://www.perrytonbank.com	
8631																								0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	545	1	0	0	0	0	0	0	false	0	0	0		
9357																								4887	0	0	29100	0	29100	true	0	0	0	4887	0	0	0	0	0	34	0	0	0	0	0	0	0	true	0	0	0	www.fidelitybankmn.com	
9553																								0	0	0	7328	0	9638	false	0	0	0	0	0	0	0	0	0	2129	1	0	0	683	1627	0	0	false	0	0	0		
9807																								0	35	550	0	0	397378	true	0	0	35	0	0	0	0	0	550	49930	4	0	0	22378	375000	0	0	true	0	0	0	amboybank.com	
9955																								1990	0	27	0	0	1491	true	0	0	0	1990	0	0	27	0	0	2299	4	0	0	1429	62	0	0	true	0	0	0	http://www.bankkansas.com	
10157																								0	0	0	3975	0	3975	false	0	0	0	0	0	0	0	0	0	521	0	0	0	0	0	0	0	false	0	0	0		
10250																								0	0	0	15611	0	15611	true	0	0	0	0	0	0	0	0	0	1032	0	0	0	0	0	0	0	false	0	0	0	http://www.thebankofelkriver.com	
10849																								0	0	0	5000	0	28185	true	0	0	0	0	0	0	0	0	0	11150	6	0	0	16000	7185	0	0	true	0	0	0	http://www.firststatebk.com	
10858																								126	0	0	161	0	9283	true	0	0	0	126	0	0	0	0	0	2526	1	0	0	0	8658	0	0	true	0	464	0	www.pvsb.com	
11145																								57	0	897	2000	0	15285	false	0	0	0	57	0	0	154	0	743	1678	1	0	0	2582	10703	0	0	false	0	0	0		
11640																								0	0	0	21900	0	24481	true	0	0	0	0	0	0	0	0	0	9957	2	0	0	2539	42	0	0	false	0	0	0	http://fnbclarksdale.com	
11837																								0	0	0	1500	0	8500	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7000	0	0	false	0	0	0	www.farmbk.com	
12030																								0	0	0	0	0	0	true	0	0	0	0	0	0	0	0	0	2046	4	0	0	0	0	0	0	false	0	0	0	http://WWW.fnbalma.com	
12058																								0	0	73	1000	0	1027	false	0	0	0	0	0	0	73	0	0	251	0	0	0	0	0	0	0	false	0	27	0	www.bankofholden.com	
12142																								0	0	0	4000	0	4000	true	0	0	0	0	0	0	0	0	0	234	0	0	0	0	0	0	0	false	0	0	0	www.clevelandstatebank.com	
12245																								0	0	0	2000	0	6000	true	0	0	0	0	0	0	0	0	0	1939	2	0	0	3000	1000	0	0	false	0	0	0	WWW.BANKNORTHWIS.COM	
12311	204938	7836	35805	0	136244	4271974	true	0	7836	0	59709	172600	7	136244	8985	800000	471678	1237192	1235293	true	3657888	527811	0						4271974						30	0	22925	0	252												12598	www.huntington.com	
12647																								0	0	470	0	0	3550	false	0	0	0	0	470	0	0	0	0	1153	2	0	0	3550	0	0	0	false	0	0	0	http://PORTAGECOUNTYBANK.COM	
12656																								0	0	46	0	0	0	true	0	0	0	0	0	0	46	0	0	561	3	0	0	0	0	0	0	false	0	0	0	http://www.mybankathome.com	
12937																								0	0	0	0	0	137	true	0	0	0	0	0	0	0	0	0	4687	7	0	0	0	0	0	0	false	0	137	0	www.oakbank.com	
12946																								3215	1053	300	18000	0	25161	true	0	1020	33	3215	0	0	8	0	292	2938	1	0	0	3121	3466	0	0	false	0	574	0	www.fbtarkansas.com	
12955																								0	0	1536	2000	0	6200	true	0	0	0	0	1536	0	0	0	0	1495	1	0	0	500	3700	0	0	false	0	0	0	http://www.bankofnebraska.com	
13037																								0	0	609	0	0	0	true	0	0	0	0	0	0	0	0	609	5989	4	0	0	0	0	0	0	false	0	0	0	http://www.tradersbanking.com	
13103																								0	0	0	114450	0	187850	true	0	0	0	0	0	0	0	0	0	1483	7	0	0	32600	40800	0	0	false	0	0	0	www.bristolcountysavingsbank.com	
13251																								0	0	99	0	0	0	false	0	0	0	0	0	0	99	0	0	60	0	0	0	0	0	0	0	false	0	0	0		
13457																								0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	false	0	0	0		
14052																								0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	3472	3	0	0	0	0	0	0	false	0	0	0		
14155																								0	0	0	3620	0	9205	true	0	0	0	0	0	0	0	0	0	375	0	0	0	4935	650	0	0	false	0	0	0	http://www.fandcbank.com	
14258																								0	0	0	6000	0	6000	true	0	0	0	0	0	0	0	0	0	44464	9	0	0	0	0	0	0	true	0	0	0	Jacksonstatebank.com	
14409	90049	0	35745	87393	0	3100144	true	33484	0	0	90049	139505	7	0	0	650000	2118246	30	1466	true	0	243009	0						3100144						0	0	2	0	2259												0	citizensbank.com	
14454																								0	0	0	0	0	0	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	www.fsevansville.com	
14650																								0	0	55	0	0	0	false	0	0	0	0	0	0	55	0	0	100	0	0	0	0	0	0	0	false	0	0	0		
14753																								0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	723	1	0	0	0	0	0	0	false	0	0	0		
14865																								1455	0	104	0	0	2955	true	0	0	0	1455	0	0	0	0	104	1944	2	0	0	0	0	0	0	true	0	2955	0	http://beobank.com	
15536																								111	0	16197	0	0	100000	true	0	0	0	111	0	0	0	3405	12792	1030	1	0	0	0	100000	0	0	false	0	0	0	http://www.pullmanbank.com	
16337																								0	0	0	5000	0	34000	true	0	0	0	0	0	0	0	0	0	1700	1	0	0	6000	23000	0	0	true	0	0	0	www.wakullabank.com	
16458																								0	0	0	2247	0	5315	true	0	0	0	0	0	0	0	0	0	7297	2	0	0	3068	0	0	0	true	0	0	0	www.douglascountybank.com	
16551																								0	0	62	5000	0	20504	true	0	0	0	0	0	0	62	0	0	327	0	0	0	8000	7504	0	0	false	0	0	0	http://www.northviewbank.com	
16748																								338	0	135	0	336	2000	false	0	0	0	2	135	0	0	0	0	1153	2	435	0	0	2000	0	0	false	0	0	0		
16944																								0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	630	2	0	0	0	0	0	0	false	0	0	0		
16953																								0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	false	0	0	0	http://www.fertilebeltrami.k12.mn.us	
17110																								302	0	0	0	0	0	false	0	0	0	302	0	0	0	0	0	3775	3	0	0	0	0	0	0	false	0	0	0	http://www.haverfordtrust.com	
17147																								423	0	939	17000	423	65128	true	0	0	0	0	0	0	939	0	0	14538	9	423	0	5595	42533	0	0	true	0	0	0	http://www.firstmerchants.com	
17259																								0	0	0	0	0	1750	true	0	0	0	0	0	0	0	0	0	1178	1	0	0	0	0	0	1750	false	0	0	0	http://www.fnbmarlow.com	
17464																								16167	2334	367	12500	4295	117405	true	0	2334	0	11872	367	0	0	0	0	1935	1	4295	0	38000	60859	0	0	true	0	6046	0	http://www.botc.com	
17839																								0	0	441	0	0	5000	true	0	0	0	0	292	0	141	0	8	11255	4	0	0	5000	0	0	0	true	15	0	0	www.sumterbank.com	
17950																								0	0	30	5000	0	6096	true	0	0	0	0	0	0	24	0	6	457	0	0	0	700	396	0	0	false	0	0	0	www.bankofbridger.com	
18050																								1080	0	241	292	0	4188	true	0	0	0	1080	37	0	0	0	204	2363	2	0	0	3278	618	0	0	true	0	0	0	http://www.fnbbastrop.com	
18135																								0	0	0	2439	0	12909	false	0	0	0	0	0	0	0	0	0	549	0	0	0	2300	8170	0	0	true	6332	0	0	http://banksouthcentral.com	
18368																								0	0	0	1721	0	63293	true	0	0	0	0	0	0	0	0	0	0	0	0	0	4625	56947	0	0	false	0	0	0	www.bankofwalnutcreek.com	
18377																								0	0	0	650	0	650	false	0	0	0	0	0	0	0	0	0	218	1	0	0	0	0	0	0	false	0	0	0	http://ballysavingsbank.com	
18827																								0	0	0	0	0	757	false	0	0	0	0	0	0	0	0	0	2297	1	0	0	0	0	0	757	false	0	0	0		
18836																								0	0	50	2800	0	8056	true	0	0	0	0	0	0	50	0	0	2007	1	0	0	1300	3956	0	0	false	0	0	0	http://www.caponvalleybank.com	
18854																								0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0		
18957																								0	0	29	533	0	4454	false	0	0	0	0	0	0	0	0	29	342	0	0	0	413	3508	0	0	false	0	0	0		
19356																								0	0	175	0	0	0	true	0	0	0	0	0	0	0	0	175	0	0	0	0	0	0	0	0	false	0	0	0	http://www.sbtmiami.com	
19730																								9843	0	887	20846	510	63965	true	0	0	0	9333	0	0	887	0	0	85820	6	510	0	37716	5403	0	0	true	0	0	0	standardbanks.com	
19936																								0	0	0	0	0	0	true	0	0	0	0	0	0	0	0	0	3148	2	0	0	0	0	0	0	false	0	0	0	www.cbkamericus.com	
19972																								0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0		
20053																								0	0	10	3110	0	4571	true	0	0	0	0	0	0	0	0	10	114	0	0	0	1290	171	0	0	false	0	0	0	http://www.securityonlinebank.com	
20147																								0	0	223	0	0	4769	true	0	0	0	0	0	0	223	0	0	983	6	0	0	0	319	0	4450	false	0	0	0	http://farmersstatebank-in.com	
20259																								1986	0	0	0	0	32	true	0	0	0	1986	0	0	0	0	0	1237	1	0	0	0	0	32	0	false	0	0	0	Pinedalebank.com	
20370																								0	0	160	100	0	100	true	0	0	0	0	0	0	37	0	123	0	0	0	0	0	0	0	0	false	0	0	0	www.firstheritage.net	
20512																								0	0	113	0	0	10000	false	0	0	0	0	0	0	0	0	113	619	0	0	0	0	10000	0	0	false	0	0	0	http://www.fnbpa.com	
20633																								0	0	31	1240	0	1240	true	0	0	0	0	0	0	31	0	0	4672	2	0	0	0	0	0	0	false	0	0	0	www.mcnbbanks.com	
20754																								0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	76	0	0	0	0	0	0	0	false	0	0	0		
20839																								0	0	0	0	0	8000	true	0	0	0	0	0	0	0	0	0	1639	1	0	0	2000	6000	0	0	false	0	0	0	http://www.colonybank.com	
20857																								0	0	0	601	0	2802	true	0	0	0	0	0	0	0	0	0	977	2	0	0	1309	843	0	0	false	0	49	0	http://granitefallsbank.com/site	
20866																								0	0	0	11800	0	16896	false	0	0	0	0	0	0	0	0	0	2344	3	0	0	4700	0	0	396	false	0	0	0	http://homevalleybank.com	
21256																								0	0	133	0	0	0	false	0	0	0	0	0	0	133	0	0	39	0	0	0	0	0	0	0	false	0	0	0		
21359																								0	0	0	0	0	386	false	0	0	0	0	0	0	0	0	0	329	1	0	0	0	0	0	386	false	0	0	0		
21630																								0	0	69	0	0	6237	false	0	0	0	0	0	0	0	0	69	1381	4	0	0	0	6237	0	0	false	0	0	0		
21658																								0	0	272	0	0	3057	true	0	0	0	0	0	0	109	0	0	1357	1	0	0	300	2757	0	0	true	0	0	163	www.alliancebank.us	
22048																								0	0	585	10400	0	16646	true	0	0	0	0	75	0	356	0	154	6142	4	0	0	0	5972	0	0	false	0	274	0	www.unionbnk.com	
22235																								456	0	2237	1000	0	10000	true	0	0	0	456	0	0	122	0	2115	833	0	0	0	3000	6000	0	0	false	0	0	0	http://www.colonybank.com	
22356																								0	0	307	0	0	367	true	0	0	0	0	0	0	77	0	230	2915	1	0	0	0	0	0	0	true	0	367	0	http://www.powellbank.com	
22459																								0	0	0	1000	0	2016	true	0	0	0	0	0	0	0	0	0	4489	4	0	0	1000	0	0	0	false	0	16	0	http://www.1stbankonline.com	
22543																								0	11	225	0	0	0	true	0	0	11	0	0	0	225	0	0	410	0	0	0	0	0	0	0	true	0	0	0	www.istatesavingsbank.com	
22552																								0	0	41	3110	0	3110	false	0	0	0	0	0	0	0	0	41	1273	2	0	0	0	0	0	0	true	0	0	0		
22730																								0	0	65	0	0	1233	true	0	0	0	0	0	0	65	0	0	1200	0	0	0	0	1233	0	0	false	0	0	0	http://www.westunionbank.com	
22936																								0	0	0	11000	0	16392	true	0	0	0	0	0	0	0	0	0	5086	2	0	0	3384	2000	8	0	false	0	0	0	http://www.fmbnk.com	
22954																								0	0	0	954	0	10844	true	0	0	0	0	0	0	0	0	0	839	1	0	0	6711	3179	0	0	false	0	0	0	www.fnbhawley.com	
23036																								0	0	230	0	0	127	true	0	0	0	0	0	0	230	0	0	16784	7	0	0	0	0	0	0	true	0	127	0	cbtbank.com	
23045																								0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	377	0	0	0	0	0	0	0	false	0	0	0		
23241																								9612	12746	720	142800	2314	152803	true	0	0	12746	7298	0	0	310	0	410	1665	1	2314	0	2800	921	0	6282	true	0	0	0	http://www.integrabank.com	
23456																								0	0	0	3100	0	3677	true	0	0	0	0	0	0	0	0	0	493	0	0	0	0	533	0	44	true	0	0	0	www.fnbhenning.com	
23504																								0	0	0	15000	0	15000	true	0	0	0	0	0	0	0	0	0	2727	1	0	0	0	0	0	0	false	0	0	0	www.bridgenb.com	
23540																								0	0	0	0	0	0	true	0	0	0	0	0	0	0	0	0	1182	0	0	0	0	0	0	0	false	0	0	0	WWW.OSWEGOBANK.COM	
23643																								0	0	1148	52	0	414	false	0	0	0	0	140	0	434	0	574	871	1	0	0	115	247	0	0	false	0	0	0		
23755																								809	0	116	0	809	2000	true	0	0	0	0	25	0	0	91	0	1778	1	1226	0	2000	0	0	0	true	0	0	0	www.1stnewrichmond.com	
23812																								0	0	0	5851	0	56491	true	0	0	0	0	0	0	0	0	0	19568	1	0	0	33163	17477	0	0	true	0	0	0	www.fnbchestercounty.com	
24006																								0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0		
24266																								8442	0	0	0	2395	49726	true	0	0	0	6047	0	0	0	0	0	34027	3	2395	0	0	47000	0	0	false	0	2726	0	http://www.midstatebank.com	
24453																								662	0	0	0	0	0	true	0	0	0	662	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	www.rockymountainbank.com	
24659																								0	0	345	0	0	0	false	0	0	0	0	0	345	0	0	0	200	1	0	0	0	0	0	0	false	0	0	0		
24668																								400	0	92	0	143	427	true	0	0	0	257	0	0	0	0	92	319	0	143	0	427	0	0	0	false	0	0	0	http://www.banktexas.org	
24855																								0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	358	3	0	0	0	0	0	0	false	0	0	0		
24949																								1691	0	3915	8000	1048	22800	true	0	0	0	643	0	0	723	0	3192	2213	2	1116	0	10200	4600	0	0	true	0	0	0	http://www.baraboonational.com	
25357																								0	0	0	17500	0	19500	true	0	0	0	0	0	0	0	0	0	89	0	0	0	2000	0	0	0	false	0	0	0	http://www.allamericabank.net	
25647																								0	0	2145	0	0	0	false	0	0	0	0	0	0	0	2145	0	577	1	0	0	0	0	0	0	false	0	0	0		
25852																								1523	0	1358	2000	1457	20000	true	0	0	0	66	0	0	260	0	0	4232	1	1734	0	15000	3000	0	0	true	0	0	1098	www.sandcbank.com	
26149																								0	699	0	0	0	0	true	0	0	699	0	0	0	0	0	0	983	1	0	0	0	0	0	0	false	0	0	0	www.palmerbank.com	
26233																								430	0	2023	0	0	6126	true	0	0	0	430	0	0	0	0	2023	1601	1	0	0	1000	5000	0	0	true	0	126	0	http://www.fnbgreatbanc.com	
26242																								0	0	119	1450	0	7450	true	0	0	0	0	0	0	64	0	55	3265	2	0	0	6000	0	0	0	true	0	0	0	www.fnbmh.com	
26457																								0	0	275	0	0	0	false	0	0	0	0	0	0	0	0	275	0	0	0	0	0	0	0	0	false	0	0	0		
26765																								0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	75	0	0	0	0	0	0	0	false	0	0	0	http://www.fnbrefugio.com	
26859																								0	0	1938	0	0	3621	true	0	0	0	0	911	0	1027	0	0	434	0	0	0	2356	1111	0	0	false	0	154	0	http://WWW.OMNIBANK.COM	
26916																								1678	153	0	0	224	32000	true	0	153	0	1454	0	0	0	0	0	10947	6	224	0	2000	30000	0	0	true	0	0	0	delawarenational.com	
27548																								1652	0	215	8466	192	52716	true	0	0	0	1460	0	0	215	0	0	9129	3	192	0	19250	25000	0	0	true	0	0	0	www.blackhawkbank.com	
