"IDRSSD"	RIAD0497	RIAD4042	RIAD4136	RIAD4141	RIAD4146	RIAD4461	RIAD4462	RIAD4463	RIAD4464	RIAD4467	RIAD4468	RIAD4469	RIAD4486	RIAD4487	RIAD4488	RIAD4489	RIAD4491	RIAD4498	RIAD4499	RIAD4521	RIAD4522	RIAD4769	RIAD8403	RIADB526	RIADB527	RIADC013	RIADC014	RIADC015	RIADC016	RIADC017	RIADC018	RIADF229	TEXT4461	TEXT4462	TEXT4463	TEXT4464	TEXT4467	TEXT4468	TEXT4469	TEXT4487	TEXT4489	TEXT4498	TEXT4499	TEXT4521	TEXT4522	TEXT4769	TEXTB526	TEXTB527	
7009	0	0	0	0	0	0	0	0	10263	547	0	0	0	0	0	0	0	4	0	0	0	true	0	0	0	0	0	0	0	0	0	0				Investment Advisory and Other Svc Fees	Custody Fees					See RI-E 7 below for description				RI-E 5a - Income tax benefit resulting from employees' exercise of parent-issued stock option for parent's common stock.			
7045	11	0	18	12	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	16	0	0	3	0	5	7	0	21	0																	
7157	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	6	21	0	0				ATM SWITCH FEES													
7456	0	0	12	9	10	23	6	0	7	0	0	0	0	0	0	0	0	0	0	0	0	false	7	0	0	0	0	0	0	19	0	0	Overdraft Charges	Fees		Correspondent bank service charges													
7634	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	13	20	0				AUDIT, ACCT, TAX FEES													
8033	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0				Depreciation													
8462	0	0	16	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	21	0				OCC Assessment													
8631	9	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	16	0	11	54	0	0																	
9357	0	0	0	65	0	93	690	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	Special Services Fees	Customer Owned ATMs															
9553	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0																	
9807	538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0																	
9955	0	0	0	0	0	295	0	0	62	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	68	0	0	KWMI - Gross Income			KWMI - Expenses													
10157	0	0	0	0	0	41	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	29	0	0	MISCELLANEOUS INCOME			PROFESSIONAL FEES													
10250	128	0	20	20	10	91	14	9	21	49	31	0	0	0	0	0	0	0	0	0	0	false	48	0	0	12	2	10	8	26	82	0	Mortgage Origination Fees	Other Service Charges	Merchant Credit Cards	Education	Insurance Bond, D & O, Property, VSI, SBA	Donations											
10849	0	0	0	0	0	144	0	0	63	49	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	Data Processing Income			Software maintenance fees	Telephone												
10858	0	0	0	0	0	80	0	0	100	215	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	112	0	0	0	R/E Secondary Market Fees			I/C FNNI Adm Overhead-FNNI	I/C Ser Exp ETS-FNNI												
11145	40	0	14	3	3	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	false	22	0	0	17	0	13	20	76	19	0				Audit & Exam fees													
11640	0	0	30	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	24	0	0	0	0	0				Sales and State Income Tax													
11837	0	0	0	0	0	0	0	0	23	29	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0				Items Processing - PGFC	Consultant fees												
12030	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	48	0	0	0	0	0	0	125	85	0																	
12058	17	0	0	0	0	0	0	0	18	85	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	42	0				Telephone	Fees												
12142	8	0	18	3	4	25	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	false	21	0	0	4	0	38	17	0	20	0	Miscellaneous Income			Accounting													
12245	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	49	19	0	OTHER FEE INCOME																
12311	7637	0	0	0	0	9729	0	0	0	20167	0	0	0	0	0	0	0	2273	32	0	0	true	0	0	0	0	10851	0	0	0	0	0	Check card interchange income				Data processing and outside services					Stock option expense	Miscellaneous adjustments to surplus			Significant items for the quarter ended March 31, 2007 include $8.5 million (pre-tax) of equity investment losses, $2.0 million (pre-tax) negative impact of the mark-to-market of mortgage servicing rights, net of hedging. Also included was $1.9 million (pre-tax) of losses due to a litigation settlement.			
12647	0	0	0	0	0	0	0	0	13	16	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	33	0	0				misc expense	comm and fees												
12656	1	0	8	2	1	0	0	0	4	4	3	0	0	0	0	0	0	0	0	0	0	false	4	0	0	1	0	3	1	2	4	0				CORRESPONDENT SERVICE CHARGES	TRAVEL EXPENSE	BANKERS BOND PREMIUM											
12937	0	0	0	26	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	13	0	0	0	0	0	0	57	0	0																	
12946	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0																	
12955	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	24	0	0	0	0	0	0	26	24	0	MIISC. INCOME																
13037	0	0	20	30	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	20	0	19	0				Audit													
13103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	380	0	0																	
13251	3	0	1	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	1	0	0	2	9	5	0																	
13457	0	0	0	0	0	0	0	0	7	10	6	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	12	0	0	7	4	0				debit card expenses	occ assessment	life insurance expenses											
14052	12	0	14	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	true	10	0	0	0	0	0	0	38	10	0	Secondary Market Real Estate Pricing													The Bank formed an Investment Subsidiary under the State of Nevada 1-1-01.			
14155	22	0	0	5	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	false	21	0	0	4	14	3	8	94	0	0				CDARS transaction fees													
14258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0																	
14409	0	0	0	0	0	7551	11655	0	17406	0	0	0	0	0	0	0	0	0	0	0	0	false	0	-29698	0	0	0	0	0	0	0	0	Mastermoney Fee Income	Credit Card Fees		Credit Card Servicing Expense											Adoption of FIN 48		
14454	0	0	0	0	0	0	0	0	8	34	7	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	23	0	0				Audit Tax and Accounting	Management Fees	Service Charge Leases											
14650	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	6	0	0	10	12	0	0	15	12	0	EXCHANGE AND COLLECTION FEES																
14753	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	6	0	0	0	0	0	0	23	8	0																	
14865	37	0	0	0	0	70	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	BEO Broker Fee	Debit Card Interchange															
15536	177	0	9	315	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2020	0	false	110	0	0	89	0	88	95	1458	292	0												Acquisition of United Community Bank January 1, 2007					
16337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	257	0	0																	
16458	44	0	73	0	0	72	0	0	51	0	45	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	90	0	0	Debit card interchange income			Professional Fees		Debit Card Processing Expense											
16551	0	0	0	0	0	70	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	32	0	Secondary market loan fees			Telephone and data network													
16748	0	0	14	0	0	9	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	14	0	0	35	0	0	Visa			Accounting/Auditing													
16944	1	0	14	1	1	2	1	1	7	3	3	0	0	0	0	0	0	0	0	0	0	false	3	0	0	1	0	3	2	34	5	0	Debit card income	Money order sales	Check cashing fees	Courier	Examiner fees	Insurance											
16953	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	16	9	0																	
17110	115	0	27	43	4	55	0	0	215	139	142	0	0	0	0	0	0	0	0	0	0	true	26	0	0	0	0	0	0	256	80	0	12 b-1 fees			Referral fees	Contributions	Custodian costs								Item 2k-Travel and Entertainment          81 Item 2l-Other professional fees          136			
17147	76	0	26	85	22	0	0	0	0	0	0	0	0	0	0	0	0	1500	0	0	0	false	20	0	0	0	213	31	258	1391	20	0										Captial Infusion							
17259	3	1	9	23	9	2	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	false	4	0	0	2	14	2	14	0	5	0	ROYALTY INCOME	FORFITURES DEPOSIT ACCOUNTS	OTHER MISC. INCOME														
17464	317	0	151	80	193	711	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	333	0	0	0	457	36	98	0	212	0	Interchange income - Card Base & Merchant	0										0					
17839	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	227	0	0																	
17950	14	0	6	4	8	20	49	0	16	0	0	0	0	0	0	0	0	0	0	0	0	false	13	0	0	0	32	13	10	103	35	0	OTHER COMMISSIONS	RE SECONDARY LOAN FEES		TELEPHONE													
18050	0	0	0	0	0	131	0	0	85	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	Debit Card Program Income			Debit Card Program Expense													
18078	0	0	0	0	0	2005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	-150	0	0	0	0	0	819	0	0	Asset management and financial planning fees														Adoption of FIN 48		
18135	0	0	0	0	0	0	0	0	144	43	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	34	0	0	80	35	0				Conventional Credit Insurance	Contracted Services												
18377	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0																	
18827	0	0	0	0	0	30	0	0	25	23	0	0	0	0	0	0	0	0	0	-19	0	false	0	0	0	0	0	0	0	0	0	0	Visa Checkcard Discount Fee			Donation to Armstrong County Community Foundation	Consultant Fees							Current year adjustment for allowance for loan loss off-balance sheet items					
18836	0	0	44	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	29	0	31	91	0	0																	
18854	2	0	8	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	4	0	0	0	0	1	0	5	8	0																	
18957	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	13	0																	
19356	15	7	10	2	0	2	3	0	4	5	5	0	0	0	0	0	0	0	0	0	0	false	8	-1519	0	2	0	3	3	59	14	0	Wire Transfer Fees	Merchant Visa/MC Income		Blanket Bond Insurance	Travel	Audit Fees									To record Deferred Compensation for CEO as of 12-31-06 per FDIC Examination		
19730	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	545	0	0																	
19936	28	3	37	4	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	25	0	0	17	26	7	50	72	17	0																	
19972	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0																	
20053	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	5303	0	322	0	false	0	0	0	0	0	0	0	0	0	0				AUDIT AND ACCOUNTING						MERGER		MERGER					
20147	27	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	12	0	0	7	0	0	15	17	13	0																	
20259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	40	30	18	0																	
20370	0	0	61	142	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	75	52	0	0				ATM Expenses													
20512	0	0	0	0	0	0	0	0	23	37	17	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	19	0	0	0				PA Shares Tax	Professional Services	ATM expense											
20633	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	132	48	0																	
20839	0	0	0	0	0	54	0	0	96	0	0	0	0	0	0	0	0	0	0	0	0	false	0	-29	0	0	0	0	0	104	0	0	Mortgage origination fees			Consulting											Change in accounting principle - FIN 48		
20857	6	0	5	3	3	4	1	0	27	13	14	0	0	0	0	0	0	0	0	0	0	false	5	0	0	0	0	6	0	0	6	0	Debit/credit card income	Wire transfer fees		Donations	PR expense	Misc professional fees											
20866	0	0	0	62	0	0	0	0	73	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	33	0	0	0	0	0				SOFTWARE MAINT EXP													
21256	1	0	3	5	0	0	0	0	3	2	21	0	0	0	0	0	0	0	0	0	0	true	0	0	0	0	5	2	0	13	2	0				Entertainment Expense	Telephone	Expense of Other Real Estate								There were not enough lines for RI-E 2.  Visa Check Card Expense was $2,000.			
21359	6	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	4	0	0																	
21630	7	0	20	1	8	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	false	8	0	0	0	0	1	9	18	9	0				Advalorem Taxes													
21658	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	22	0	0	24	22	0																	
22048	0	0	0	0	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	37	0	0	76	0	0	Miscellaneous Customer Servcie Fees																
22235	0	0	0	0	0	159	106	0	130	88	103	0	0	0	0	0	0	0	0	0	0	false	0	-65	0	0	0	0	0	200	0	0	Mortgage origination fees	Service release premium		Consulting fees	Bank service release premium	Bank mortgage origination fees									Change in accounting principles - FIN 48		
22356	51	0	0	0	0	54	0	0	69	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	65	0	0	Signature Based Interchange Income			Credit Card Expense													
22459	11	0	21	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	14	0	0	2	0	13	11	40	13	0																	
22543	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	15	0	0																	
22552	7	0	5	1	1	11	7	0	24	10	0	0	0	0	0	0	0	0	0	0	0	false	6	0	0	1	0	2	2	1	12	0	data processing	misc fees		equipment & services	consulting												
22730	0	0	25	0	0	25	28	0	27	19	18	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	84	0	0	Secondary Market Fees	Visa Check Card/ATM Fees		Telephone	Visa Check Card Expenses	Supplies											
22936	89	0	0	0	0	135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	159	0	0	Mortgage Fees																
22954	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	43	0	0																	
23036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1330	0	false	0	0	0	0	0	0	0	502	0	0												LOAN LOSS RESERVE BALANCE ACQUIRED FROM CITIZENS BANK IN JAN MERGER					
23045	0	0	0	0	0	0	0	0	6	13	23	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	13	0	0				Accounting and Tax Audit	Examination Fees	Other Operating Expense											
23241	556	0	0	509	0	895	0	0	617	0	0	0	0	0	0	0	0	0	0	0	0	false	561	0	0	0	0	0	0	498	0	0	Debit card income - interchange			Low income housing													
23456	23	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0				Service Charges													
