"IDRSSD"	RIAD0497	RIAD4042	RIAD4136	RIAD4141	RIAD4146	RIAD4461	RIAD4462	RIAD4463	RIAD4464	RIAD4467	RIAD4468	RIAD4469	RIAD4486	RIAD4487	RIAD4488	RIAD4489	RIAD4491	RIAD4498	RIAD4499	RIAD4521	RIAD4522	RIAD4769	RIAD8403	RIADB526	RIADB527	RIADC013	RIADC014	RIADC015	RIADC016	RIADC017	RIADC018	RIADF229	RIADF555	RIADF556	RIADF557	RIADF558	RIADF559	TEXT4461	TEXT4462	TEXT4463	TEXT4464	TEXT4467	TEXT4468	TEXT4469	TEXT4487	TEXT4489	TEXT4498	TEXT4499	TEXT4521	TEXT4522	TEXT4769	TEXTB526	TEXTB527	
13103	0	0	0	0	96	32	0	0	141	0	0	0	0	0	0	0	0	0	0	0	0	false	98	0	0	0	0	28	0	408	0	0	0	0	0	0	0	PREPAYMENT PENALTY			ITEM PROCESSING CHARGE													
13251	3	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	2	2	4	0	0	0	0	0	0																	
13457	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				Life Insurance Expense	Debit Card Charges												
14052	23	0	10	8	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	false	11	0	0	0	12	0	0	34	15	0	0	0	0	0	0				CORRESPONDENT BANK PROCESSING FEES													
14155	11	1	6	3	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	19	0	0	3	15	3	8	85	13	0	36	12	0	26	7																	
14454	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				Management Fees													
14650	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	4	14	0	0	11	10	0	0	0	0	0	0	Exchange and Collections																
14753	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0																	
14865	26	0	26	0	38	46	0	0	30	37	28	0	0	0	0	0	0	0	0	0	0	false	31	0	0	0	0	0	0	0	36	0	89	0	0	0	0	BEO MORTGAGE BROKER FEE INCOME			PUBLIC RELATIONS	DEBIT CARD PROCESSING	DEFERRED COMPENSATION EXPENSE											
14977	7	0	32	14	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	4	0	0	2	0	0	0	0	7	0	0	7	0	0	4																	
15536	134	0	10	180	349	0	0	0	2544	0	0	0	0	0	0	0	0	0	0	0	0	false	98	0	0	118	0	86	159	1993	215	0	444	393	138	13	362				Oreo expense													
16337	52	0	46	51	161	37	0	0	123	0	0	0	0	0	0	0	0	0	0	0	0	false	57	0	0	0	95	31	66	293	54	0	79	0	0	0	53	Long-term mortgage origination fees			Other non-operating													
16458	64	0	73	0	195	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	104	0	0	89	0	0	75	68				Professional Fees													
16551	27	0	0	52	0	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	48	29	0	28	0	0	29	43	Secondary market loan fees																
16748	3	0	12	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	8	0	0	0	12	2	4	45	5	0	9	21	0	0	7																	
16944	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0																	
16953	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																	
17110	0	0	0	0	32	0	0	0	168	122	97	0	0	0	0	0	0	0	0	0	0	true	0	0	0	0	0	0	0	156	67	0	0	0	0	0	0				REFERRAL FEES	CONTRIBUTIONS	CUSTODIAN COSTS								2(o) Other Prfessional Fees         94 2(p)Travel & Entertainment           40 2(q) Other Insurance                    37 2(r) Other Client Fees                   55 2(s) Shares Tax                           48			
17147	78	0	51	298	193	0	0	0	0	0	0	0	0	0	0	0	0	11000	0	0	0	false	18	0	0	0	59	50	530	2777	119	0	0	0	0	0	0										Capital Infusion							
17259	4	0	9	20	21	4	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	false	5	0	0	2	23	2	19	0	4	0	0	0	0	0	0	ROYALTY INCOME                                                                    660000	FORFITURE                                                                                659900	OTHER MISC INCOME & SIGN ADVERTISING                        689900 + 689850														
17464	308	235	115	262	1103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	345	0	0	0	24	35	116	0	139	0	614	184	213	141	202																	
17950	0	0	0	0	29	0	61	0	0	0	0	0	0	0	0	0	0	0	0	-93	0	false	0	0	0	0	0	0	0	136	26	0	0	0	0	0	0		RE SECONDARY LOAN FEES										ALLOWANCE FOR UNFUNDED COMM					
18050	26	0	48	45	92	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	false	46	0	0	0	0	0	38	0	30	0	176	0	0	138	94				Business Development and Goodwill													
18135	0	0	0	0	0	0	0	0	266	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	35	0	0	79	26	0	0	0	0	0	0				Conv Credit Ins													
18377	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				Payroll													
18827	32	0	26	45	64	92	0	0	58	74	0	0	0	0	0	0	0	0	0	0	0	false	37	0	0	0	0	0	0	0	29	0	0	25	0	0	25	Visa check card income			Correspondent service fees	Pennsylvania shares tax												
18836	0	0	38	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	32	0	43	66	0	0	0	32	0	29	0																	
18854	10	0	10	20	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	8	0	0	0	0	1	0	5	16	0	0	3	10	15	14																	
18957	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0																	
19356	14	0	8	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	7	-14	0	1	0	3	5	60	13	0	0	0	0	0	0															TO RECORD DEFERRED COMPENSATION AS OF 12-31-08		
19730	323	0	0	303	1043	168	44	0	131	232	0	0	0	0	0	0	0	0	0	0	0	false	122	0	0	40	355	67	0	548	181	0	36	0	146	0	202	Letter of Credit Fees	Visa Commissions		Loan Administation	Armored Services												
19936	0	0	34	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	30	0	0	0	0	0	75	74	0	0	0	0	0	51	75																	
19972	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																	
20053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	19	0	0	0	47	0	0	0																	
20147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	10	0	0	0	44	0	0	27	38	0	0	0																	
20370	29	1	17	58	45	0	0	0	33	36	0	0	0	0	0	0	0	0	0	0	0	false	17	0	0	0	29	4	77	43	10	0	0	32	22	52	44				B & O Taxes	Expense for Other Real Estate Owned												
20512	7	0	11	0	38	0	0	0	25	26	11	0	0	0	0	0	0	0	0	0	0	false	12	0	0	0	0	2	9	2	19	0	0	0	0	14	4				PA Shares Tax	Professional services	bank exam											
20633	65	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	57	0	34	150	42	0	0	38	0	0	0																	
20857	3	0	6	0	25	0	0	0	75	13	8	0	0	0	0	0	0	0	0	0	0	false	4	0	0	0	3	5	1	0	13	8	0	16	17	0	3				Donations	PR expense	Check/Debit fees											
20866	0	0	0	97	49	0	0	0	125	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0				Software Maint.													
21256	0	0	3	9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	0	0	0	-6	2	0	12	3	0	0	0	0	0	1																	
21359	7	0	6	0	3	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	false	3	0	0	0	2	1	0	5	0	0	0	3	0	0	0				ORE EXPENSES													
21630	6	0	20	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	8	0	0	0	0	0	3	26	7	0	15	4	4	10	3																	
21658	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	28	34	0	0	0	0	0	19	0																	
22048	21	0	21	16	66	103	12	16	19	0	0	0	0	0	0	0	0	0	0	0	0	false	18	0	0	6	36	6	0	93	19	0	0	38	44	0	33	Miscellaneous Customer Service Fees	Miscelaneous Income	Loan Processing Fees	Public Relations													
22356	30	0	0	29	437	36	0	0	31	34	0	0	0	0	0	0	0	399	0	0	0	false	35	0	0	0	0	26	0	44	0	0	100	55	0	65	0	Earnings on BOLI Life Insurance			Internet Banking	Other Insurance					Additional Capital Investment by Holding Company							
22459	13	0	21	5	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	14	0	0	3	0	14	7	46	26	0	42	17	0	7	9																	
22543	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0																	
22552	13	0	5	6	8	8	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	false	5	0	0	1	0	2	1	1	9	0	2	8	9	2	4	data processing			equipment & services													
22730	0	0	27	0	0	41	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	85	0	0	0	0	0	0	0	Visa Check Card/ATM Fees			Visa Check Card Expenses													
