"IDRSSD"	RIAD0497	RIAD4042	RIAD4136	RIAD4141	RIAD4146	RIAD4461	RIAD4462	RIAD4463	RIAD4464	RIAD4467	RIAD4468	RIAD4469	RIAD4486	RIAD4487	RIAD4488	RIAD4489	RIAD4491	RIAD4498	RIAD4499	RIAD4521	RIAD4522	RIAD4769	RIAD8403	RIADB527	RIADC013	RIADC014	RIADC015	RIADC016	RIADC017	RIADC018	RIADF229	RIADF555	RIADF556	RIADF557	RIADF558	RIADF559	RIADG894	TEXT4461	TEXT4462	TEXT4463	TEXT4464	TEXT4467	TEXT4468	TEXT4469	TEXT4487	TEXT4489	TEXT4498	TEXT4499	TEXT4521	TEXT4522	TEXT4769	TEXTB527	
2161	0	0	40	0	CONF	0	0	0	119	124	38	0	0	0	0	0	0	0	0	0	0	false	34	0	0	78	0	52	194	73	0	125	36	0	53	0	0				DEBIT CARD & VISA-ME EXPENSE	DEFERRED COMPENSATION PLAN	COMPTROLLER ASSESSMENT										
2376	495	861	544	44	CONF	956	301	0	149	120	584	0	0	0	0	0	0	0	0	0	0	false	113	0	0	878	21	137	582	396	0	106	388	38	144	97	0	Joint Ventures	Miscellaneous Fees		Insurance	ank Service Charges	Miscellaneous Expense										
2451	0	0	0	0	CONF	110	109	245	0	0	0	0	0	0	0	0	0	200	0	0	0	false	0	0	0	0	0	0	45	0	0	0	35	0	0	0	0	Mortgage Income - Origination Fee Customer	Mortgage Income - Servicing Fee	Mortgage Income - Mortgage Servicing Rights							Capital injection						
2554	1	0	9	0	CONF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	0	0	0	2	0	3	4	0	0	6	0	0	4	0																
2732	51	0	122	573	CONF	35	0	0	133	0	0	0	0	0	0	0	0	0	0	0	0	false	154	0	0	0	56	0	657	98	0	0	45	0	0	48	0	Electronic Bank Fees / Wire Transfer			OCC Bank Examination Fees												
2750	37	0	28	0	CONF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	118	0	0	0	0	0	0	0	0																
2938	166	0	0	0	CONF	146	0	0	221	275	0	0	0	0	0	0	0	6645	0	2486	0	false	0	0	46	0	34	142	2022	0	0	471	0	0	0	0	0	Other service charges			Other Real Estate Expenses	Other Management Fees					Capital Infusion		Adjustment due to merger				
3252	0	0	29	0	CONF	36	0	0	30	128	31	0	0	0	0	0	0	0	0	0	0	false	32	0	0	0	0	0	0	60	0	0	60	0	0	0	0	Income- Comm, Exchanges, fees			Donations	Computer Exp- In House	Corresp. Analysis fees										
3458	0	0	0	18	CONF	0	0	0	70	11	11	0	0	0	0	0	0	651	0	0	0	false	0	-11	0	0	0	0	16	10	0	0	0	0	0	0	0				Reserve for Bad Debt - Securities	Director's Exam	Correspondent Bank Charges				Additional Paid-in Capital from holding company					Year-End Tax Adjustment	
3720	145	0	42	0	CONF	74	0	0	0	64	39	0	0	0	0	0	0	0	0	0	0	false	62	0	0	86	0	41	193	37	0	0	55	177	117	68	0	CHECK CARD INCOME				O D charge off	correspondent & bank charges										
3953	182	0	63	37	CONF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	40	0	4	325	13	11	34	87	0	33	38	47	63	41	0																
4138	85	15	81	26	CONF	70	0	0	142	0	0	0	0	0	0	0	0	1500	0	0	0	false	60	0	19	0	22	193	172	87	0	0	202	57	130	63	0	Mortgage Origination Income			OREO Expense						Capital Infusion						
4156	186	0	49	27	CONF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	28	0	1	92	25	50	262	77	0	0	65	34	19	101	0																
4231	0	0	50	0	CONF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	78	154	49	0	0	68	0	75	0	0																
4437	118	0	90	0	CONF	301	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	false	104	0	0	105	0	32	360	98	0	269	0	191	199	79	0	Origination fees - secondary market loans			Business franchise taxes												
4839	0	0	0	278	CONF	78	378	0	89	667	111	0	0	0	0	0	0	2150	0	0	0	false	0	0	31	0	0	0	336	0	0	0	114	0	94	0	0	Nonperforming assets income	Miscellaneous income		Appraisal expense	Nonperforming assets	Other outside services				Additional Equity Investment						
5005	110	0	137	769	CONF	0	0	0	358	211	180	0	0	0	0	0	0	0	0	0	0	false	0	0	0	204	44	0	481	116	0	0	118	0	0	126	0				OREO	REF OPERATING	SUBSCRIPT IONS & MEETINGS										
5069	130	0	671	0	CONF	44	0	0	71	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	148	0	0	0	99	0	0	0	0	Letters of Credit			Broker Fees												
5135	36	11	54	8	CONF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	59	0	5	110	16	147	896	79	0	4	150	0	86	0	0																
5210	337	0	169	223	CONF	68	63	96	578	0	0	0	0	0	0	0	0	0	0	0	0	false	246	0	0	765	0	742	311	217	0	0	259	0	0	271	0	Credit Card Processing Income	Appraisal Income	Mortgage Document Prep Income	PA Shares Tax												
5331	0	0	0	130	CONF	0	0	0	752	0	0	0	0	0	0	0	0	250	0	0	0	false	0	0	31	0	56	67	577	0	0	58	197	167	0	0	0				oreo operating and valuation exp						capital infusion						
5461	353	-71	0	119	CONF	110	38	0	269	138	274	0	0	0	0	0	0	0	0	0	0	false	102	0	105	32	0	35	143	224	0	223	0	0	132	167	0	CASH MANAGEMENT FEES	FEES - ALT INVESTMENT		CUSTOMER SUPPORT EXP	INSURANCE EXP	TRANSPORTATION EXP										
5751	25	0	29	56	CONF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	95	0	46	134	0	0	0	0	0	30	32	0																
6039	0	0	0	0	CONF	0	0	0	422	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	185	0	0	0	0	0	0	0	0				LOSS ON SILVERTON STOCK												
6141	0	0	28	0	CONF	5	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	false	20	0	6	0	6	0	125	24	0	0	0	0	0	10	0	Fees and Commissions			Other fees and commissions												
6329	202	0	36	177	CONF	171	106	286	78	65	73	0	0	0	0	0	0	0	0	0	0	false	223	0	0	94	19	166	0	593	0	592	66	150	79	361	0	Yield Spread Premium	Exchange/ Service Charge	Loans Serv Ch / Origination Fees	Education & Training	Service Fee Analysis	Donations										
6972	682	0	0	0	CONF	719	226	74	372	345	0	0	0	0	0	0	0	-28	12400	0	0	false	279	0	77	171	151	166	681	247	0	570	238	557	375	309	0	Loan servicing, accounting and management fees	Amortization of gain from termination of derivative contract (swap)	Fees for collection of 3rd party untility and tax payments	Tax Expense (Business and Occupation)	Correspondent Bank and Federal Reserve Bank service charges					Adjustment to prior year contribution from holding company recorded in current year	fixed assets in an LLC contrib from holding company. LLC is now subsidiary of bank					
7009	0	0	0	0	CONF	0	0	0	25381	1125	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				INVESTMENT ADVISORY AND OTHER SVC FEES	CUSTODY FEES											
7045	52	1	57	0	CONF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	52	0	9	0	13	35	0	44	0	124	43	0	53	38	0																
7157	0	0	0	0	CONF	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	80	0	0	0	0	0	0	0	0				donations												
7456	45	0	36	0	CONF	33	0	0	83	70	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Overdraft Charges			Computer Maintenance	Insurance											
7634	0	0	0	0	CONF	0	0	0	42	0	0	0	0	0	0	0	0	500	0	0	0	false	0	0	0	0	0	0	126	40	0	0	55	0	0	0	0				REPO AND LOAN COLLECTION EXPENSE						Capital injection						
8033	0	57	71	39	CONF	29	30	0	30	69	0	0	0	0	0	0	0	0	0	0	0	false	28	0	0	78	0	0	89	26	0	0	58	0	0	0	0	Gain On Securities Sold	Fees All Others		Services Computer Technology	Taxes Advalorem											
8462	0	0	47	0	CONF	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	51	50	0	0	0	0	0	0	0				Comptroller of the Currency assessments												
8631	31	0	77	0	CONF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	52	0	60	178	0	0	0	29	0	0	0	0																
9357	192	0	0	153	CONF	275	250	71	91	126	104	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	100	77	62	0	0	0	Special Services Fee	Wire Fees	Credit Card Income	Correspondent Bank Charges	Outside Vendor Services	Miscellaneous Expenses										
9553	0	0	37	0	CONF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	26	0	0	45	26	0	0	0	0	0	0	0																
9807	598	50	62	984	CONF	169	322	175	3905	472	3177	0	0	0	0	0	0	31664	16750	0	0	true	223	0	85	7105	95	453	912	203	0	0	601	1553	0	422	0	LOAN INSPECTION FEES	MORTGAGE MODIFICATION FEES	LATE CHARGES	OREO EXPENSES	OREO RE TAXES	OREO WRITE DWONS				CAPITAL CONTRIBUTION - BOLI	CAPITAL CONTRIBUTION - CASH			Schedule RI, line 6.a. includes a $13.7 million charge for an "other than temporary impairment" (OTTI) charge for HTM securities.		
9955	0	0	36	0	CONF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	37	0	0	0	0	0	173	0	0	0	0	0	0	0	0																
10157	92	0	0	81	CONF	92	32	0	42	252	0	0	0	0	0	0	0	12	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Miscellaneous Income	Income Other Real Estate		Exam Assessment	Other Real Estate Expense					Stock Bond Agreement Deferred Cost						
10250	185	54	51	111	CONF	103	55	0	174	29	17	0	0	0	0	0	0	3000	0	0	0	false	132	0	29	7	30	38	43	212	0	719	37	45	296	47	0	Mortgage Origination Fees	Other Service Charges		Insurance, D & O, Property, VSI, SBA	OREO Expense	Donations				Downstream from Holding Company						
10849	66	0	72	0	CONF	0	0	0	180	0	0	0	0	0	0	0	0	0	0	0	0	false	63	0	0	30	0	73	282	81	0	0	98	0	0	160	0				Repossession Expense												
10858	214	0	0	0	CONF	148	90	0	113	387	220	0	0	0	0	0	0	0	0	0	0	false	135	0	42	0	32	477	704	117	0	0	0	0	151	115	0	Other Income	Student Loan Sold Premium		Membership and donation expense	Administration services - affiliate	Professional services										
11145	41	12	62	3	CONF	71	0	0	115	137	33	0	0	0	0	0	0	0	0	0	0	false	55	0	47	0	16	172	247	61	0	0	81	4	41	61	0	45003 Other Misc Income/Misc Assets Income			55032 Credit/Collection Fees	55034 ORE Expense/Loss	55018 Correspondent Account										
11640	66	0	141	0	CONF	0	0	0	138	51	149	0	0	0	0	0	0	0	0	0	0	false	62	0	0	128	0	95	0	58	0	0	35	89	81	71	0				SALES AND STATE INCOME TAX	INTERNET BANKING EXPENSE	LOAN AND COLLECTION										
11837	0	0	0	46	CONF	43	0	0	435	55	79	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	50	36	0	0	0	0	89	55	0	0	Profit on Sale of Repos			Loss on Silverton Bank Stock	Item Processing Fees	Reop Loss Other Real Estate										
12030	0	0	0	161	CONF	108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	97	0	0	0	0	0	401	105	0	0	72	0	0	0	0	Credit insurance commissions															
12142	46	0	54	0	CONF	27	0	0	95	41	0	0	0	0	0	0	0	0	0	0	0	false	54	0	12	0	38	53	0	66	0	46	43	18	5	60	0	loan documentation fees			contracted services	miscellaneous expense											
12245	44	0	53	0	CONF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	31	0	0	0	0	25	134	60	0	32	0	0	0	0	0																
12311	24158	0	0	31877	CONF	46293	31362	20778	38815	0	0	0	0	0	0	0	0	500000	26167	-9187	-1907	false	12794	0	12432	40026	0	10811	90404	0	0	65411	0	0	0	16957	3542	Operating lease income	Gain on sale of VISA stock	Mark-to-Mark P/L on derivatives	Operating lease expense						Capital contribution from Parent	Loan contribution from Parent and stock option expenses	Writedown of auto loans sold to trust	Allowance associated with loans transferred to HFS			
12647	0	0	22	70	CONF	57	0	0	18	28	0	0	0	0	0	0	0	0	0	0	0	false	18	0	0	0	7	0	142	27	0	0	36	0	0	65	0	rent premises			delivery	other property expense											
12656	2	0	27	1	CONF	5	0	0	8	9	13	0	0	0	0	0	0	0	0	0	0	false	9	0	1	0	2	6	5	13	0	4	10	0	4	8	0	MISC. FEES			BANKERS BLANKET BOND PREMIUM	CORRESPONDENT SERVICE CHARGES	TRAVEL EXPENSE										
12937	0	0	0	122	CONF	0	0	0	73	57	72	0	0	0	0	0	0	0	0	0	0	false	35	0	0	0	0	24	108	0	0	0	73	0	96	39	0				General Insurance	IT Service/Maintenance	Director's Fees										
12946	140	0	0	0	CONF	30	32	0	111	94	183	0	0	0	0	0	0	0	0	0	0	false	141	0	53	272	47	125	0	143	0	270	0	196	0	476	0	Check Cashing Fees	Credit Life		Correspondent Bank Service Charges	State Bank Assessment	Business Development (134,255) and Travel (49,069)										
12955	47	0	0	49	CONF	0	0	0	0	37	54	0	0	0	0	0	0	0	0	0	0	false	79	0	0	0	0	120	54	95	0	0	41	0	0	64	0				Insurance	Dues and Subscriptions	Nebraska Deposit Tax										
13037	57	0	0	71	CONF	0	0	0	79	71	90	0	0	0	0	0	0	0	0	0	0	false	55	0	0	0	0	114	310	69	0	53	84	0	138	85	0				Management fees	Fraud Losses	Taxes not on income										
13103	532	0	0	0	CONF	32	22	0	386	424	0	0	0	0	0	0	0	0	0	0	0	false	290	0	43	0	80	0	1201	0	0	0	0	281	0	0	0	PREPAYMENT PENALTU	OFFICIAL CHECKS		MISC EXPENSE	ITEM PROCESSING CHARGES											
13251	5	0	13	10	CONF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	16	0	0	6	5	13	0	0	0	0	0	0	0																
13457	0	0	0	0	CONF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	41	0	0	56	0	0	0	0	0	0	0	0																
14052	45	0	28	29	CONF	0	0	0	26	31	0	0	0	0	0	0	0	0	0	0	0	false	31	0	0	36	0	0	90	40	0	0	0	0	0	0	0				Loan Costs	Correspondent Banks processing fees											
14155	63	3	10	8	CONF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	52	0	10	44	14	33	261	46	0	122	36	5	81	19	0																
14454	0	0	0	0	CONF	0	0	0	107	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	71	0	0	0	0	0	0	0	0				MANAGEMENT FEES												
14650	0	0	0	0	CONF	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	39	0	0	42	27	0	0	0	0	0	0	0	EXCHANGE AND COLLECTIONS															
14753	0	0	0	0	CONF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	70	0	0	0	0	0	0	0	0																
14865	0	0	79	0	CONF	173	57	0	83	126	0	0	0	0	0	0	0	0	0	0	0	false	79	0	53	37	0	33	0	90	0	301	84	0	0	0	0	BEO BROKER FEE INCOME	BEO MORTGAGE PREP FEES		PUBLIC RELATIONS	DEBIT CARD PROCESSING											
14977	22	0	93	37	CONF	0	0	0	14	11	15	0	0	0	0	0	0	0	0	0	0	false	10	0	1	0	0	0	4	19	0	0	20	0	0	13	0				STATE SAVINGS ASSESSMENT	INSURANCE	FRB CHARGES										
15536	466	0	25	556	CONF	0	0	0	12833	1521	0	0	0	0	0	0	0	0	0	0	0	false	327	-6500	332	0	247	536	6039	740	0	1447	927	520	53	1103	0				OREO expenses	Loan collection costs										Denial of capital contribution of September 2008 by the FDIC	
16337	186	104	138	209	CONF	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	152	0	56	747	0	199	879	137	0	244	122	0	0	155	0	Long-term mortgage origination fees															
16458	201	0	218	0	CONF	0	0	0	126	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	56	64	307	74	0	276	0	0	253	200	0				Professional Fees												
16551	66	0	0	104	CONF	0	0	0	125	0	0	0	0	0	0	0	0	0	0	0	0	false	53	0	0	60	0	0	108	81	0	121	0	0	86	173	0				Other Real Estate Expenses												
16748	7	0	36	0	CONF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	22	0	0	35	6	13	135	14	0	32	74	0	0	19	0																
16944	0	0	46	0	CONF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	119	0	0	0	0	0	0	0	0																
16953	26	0	0	0	CONF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0																
17110	0	0	0	74	CONF	0	0	0	535	286	200	0	0	0	0	0	0	0	0	0	0	true	0	0	0	0	0	0	534	130	0	0	0	0	0	0	0				Referal Fees	Custodian costs	Contributions								2-o  Travel & entertainment            296 2-p Other Client Fees                     253 2-q Other Professional Fees         252 2-r Shares Tax                              147 2-s Other Insurance                      112		
17147	818	8	346	2040	CONF	0	0	0	0	0	0	0	0	0	0	0	0	11000	0	28385	0	false	304	0	0	994	211	4039	18818	708	0	0	0	0	0	0	0										CAPITAL INFUSION		Merger of First Merchants Bank of Central Ind, Lafayette Bank and Trust and Commerce National Bank				
17259	14	3	28	61	CONF	10	3	16	0	0	0	0	0	0	0	0	0	0	0	0	0	false	13	0	5	84	6	59	0	27	0	0	0	0	0	0	0	ROYALTY INCOME 660000	FORFITURE 659900	OTHER MISC INCOME 689900 & AVERTISING 689850													
17464	896	940	351	1421	CONF	3247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	912	0	0	60	106	400	0	403	0	1929	579	895	437	581	0	Net gain on sale of merchant services															
17950	85	0	0	0	CONF	43	254	68	56	64	29	0	0	0	0	0	0	1500	0	-73	0	false	34	0	0	50	0	26	347	95	0	0	42	0	0	53	0	OTHER COMMISSIONS AND FEES	RE SECONDARY LOAN FEES	CHECK CHARGES WAIVED	OCC ASSESSMENT	BLANKET BOND INSURANCE	DUES AND SUBSCRIPTIONS				CAPITAL INJECTION		ALLOWANCE FOR UNFUNDED COMMITTMENTS				
18050	98	0	148	134	CONF	56	0	0	153	0	0	0	0	0	0	0	0	0	0	0	0	false	131	0	0	0	37	68	0	0	0	602	0	0	455	284	0	Merchant Bankcard			Business Development												
18135	0	0	0	0	CONF	0	0	0	766	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	102	0	0	235	88	0	0	0	0	0	0	0				Conventional Credit Insurance												
18377	8	0	10	0	CONF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	12	7	0	0	10	0	0	0	0																
18827	102	0	107	127	CONF	313	0	0	103	155	0	0	0	0	0	0	0	0	0	0	0	false	80	0	104	0	0	0	242	98	0	0	76	0	181	89	0	Visa Check card income			Correspondent Service Fee	Pennsylvania Shares Tax											
18836	51	0	104	88	CONF	40	0	0	42	43	40	0	0	0	0	0	0	0	0	0	0	false	69	0	0	97	0	135	197	73	0	0	98	0	94	0	0	Miscellaneous charges			Other real estate expenses	Other loan expenses	Miscellaneous expenses										
18854	52	0	30	24	CONF	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	23	0	0	0	2	0	16	45	0	0	18	14	49	42	0	Administrative Fees															
18957	0	0	0	30	CONF	639	0	0	0	0	0	0	0	0	0	0	0	305	0	0	0	false	0	0	0	0	0	0	114	0	0	0	0	0	0	0	0	Gain from Sale of Branch									Addition to Surplus						
19356	34	0	25	6	CONF	0	0	0	27	29	0	0	0	0	0	0	0	0	0	0	0	false	28	-14	7	0	8	14	153	53	0	0	0	0	0	0	0				Correspondent analysis fees	Other losses										To record deferred compensation as of 12-31-08	
19730	955	0	0	1002	CONF	415	162	0	666	0	0	0	0	0	0	0	0	40000	0	0	0	false	0	0	118	1099	194	0	1659	606	0	165	0	0	0	655	0	Letter of Credit Fees	Visa Commissions		Messenger/Armored Services						Capital Contribution						
19936	81	0	101	0	CONF	31	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	false	90	0	40	29	0	239	225	47	0	0	0	0	156	92	0	Experience Rating Refunds, Statement Copies, Other Miscellaneous Income			Deferred Comp												
19972	45	0	56	0	CONF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	73	0	0	0	0	0	0	35	0	0	0	0																
20053	0	0	0	39	CONF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	54	0	0	0	164	0	0	0	0																
20370	134	4	16	314	CONF	0	0	0	95	197	0	0	0	0	0	0	0	0	0	0	0	false	67	0	0	89	10	230	239	52	0	0	107	145	162	130	0				B&O Taxes	OREO Expense											
20512	22	0	29	0	CONF	0	0	0	77	77	36	0	0	0	0	0	0	0	0	0	0	false	34	0	0	0	0	31	2	54	0	0	0	0	48	13	0				pa shares tax	professional services	bank exam										
20633	201	0	76	81	CONF	29	0	0	69	0	63	0	0	0	0	0	0	0	0	0	0	false	0	0	0	168	0	109	430	126	0	0	113	0	0	70	0	Commission			Bankers Blanket Bonds		Business Franchise										
20857	14	0	17	4	CONF	0	0	0	338	51	19	0	0	0	0	0	0	0	0	0	0	false	16	0	0	10	6	6	0	33	0	23	10	47	0	10	0				Donations	PR Expesnses	Personnel Training/Travel										
20866	63	0	0	181	CONF	0	0	0	411	143	70	0	0	0	0	0	0	0	0	0	0	false	0	0	0	152	0	59	0	94	0	29	0	0	0	108	0				SOFTWARE MAINT.	INTERNET BANKING FEES	DUES & SUBSCRIPTIONS										
