"IDRSSD"	RCFD0426	RCFD2150	RCFD2651	RCFD3164	RCFD3190	RCFD4088	RCFD5507	RCFD6164	RCFD6165	RCFDA590	RCFDB026	RCFDB569	RCFDB570	RCFDB571	RCFDF055	RCFDF056	RCFDF057	RCFDF058	RCFDF059	RCFDF060	RCFDF061	RCFDF062	RCFDF063	RCFDF065	RCFN5513	RCON0426	RCON2150	RCON2651	RCON3164	RCON3190	RCON4088	RCON5507	RCON5508	RCON5509	RCON5510	RCON5511	RCON5512	RCON6164	RCON6165	RCONA590	RCONB026	RCONB569	RCONB570	RCONB571	RCONC979	RCONF055	RCONF056	RCONF057	RCONF058	RCONF059	RCONF060	RCONF061	RCONF062	RCONF063	RCONF064	RCONF065	RCONG463	RCONG464	TEXT4087	
1557																										0	0	0	0	1095	true	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	1090	0	0	5	0	0	0	1180	5	true	false	www.fstbanc.com	
1632																										0	1683	30000	0	60000	true	0	1263	0	0	0	420	28661	8	0	0	true	0	0	0	60000	0	0	0	0	0	0	0	0	0	0	false	false	www.seaislandbank.com	
1669																										1085	59	0	0	58	true	1085	0	0	55	0	4	3054	2	0	0	false	0	58	0	0	0	0	0	0	58	0	0	0	0	0	false	false	www.lnbparis.com	
1829																										657	368	3000	0	31732	true	657	0	0	368	0	0	2383	2	0	0	false	0	0	0	3000	14816	8000	5916	0	0	0	0	0	0	0	false	false	http://avbpgh.com	
1856																										0	0	0	0	54000	false	0	0	0	0	0	0	79	0	0	0	false	0	0	0	0	0	0	54000	0	0	0	0	0	0	0	false	false		
2040																										0	332	3300	0	23300	true	0	0	0	43	0	289	610	1	0	0	false	0	0	0	13300	4000	6000	0	10000	0	0	0	0	0	0	false	false	http://www.fmnetbank.com	
2161																										0	0	0	0	0	true	0	0	0	0	0	0	875	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	http://www.lamarnational.com	
2376																										0	2016	10000	0	522944	true	0	812	0	0	1204	0	36430	2	0	0	false	0	0	0	10000	57177	110685	330000	410000	15082	0	0	0	0	0	true	false	http://oritani.com	
2451																										424	582	500	424	1522	true	0	0	0	207	0	375	1908	5	424	0	false	0	0	0	500	65	272	685	0	0	0	0	0	0	0	false	false	http://thunderbank.com	
2554																										0	0	0	0	0	false	0	0	0	0	0	0	47	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false		
2732																										1112	0	0	0	146	true	1112	0	0	0	0	0	31060	7	0	0	true	0	0	0	0	0	0	0	0	146	0	0	0	0	146	true	false	www.albanybank.com	
2750																										0	255	0	0	5200	true	0	0	80	0	0	175	2850	2	0	0	false	0	0	0	4500	0	700	0	0	0	0	0	0	0	0	true	false	www.genoanationalbank.com	
2938																										0	693	15000	0	29000	true	0	693	0	0	0	0	53349	13	0	0	true	0	0	0	29000	0	0	0	0	0	0	0	0	0	0	false	false	www.sbandtbank.com	
3252																										0	0	0	0	3613	true	0	0	0	0	0	0	1588	2	0	0	false	0	0	0	1000	0	1000	1500	0	113	0	0	0	0	0	false	false	http://www.fnbgordon.com	
3458																										0	380	0	0	0	true	0	380	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false	www.fbgconline.com	
3720																										0	46	0	0	5123	true	0	0	0	0	0	46	1693	1	0	0	true	0	123	0	0	5000	0	0	0	123	0	0	0	0	123	false	false	wwwbankofclarendon.com	
3953																										0	305	9170	0	9492	true	0	0	0	55	0	250	5008	5	0	0	false	0	0	0	9170	0	0	322	0	0	0	0	0	0	0	false	false	http://www.fcbanker.com	
4138																										0	4052	0	0	1572	true	0	228	0	1981	0	1843	3252	1	0	0	true	0	0	0	231	394	243	704	0	0	0	0	0	0	0	false	false	www.fnblafollette.com	
4156																										0	114	0	0	25488	true	0	0	0	114	0	0	0	0	0	0	true	0	0	0	9488	5000	11000	0	0	0	0	0	0	0	0	false	false	http://www.kanzabank.com	
4231																										0	827	0	0	0	false	0	0	0	0	0	827	1891	1	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false	http://www.fmbanksylvania.com	
4437																										0	1489	0	0	10966	true	0	0	0	1429	0	60	7274	4	0	0	false	0	0	0	2917	4672	842	2535	0	0	0	0	0	0	0	true	false	www.fnbwvva.com	
4839																										0	3676	16400	0	38400	true	0	0	0	394	0	3282	17501	5	0	0	false	0	0	0	16400	20000	1000	1000	0	0	0	0	0	0	0	true	true	http://abcbank.net	
5005																										608	10315	8337	0	67050	true	608	10315	0	0	0	0	1054	1	0	0	true	0	0	0	8337	24239	15555	18919	34500	0	0	0	0	0	0	true	false	WWW.STONESAV.COM	
5069																										0	7971	0	0	0	false	0	0	0	4400	0	3571	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false		
5135																										0	237	0	0	21867	true	0	0	0	237	0	0	6395	3	0	0	false	0	0	0	12000	8000	0	1867	0	0	0	0	0	0	0	false	false	http://www.fsbanks.com	
5210																										0	585	35000	0	92339	true	0	0	0	483	0	102	3465	2	0	0	false	0	339	0	45000	10000	18000	19000	10000	339	0	0	0	0	339	false	false	http://www.acnb.com	
5331																										0	4532	0	0	16	true	0	4532	0	0	0	0	1206	1	0	0	false	0	16	0	0	0	0	0	0	16	0	0	0	0	16	true	false	www.hydeparkbank.net	
5461																										414	146	0	0	15094	true	414	0	0	146	0	0	58	0	0	0	true	0	94	0	15000	0	0	0	0	94	0	0	0	0	0	false	false	www.bankbac.com	
5751																										0	0	3700	0	3700	true	0	0	0	0	0	0	679	1	0	0	true	0	0	0	3700	0	0	0	0	0	0	0	0	0	0	true	true	http://www.kearnycountybank.com	
6039																										0	1683	0	0	0	true	0	1301	0	0	0	382	529	0	0	0	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	wwwaebalma.com	
6141																										0	14	0	0	0	false	0	0	0	0	0	14	99	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false		
6329																										0	2532	0	0	0	true	0	1208	0	671	0	653	561	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	www.abbank.com	
6972																										238	148	0	0	68700	true	238	0	0	148	0	0	908	1	0	0	true	0	27200	0	0	0	40000	1500	0	27200	0	0	0	0	27200	true	true	http://www.firstindy.com	
7009																										0	0	0	0	0	true	0	0	0	0	0	0	1300	1	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	true	true	http://www.bessemer.com	
7045																										0	0	0	0	0	true	0	0	0	0	0	0	2518	1	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	true	true	http://www.tpbbancorp.com	
7157																										0	39	0	0	0	true	0	0	0	39	0	0	103	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	statebankbr.com	
7456																										0	30	0	0	1500	true	0	0	0	0	0	30	390	0	0	0	false	0	0	0	0	300	600	600	0	0	0	0	0	0	0	true	false	www.bankofhartington.com	
7634																										0	615	0	0	4000	false	0	348	0	267	0	0	323	0	0	0	false	0	0	0	4000	0	0	0	0	0	0	0	0	0	0	true	false	THEFOURCOUNTYBANK.COM	
8033																										0	383	8775	0	20203	true	0	0	0	383	0	0	3412	1	0	0	true	0	0	0	8775	8628	2800	0	0	0	0	0	0	0	0	false	false	WWW.THEFRIENDLYBANK.COM	
8462																										0	0	0	0	0	true	0	0	0	0	0	0	1100	1	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	http://www.perrytonbank.com	
8631																										0	393	0	0	0	true	0	0	0	132	0	261	651	1	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	pcbsm.com	
9357																										3201	64	34000	0	34000	true	3201	0	0	64	0	0	34	0	0	0	true	0	0	0	34000	0	0	0	0	0	0	0	0	0	0	false	false	www.fidelitybankmn.com	
9553																										0	14	6295	0	10459	true	0	0	0	0	0	14	2340	1	0	0	false	0	0	0	6295	263	789	3112	0	0	0	0	0	0	0	true	false	http://adamscountybankonline.com	
9807																										0	73833	0	0	305995	true	0	49031	0	13828	8397	2577	45330	2	0	0	true	0	0	0	0	20000	0	240000	0	0	45995	0	0	0	0	true	false	www.amboybank.com	
9955																										728	0	0	0	8110	true	728	0	0	0	0	0	6614	2	0	0	true	0	6070	0	0	0	40	2000	0	6070	0	0	0	0	0	true	false	http://www.bankkansas.com	
10157																										0	600	0	0	1720	true	0	600	0	0	0	0	256	0	0	0	false	0	0	0	0	0	0	0	0	1720	0	0	0	0	1720	false	false	www.fnblarned.com	
10250																										0	10256	16500	0	36500	true	0	2418	0	2374	326	5138	514	0	0	0	true	0	0	0	16500	16000	3000	1000	0	0	0	0	0	0	0	true	false	http://www.thebankofelkriver.com	
10849																										0	5204	3000	0	22183	true	0	35	0	2994	1700	475	9927	4	0	0	true	0	0	0	3341	18842	0	0	0	0	0	0	0	0	0	false	false	http://www.firststatebk.com	
10858																										0	105	0	0	27762	true	0	0	0	105	0	0	5241	3	0	0	true	0	17471	0	10000	0	291	0	10000	17471	0	0	0	0	0	true	true	www.pvsb.com	
11145																										0	1735	2975	0	9981	false	0	0	0	920	0	815	2095	1	0	0	false	0	0	0	2975	839	462	5705	0	0	0	0	0	0	0	false	false		
11640																										0	499	0	0	60000	true	0	499	0	0	0	0	6751	2	0	0	false	0	0	0	40000	0	0	20000	0	0	0	0	0	0	0	true	false	http://fnbclarksdale.com	
11837																										0	1174	0	0	7000	true	0	634	0	540	0	0	0	0	0	0	false	0	0	0	0	0	7000	0	0	0	0	0	0	0	0	false	false	http://www.farmbk.com	
12030																										154	1056	0	0	0	true	154	1056	0	0	0	0	1293	1	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	http://WWW.fnbalma.com	
12142																										0	0	4000	0	4000	true	0	0	0	0	0	0	636	0	0	0	false	0	0	0	4000	0	0	0	0	0	0	0	0	0	0	true	false	www.clevelandstatebank.com	
12245																										0	61	0	0	7900	true	0	0	0	61	0	0	3657	2	0	0	false	0	0	0	0	3000	2000	2900	4900	0	0	0	0	0	0	false	false	www.banknorthwis.com	
12311	486706	142747	142000	200969	3259642	true	270707	187517	7	202634	15030	true	3196980	509622	142000	504873	265369	8783	0	509622	1319066	416102	93827	1456883	0					3259642			22454	676	75276	1636	23150								19555										0		true	true	www.huntington.com	
12647																										0	717	0	0	6200	true	0	717	0	0	0	0	1139	2	0	0	false	0	0	0	0	3550	2650	0	0	0	0	0	0	0	0	false	false	http://PORTAGECOUNTYBANK.COM	
12656																										0	24	0	0	0	true	0	0	0	24	0	0	207	1	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false	http://www.mybankathome.com	
12937																										0	0	0	0	0	true	0	0	0	0	0	0	5945	2	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	www.oakbank.com	
12946																										2313	1898	1031	0	19620	true	2313	1162	0	268	0	468	4383	2	0	0	true	0	374	0	1031	6033	10674	1508	0	374	0	0	0	0	374	true	false	www.fbtarkansas.com	
12955																										0	492	4000	0	6950	true	0	492	0	0	0	0	1810	1	0	0	false	0	0	0	4150	0	0	2800	0	0	0	0	0	0	0	true	false	http://www.bankofnebraska.com	
13037																										1225	595	0	0	0	true	1225	390	0	160	0	45	2006	2	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false	http://www.tradersbanking.com	
13103																										4424	154	111700	0	134463	true	4424	0	0	154	0	0	847	0	0	0	false	0	0	0	111700	0	22000	763	0	0	0	0	0	0	0	false	false	www.bristolcountysavingsbank.com	
13251																										0	169	0	0	0	false	0	0	0	0	0	169	302	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	http://elysianbank.com	
13457																										0	0	0	0	0	false	0	0	0	0	0	0	66	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false		
14052																										0	525	0	0	1000	true	0	0	0	204	0	321	1600	1	0	0	false	0	0	0	0	0	0	1000	0	0	0	0	0	0	0	false	false	www.lcb@lcbwi.com	
14155																										0	1268	0	0	10800	true	0	957	0	87	0	224	342	0	0	0	false	0	0	0	5625	1850	325	3000	0	0	0	0	0	2200	0	false	false	http://www.fandcbank.com	
14454																										0	0	0	0	1000	true	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	500	500	0	0	0	0	0	0	0	0	false	false	www.fsevansville.com	
14650																										0	0	0	0	0	false	0	0	0	0	0	0	135	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false		
14753																										0	0	0	0	0	false	0	0	0	0	0	0	530	1	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false		
14865																										664	971	0	0	10000	true	664	757	0	214	0	0	1594	1	0	0	true	0	0	0	0	0	5000	5000	0	0	0	0	0	0	0	true	false	http://beobank.com	
14977																										0	0	0	0	194	false	0	0	0	0	0	0	707	0	0	0	false	0	0	0	1	24	112	57	0	0	0	0	0	0	0	true	false		
15536																										646	202892	114500	50	561000	true	596	93522	0	8285	50752	50333	457	0	50	0	false	0	445000	0	114500	1500	0	0	0	445000	0	0	0	0	445000	false	false	http://www.parknatl.com	
16337																										0	10430	17000	0	29000	true	0	5430	0	1702	0	3298	862	0	0	0	true	0	0	0	17000	12000	0	0	29000	0	0	0	0	0	0	false	false	www.wakullabank.com	
16458																										0	0	0	0	254	true	0	0	0	0	0	0	6939	3	0	0	true	0	254	0	0	0	0	0	0	254	0	0	0	0	0	true	true	www.douglascountybank.com	
16551																										0	2370	8500	0	22850	true	0	829	0	371	0	1170	156	0	0	0	false	0	0	0	8500	5000	2000	7350	12350	0	0	0	0	0	0	true	false	http://www.northviewbank.com	
16748																										324	26	0	324	3000	true	0	0	0	26	0	0	765	2	324	0	false	0	0	0	1000	2000	0	0	0	0	0	0	0	0	0	false	false	http://www.esbanc.com	
16944																										0	110	0	0	0	true	0	0	0	0	0	110	987	2	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	http://www.wmsbank.com	
16953																										0	150	0	0	0	false	0	0	0	150	0	0	41	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false	http://www.fertilebeltrami.k12.mn.us	
17110																										0	0	0	0	0	false	0	0	0	0	0	0	3712	2	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	true	true	http://www.haverfordquality.com	
17147																										17839	21779	36108	647	208985	true	17192	5112	0	3573	0	13094	11616	2	647	0	true	0	0	0	36108	77510	5750	10657	12000	0	16522	62438	0	0	0	false	false	http://www.firstmerchants.com	
17259																										0	93	0	0	3500	true	0	0	0	93	0	0	1055	1	0	0	false	0	0	0	0	0	0	0	0	0	0	500	3000	1900	0	false	false	http://www.fnbmarlow.com	
17464																										10845	37654	12500	4088	244954	true	6757	27722	0	1945	0	7987	2131	2	4088	0	true	0	216	0	77500	58315	38207	29716	0	15216	26000	0	0	0	216	true	false	http://www.botc.com	
17950																										0	362	0	0	12189	true	0	0	0	362	0	0	841	1	0	0	false	0	0	0	9000	3000	189	0	0	0	0	0	0	0	0	false	false	www.bankofbridger.com	
18050																										763	487	7	0	582	true	763	95	0	392	0	0	5015	3	0	0	true	0	0	0	7	89	104	382	0	0	0	0	0	0	0	true	false	http://www.fnbbastrop.com	
18135																										0	0	0	0	26095	false	0	0	0	0	0	0	317	0	0	0	true	3791	0	0	4000	5695	0	16400	16400	0	0	0	0	0	0	false	false	http://banksouthcentral.com	
18377																										0	0	0	0	0	false	0	0	0	0	0	0	189	1	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	http://www.ballysavingsbank.com	
18827																										1971	1173	0	0	14000	true	1971	50	0	265	0	858	4008	3	0	0	false	0	0	0	0	0	0	0	0	14000	0	0	0	0	0	false	false	www.fmbwpa.com	
18836																										0	1377	0	0	5468	true	0	878	0	499	0	0	3085	1	0	0	false	0	0	0	0	2670	0	2798	0	0	0	0	0	0	0	true	false	http://www.caponvalleybank.com	
18854																										0	1100	0	0	0	true	0	0	0	0	0	1100	411	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false	http://www.bank7.com	
18957																										0	198	0	0	1898	false	0	0	0	198	0	0	95	1	0	0	false	0	0	0	500	846	120	432	500	0	0	0	0	0	0	true	false		
19356																										0	0	0	0	2156	true	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	2156	0	0	0	0	0	0	0	false	false	http://www.sbtmiami.com	
19730																										6444	12724	58778	634	95795	true	5810	7896	0	3668	0	1160	47735	5	634	0	true	0	0	0	58778	37017	0	0	0	0	0	0	0	0	0	true	true	www.standardbanks.com	
19936																										0	1232	5000	0	5000	true	0	799	0	0	0	433	4288	2	0	0	false	0	0	0	5000	0	0	0	0	0	0	0	0	0	0	true	false	www.cbkamericus.com	
19972																										0	0	0	0	0	false	0	0	0	0	0	0	668	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false		
20053																										386	912	0	0	3004	true	386	239	0	640	0	33	99	0	0	0	false	0	0	0	500	2355	149	0	0	0	0	0	0	0	0	true	false	http://www.securityonlinebank.com	
20370																										0	2823	0	0	5000	true	0	1681	0	403	0	739	1822	1	0	0	false	0	0	0	0	5000	0	0	0	0	0	0	0	0	0	false	false	www.firstheritage.net	
20512																										0	208	510	0	10510	false	0	0	0	0	0	208	1477	0	0	0	false	0	0	0	510	10000	0	0	0	0	0	0	0	0	0	false	false	http://www.fnbpa.com	
20633																										0	396	0	0	12000	true	0	0	0	0	0	396	3969	2	0	0	false	0	0	0	6000	1000	0	0	0	0	0	0	5000	0	0	false	false	www.mcnbbanks.com	
20857																										0	0	4450	0	6509	true	0	0	0	0	0	0	263	0	0	0	false	0	0	0	4563	336	256	1354	113	0	0	0	0	0	0	false	false	http://granitefallsbank.com/site	
20866																										0	2904	10000	0	10329	false	0	2632	0	0	0	272	3452	1	0	0	false	0	0	0	10000	0	0	0	0	0	0	0	329	0	0	false	false	http://homevalleybank.com	
21256																										0	140	250	0	250	false	0	140	0	0	0	0	19	0	0	0	false	0	0	0	250	0	0	0	0	0	0	0	0	0	0	false	false		
21359																										0	147	0	0	347	true	0	0	0	0	0	147	551	2	0	0	false	0	10	0	0	0	0	0	0	10	58	77	202	0	0	true	false	http://www.asbgrygla.com	
21630																										0	51	0	0	4720	true	0	0	0	0	0	51	2040	2	0	0	false	0	0	0	0	0	262	4458	0	0	0	0	0	0	0	false	false	http://www.thetechebank.com	
21658																										0	65	1000	0	1297	true	0	0	0	0	0	65	4433	2	0	0	true	0	0	0	1000	0	297	0	0	0	0	0	0	0	0	true	true	www.alliancebank.us	
22048																										0	167	266	0	15922	true	0	0	0	84	83	0	9955	5	0	0	false	0	274	0	266	6026	5477	3879	0	274	0	0	0	0	274	true	false	www.unionbnk.com	
22356																										0	802	0	0	503	true	0	760	0	0	0	42	1677	1	0	0	false	0	0	0	0	0	0	0	0	503	0	0	0	0	503	true	false	http://www.myfnbt.com	
22459																										0	0	0	0	6537	true	0	0	0	0	0	0	3686	4	0	0	false	0	80	0	0	1500	1000	3957	0	80	0	0	0	0	80	false	false	http://WWW.1STBANKONLINE.COM	
22543																										0	165	0	0	0	true	0	0	0	165	0	0	850	1	0	0	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	www.istatesavingsbank.com	
22552																										0	161	0	0	0	true	0	116	0	45	0	0	443	1	0	0	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false	http://www.firstsoutheastbank.com	
22730																										0	0	0	0	0	true	0	0	0	0	0	0	1167	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	http://www.westunionbank.com	
22936																										0	6252	10000	0	13940	true	0	4028	0	1939	285	0	11781	3	0	0	false	0	0	0	10000	2000	0	1940	0	0	0	0	0	0	0	false	false	http://fmbnk.com	
22954																										0	561	2600	0	11407	true	0	0	0	561	0	0	438	0	0	0	false	0	0	0	2600	3764	2735	2308	0	0	0	0	0	0	0	true	false	www.fnbhawley.com	
23036																										0	9970	0	0	0	true	0	7225	0	1604	0	1141	13657	4	0	0	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	cbtbank.com	
23045																										0	0	0	0	0	true	0	0	0	0	0	0	201	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	http://www.wmibt.com	
23241																										8664	26435	52000	0	307310	true	8664	18726	0	5986	1653	70	5228	2	0	0	true	0	85000	0	76000	25000	50005	15000	0	85000	52937	3368	0	0	91305	true	true	http://www.integrabank.com	
23456																										0	916	100	0	217	true	0	130	0	57	0	729	547	0	0	0	false	0	0	0	100	100	0	0	0	0	0	17	0	0	0	true	false	www.fnbhenning.com	
23504																										0	0	0	0	0	true	0	0	0	0	0	0	3599	1	0	0	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false	www.bridgenb.com	
23540																										1658	0	0	0	0	true	1658	0	0	0	0	0	2777	1	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	http://OswegoCommunitybank.com	
23643																										0	1401	0	0	138	true	0	950	0	128	0	323	1537	1	0	0	false	0	0	0	0	0	0	138	0	0	0	0	0	0	0	true	false	http://www.commercial-bank.net	
23755																										911	2562	0	911	2000	true	0	1041	0	553	968	0	2148	2	1310	0	true	0	0	0	0	2000	0	0	0	0	0	0	0	0	0	true	false	www.fn-cb.com	
23812																										614	3062	71550	614	198123	true	0	329	0	2733	0	0	26400	3	614	0	true	0	51700	0	71550	66500	5857	2516	0	51700	0	0	0	0	0	false	false	www.1nbank.com	
24006																										0	0	0	0	0	true	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false	www.PCSB.com	
24453																										303	413	15000	0	49734	true	303	255	0	158	0	0	5936	3	0	0	false	0	0	0	15000	0	0	29000	29000	0	0	0	5734	0	5734	true	false	http://www.rockymountainbank.com	
24659																										0	255	0	0	0	true	0	0	255	0	0	0	208	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false	http://www.producestatebank.com	
24668																										120	647	16000	120	22000	true	0	0	0	58	0	589	1134	0	120	0	false	0	0	0	16000	6000	0	0	0	0	0	0	0	0	0	true	true	http://www.banktexas.org	
