"IDRSSD"	RIAD0497	RIAD4042	RIAD4136	RIAD4141	RIAD4146	RIAD4461	RIAD4462	RIAD4463	RIAD4464	RIAD4467	RIAD4468	RIAD4469	RIAD4486	RIAD4487	RIAD4488	RIAD4489	RIAD4491	RIAD4498	RIAD4499	RIAD4521	RIAD4522	RIAD4769	RIAD8403	RIADB527	RIADC013	RIADC014	RIADC015	RIADC016	RIADC017	RIADC018	RIADF229	RIADF555	RIADF556	RIADF557	RIADF558	RIADF559	RIADJ447	RIADJ536	TEXT4461	TEXT4462	TEXT4463	TEXT4464	TEXT4467	TEXT4468	TEXT4469	TEXT4487	TEXT4489	TEXT4498	TEXT4499	TEXT4521	TEXT4522	TEXT4769	TEXTB527	
1557	25	0	12	0	CONF	0	0	0	12	10	16	0	0	0	0	0	0	0	0	0	0	false	6	0	0	0	0	0	12	11	0	0	0	0	0	5	0	0				DIRECTORS FEES	INSURANCE   SURETY	TRAVEL   EDUCATION										
1669	25	0	17	2	CONF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	48	0	17	133	26	87	265	50	0	97	40	0	31	26	0	0																
1829	177	0	107	0	CONF	32	160	51	105	214	0	0	0	0	0	0	0	0	0	0	0	false	69	0	36	0	0	26	298	0	0	198	0	0	163	0	0	0	Misc Other Income	Lease Fee Income	Investor Income	Other Professional Fees	PA Shares Tax											
1856	7	0	17	75	CONF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	5	-7	0	0	0	10	0	11	0	0	0	0	0	0	0	0															Expense entry for 2009 not posted until current year (2010)	
2040	55	0	38	32	CONF	0	0	0	58	40	16	0	0	0	0	0	0	0	0	0	0	false	25	0	5	55	8	0	274	24	0	95	2	87	67	14	0	0				Brokered CD Fees	Investment Broker Expenses	Correspondent Bank Service Charges										
2161	0	0	23	0	CONF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	26	0	0	53	0	0	137	42	0	93	26	0	0	0	0	0																
2376	300	479	644	80	CONF	360	258	0	83	76	922	0	0	0	0	0	0	200816	0	0	0	false	82	0	0	556	15	83	430	188	0	79	428	20	105	71	0	0	Joint Ventures	Miscellaneous Fees		Insurance	Bank Service Charges	Miscellaneous Fees	922			Capital Contribution						
2451	0	0	0	41	CONF	104	86	59	230	29	55	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-537	Mortgage Income - Yield Premium	Mortgage Income - Servicing Fee	Mortgage Income - Mortgage Servicing Rights	OREO - Expense	Outside Professional Services	Misc Expense									changes to UP to set up of deferred tax asset reserve account	
2554	1	0	5	0	CONF	0	0	0	11	2	3	0	0	0	0	0	0	0	0	0	0	false	2	0	0	0	1	0	2	2	0	0	0	0	0	2	0	0				Software amort & Maintenance	Education & Subscriptions	Corespondant Service Charges										
2732	10	0	100	310	CONF	0	0	0	555	0	0	0	0	0	0	0	0	0	0	0	0	false	96	0	0	0	36	0	435	60	0	0	30	0	0	0	0	0				OREO expenses												
2750	23	0	19	0	CONF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	73	0	0	0	0	0	0	0	0	0																
3252	0	0	0	0	CONF	0	0	0	95	33	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				Computer Exp- In House	Office Supplies											
3458	0	0	6	0	CONF	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	false	6	36	0	0	0	0	10	0	0	0	0	0	0	0	0	0				Director's Exam											Year-end Tax Adjustment	
3720	126	0	0	0	CONF	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	91	25	0	172	0	0	0	0	52	0	0	0	0	check card income															
3953	108	0	46	117	CONF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	23	0	3	31	13	5	41	32	0	73	29	15	87	28	0	0																
4138	65	30	36	28	CONF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	49	0	0	0	0	141	106	44	0	0	92	40	87	44	0	0																
4156	37	0	0	0	CONF	0	0	0	71	37	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	61	26	54	171	41	0	0	50	54	0	62	0	0				Internet banking expenses	Tuition and training expenses											
4231	0	0	32	0	CONF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	62	142	25	0	0	45	0	46	0	0	0																
4437	61	0	71	0	CONF	224	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	false	72	0	0	75	0	24	232	60	0	220	0	133	149	51	0	0	Origination fees - Secondary market loans			Business franchise taxes												
4839	0	0	0	145	CONF	99	170	0	581	80	0	0	0	0	0	0	0	2100	0	0	0	false	0	0	0	0	0	0	234	66	0	0	94	0	67	0	0	0	Miscellaneous income	Nonerforming assets		Nonperforming assets	Other outside services					Additional equity investment						
5005	0	0	0	522	CONF	0	0	0	385	510	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	141	38	0	317	0	0	0	0	393	0	0	0	0				REF OPERATING	OREO											
5069	92	0	489	134	CONF	28	0	0	91	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	112	0	0	0	58	185	0	0	0	0	Letters of Credit Fees			REO Expense												
5135	24	10	35	10	CONF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	35	0	2	69	14	113	605	59	0	2	132	0	69	0	0	0																
5210	208	0	106	199	CONF	159	78	0	395	109	0	0	0	0	0	0	0	0	0	0	0	false	162	0	0	507	0	544	219	153	0	0	163	113	0	174	0	0	Other miscellaneous income	Gain on life insurance proceeds		PA Shares tax	Regulatory assessments											
5331	0	0	76	101	CONF	16	0	0	112	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	22	0	30	52	388	0	0	45	145	162	57	0	0	0	resale mortgage fees			community organization expenses												
5461	271	0	0	0	CONF	82	0	0	175	87	245	0	0	0	0	0	0	0	0	0	0	true	0	0	69	28	0	0	84	112	0	171	0	0	81	111	0	0	CASH MANAGEMENT FEES			CUSTOMER SUPPORT EXPENSE	INSURANCE EXPENSE	TRANSPORTATION EXPENSE								OTHER REAL ESTATE OWNED EXPENSE = 98		
5751	0	0	25	0	CONF	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	68	0	32	65	0	0	0	0	0	21	0	0	0				Trust Accounting & Software Expense												
6039	0	0	0	0	CONF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	116	0	0	0	0	0	0	0	0	0																
6141	0	0	19	0	CONF	4	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	false	15	0	4	0	6	0	80	17	0	0	0	0	0	7	0	0	Fees and Commissions			Other fees and commissions												
6329	97	5	24	115	CONF	36	69	113	67	37	124	0	0	0	0	0	0	4000	0	0	0	false	137	0	0	63	14	123	0	223	0	479	79	146	37	148	0	0	Yield Spread Premium	Exchange / Service Charge	Loan Srv Charge / Origination Fee	Education & Training	Service Fee Analysis	Donations				Capital Contribution from Parent Holding Company to Bank						
6972	663	0	0	217	CONF	527	0	0	244	216	0	0	0	0	0	0	0	19208	3466	0	0	false	176	0	0	109	97	99	459	0	0	494	0	280	314	191	0	0	loan servicing, accounting, and management fees from affiliates			Tax expense (B&O)	correspondent and Federal Reserve bank service charges					contribution of cash, property, and assumption of liabilities from HC	excess received over FMV for loans sold to related party					
7009	0	0	0	0	CONF	18	-37	0	17845	925	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	WIRE TRANSFER FEES	FOREIGN CURRENCY TRANSACTION LOSSES		INVESTMENT ADVISORY AND OTHER SVC FEES	CUSTODY											
7045	33	0	39	0	CONF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	37	0	8	0	11	23	0	37	0	89	27	0	31	27	0	0																
7157	0	0	0	0	CONF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0																
7456	0	0	29	0	CONF	0	0	0	31	45	56	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				Computer Maintenance	Insurance	Fees/Charges on repayment of FHLB advances										
7634	0	0	0	0	CONF	0	0	0	47	40	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	95	0	0	0	56	0	33	0	0	0				REPO AND LOAN COLLECTION EXPENSE	CONTRACT AGREEMENTS											
8033	0	0	46	26	CONF	25	0	0	34	37	0	0	0	0	0	0	0	0	0	0	0	false	0	-65	0	0	0	0	55	25	0	0	43	0	0	0	0	0	ATM/CHECK CARD FEES			SERVICES COMPUTER TECHNOLOGY	TAXES AD VALOREM										FEDERAL INCOME TAXES PAID FOR 2009 OUT OF UNDIVIDED PROFITS IN 05/2010	
8462	0	0	32	0	CONF	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	26	0	49	0	0	34	0	0	0				Comptroller of the Currency assessments												
8631	17	0	51	0	CONF	12	0	0	11	16	0	0	0	0	0	0	0	0	0	0	0	false	12	0	0	35	3	50	114	10	0	0	15	0	13	0	0	0	Service Charges Commissions and Fees			Insurance Expenses	Collection and Repo Expenses											
9357	107	0	0	36	CONF	187	74	46	56	42	84	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	34	0	62	45	38	0	28	0	0	Special Services Fee	Wire Fees	Safekeeping Fees	Correspondent Bank Charges	Insurance	Outside Vendor Services										
9553	0	0	0	0	CONF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0																
9807	254	71	30	681	CONF	171	88	67	7876	3200	3178	0	0	0	0	0	0	0	0	0	0	true	92	0	33	363	61	306	959	127	0	0	307	608	0	315	0	0	LATE CHARGES	LOAN INSPECTION FEES	WIRE TRANSFER FEES	OREO EXPENSES	EXPENSES - NON-PERFORMING LOANS	CHANGE IN FMV OF SWAPS								Schedule RI, line 6.a. includes a $1.5 million charge for OTTI (other than temporarily impaired) assets. The charge is for HTM securities.		
9955	0	0	0	0	CONF	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	113	0	0	0	0	0	0	0	0	0				Internet Banking												
10157	0	0	0	17	CONF	11	2	0	10	28	9	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	6	0	60	0	0	0	0	66	0	0	0	0	Miscellaneous Income	Miscellaneous Fees		Charges Correspondent Fees	EXAM Assessment	Surety Bond Premium										
10250	92	119	39	226	CONF	34	41	0	676	101	32	0	0	0	0	0	0	0	0	0	0	false	88	0	21	5	23	31	35	100	0	562	27	113	193	28	0	0	Secondary Mortgage Market Fees Collected	Other Service Charges		OREO Expense	Insurance, Bond, D&O, Property, VSI SBA	Donations										
10849	37	0	23	0	CONF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	29	0	0	16	0	51	188	51	0	0	65	0	0	102	0	0																
10858	80	0	0	0	CONF	157	0	0	88	301	204	0	0	0	0	0	0	0	0	-6633	0	false	98	0	30	0	0	346	445	66	0	0	0	0	95	68	0	4311	MISC INCOME			CLUB MEMBERSHIPS	ADMINISTRATION SERVICES AFFILIATE	PROFESSIONAL FEES						Cumulative effect of the intial application of FASB ASC 810-10 (former FAS 167)				
11145	31	13	46	14	CONF	12	62	0	76	0	0	0	0	0	0	0	0	0	0	0	0	false	36	0	32	0	11	142	170	45	0	0	72	4	42	42	0	0	45003 Other Misc Income	45004 Other Misc Assets Income		55032 Credit/Collection fees												
11640	0	0	92	0	CONF	0	0	0	150	47	92	0	0	0	0	0	0	0	0	0	0	false	41	0	0	92	0	72	0	41	0	0	0	53	53	48	0	0				STATE INCOME TAX	OCC SEMI ANNUAL ASSESSMENT	LOAN AND COLLECTION										
11837	0	0	0	98	CONF	28	0	0	71	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	34	0	0	0	0	0	37	35	0	0	0	Rent on Bank Premises			Write Down on ORE												
12030	0	0	0	96	CONF	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	91	0	0	0	18	0	140	56	0	29	63	48	0	48	0	0	CREDIT INSURANCE COMMISSIONS															
12142	49	0	36	7	CONF	0	0	0	61	0	0	0	0	0	0	0	0	0	0	0	0	false	35	0	7	0	36	53	0	44	0	47	45	18	7	45	0	0				contracted services												
12245	30	0	0	0	CONF	26	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	false	27	0	0	0	0	0	107	44	0	0	0	0	0	0	0	0	Loan Late Fees			Other Real Estate Expense												
12311	28826	0	0	27671	CONF	27116	0	0	22106	0	0	0	0	0	0	0	0	300000	3712	0	0	false	8425	0	7945	29005	0	6888	65379	0	0	48912	0	0	0	11700	0	-7711	Operating lease income			Operating lease expense						Capital contribution from Parent	FAS 234 stpclk option expense					
12647	0	0	15	17	CONF	7	0	0	17	12	0	0	0	0	0	0	0	0	0	0	0	true	0	0	0	0	5	3	109	16	0	0	40	0	0	44	0	0	misc s/c			CD Broker Fee	Rent									On schedule RI-A line 11, the $25,000 increase represents a transfer of excessive funds from the Holding Company to retained earnings.		
12656	1	0	18	1	CONF	2	0	0	9	6	5	0	0	0	0	0	0	0	0	0	0	false	6	0	1	0	3	4	3	6	0	3	5	0	1	6	0	0	MISC FEES			TRAVEL EXPENSES	CORRESPONDENT SERVICE CHARGES	BANKERS BLANKET BOND PREMIUM										
12937	0	0	49	75	CONF	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	85	0	0	0	75	0	57	35	0	0				Insurance												
12946	118	0	0	0	CONF	33	0	0	66	68	107	0	0	0	0	0	0	0	0	0	0	false	81	0	0	122	32	82	0	149	0	248	0	0	97	300	0	0	Check order fees			Correspondent bank service charges	State bank assessment	Bus Dev (84) Travel (23)										
12955	0	0	0	70	CONF	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	false	51	0	0	0	0	40	29	79	0	0	31	0	0	46	0	0				Dues and Subscriptions												
13037	38	0	0	0	CONF	36	0	0	54	55	101	0	0	0	0	0	0	0	0	0	0	false	34	0	0	0	0	77	222	0	0	0	30	0	90	71	0	0	Debit Card Income			Management Fee	Taxes not on income	OREO expenses										
13103	420	0	0	0	CONF	0	0	0	198	273	0	0	0	0	0	0	0	0	0	0	0	false	0	0	40	0	55	37	910	0	0	0	0	0	0	0	0	0				OTHER PROFESSIONAL SERVICES	ITEM PROCESSING CHARGES											
13251	4	0	13	17	CONF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	1	0	0	4	4	9	0	0	0	0	0	0	0	0																
13457	0	0	0	0	CONF	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0				Life Insurance Expense												
14052	0	0	0	0	CONF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	28	0	0	65	27	0	0	27	0	0	0	0	0																
14155	41	3	5	1	CONF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	39	0	7	27	10	36	164	29	0	90	26	3	57	13	0	0																
14454	0	0	0	0	CONF	0	0	0	39	79	36	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				DATA PROCESSING	MANAGEMENT FEES	OREO OPERATING EXPENSE										
14650	0	0	0	0	CONF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	27	0	0	31	0	0	0	0	0	0	0	0	0																
14753	0	0	0	0	CONF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0																
14865	93	0	53	37	CONF	155	40	0	57	40	0	0	0	0	0	0	0	0	0	0	0	false	51	0	33	0	0	0	92	67	0	249	64	0	0	0	0	0	BEO Broker Fee Income	BEO Mortgage Prep Fees		Other RE Owned Expense	Armored Car Service											
14977	22	0	64	13	CONF	0	0	0	10	8	7	0	0	0	0	0	0	0	0	0	0	false	7	0	0	0	0	0	2	11	0	0	18	0	0	9	0	0				STATE SAVINGS ASSESSMENT	INSURANCE	FRB FEES										
16337	0	106	0	329	CONF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	1757	0	151	582	0	0	172	0	0	0	0	0	0																
16458	109	0	144	0	CONF	0	0	0	58	0	0	0	0	0	0	0	0	0	0	0	0	false	48	0	0	0	34	49	195	54	0	219	0	0	171	144	0	0				Professional Fees												
16551	64	0	0	39	CONF	0	0	0	124	0	0	0	0	0	0	0	0	0	0	0	0	false	39	0	0	53	0	0	87	52	0	72	36	0	55	67	0	0				Other Real Estate Expenses												
16748	4	0	24	0	CONF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	14	0	0	23	3	5	91	9	0	26	45	0	0	12	0	0																
16944	0	0	30	0	CONF	0	0	0	52	28	29	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	92	0	0	0	0	0	0	0	0	0				Blue Cross Blue Shield	Insurance	Forclosure and Repo Expense										
16953	0	0	0	0	CONF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0																
17110	194	0	0	0	CONF	0	0	0	485	158	130	0	0	0	0	0	0	0	0	0	0	true	0	0	0	0	0	0	272	97	0	0	114	0	0	0	0	0				REFERRAL FEES	CUSTODIAN COSTS	CONTRIBUTIONS								2 o Other professional fees               158 2 p Travel & entertainment                 248 2 q Other client fees                          173 2 r Taxes other than income             101 2 s Other insurance                           78		
17147	443	77	247	1610	CONF	0	0	0	0	0	0	0	0	0	0	0	0	2000	0	0	0	false	112	0	219	991	165	619	15300	420	0	3464	365	0	1111	0	0	0										Capital Infusion						
17259	5	2	22	10	CONF	7	1	11	0	0	0	0	0	0	0	0	0	0	0	0	0	false	7	0	3	34	4	42	0	12	0	0	0	0	0	0	0	0	ROYALTY INCOME 660000	FORFITURE 659900	MISC INCOME 698900													
17464	464	118	211	710	CONF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	611	0	0	0	67	310	0	193	0	1273	530	0	322	339	0	0																
17950	74	0	15	17	CONF	28	125	0	40	0	0	0	0	0	0	0	0	0	0	0	0	false	29	0	16	0	18	19	203	66	0	0	27	0	0	36	0	0	OTHER COMMISSIONS AND FEES	RE SECONDARY LOAN FEES		OCC ASSESSMENT												
18050	54	0	100	79	CONF	42	0	0	68	96	0	0	0	0	0	0	0	0	0	0	0	false	84	0	0	0	25	46	0	86	0	477	0	0	305	232	0	0	Merchant Bankcard			Software Amortization	Business Development & Goodwill											
18135	0	0	0	0	CONF	0	0	0	574	107	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	74	0	0	163	0	0	0	82	0	0	68	0	0				Conventional Credit Insurance	FHA Title 1 Ins Prem											
18377	0	0	0	0	CONF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																
18827	73	29	81	72	CONF	246	0	0	53	125	76	0	0	0	0	0	0	0	0	0	0	false	56	0	76	0	7	0	181	68	0	0	56	0	121	53	0	0	Visa check card income			Examination expense	Community donations	Pennsylvania shares tax										
18836	0	0	68	90	CONF	29	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	false	44	0	0	66	0	102	232	36	0	0	55	0	0	0	0	0	Miscellaneous fee income			Miscellaneous expense												
18854	33	23	25	15	CONF	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	false	17	0	0	0	2	0	40	39	0	0	14	6	30	29	0	0				Miscellaneous Expenses												
18957	0	0	0	0	CONF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0																
19356	21	0	17	7	CONF	0	0	0	151	39	0	0	0	0	0	0	0	0	0	0	0	false	19	-12	3	0	2	10	81	30	0	0	0	0	0	0	0	0				Other real estate expense	Other losses										To record deferred compensation as of 12-31-09	
19730	321	0	0	1055	CONF	319	0	0	415	588	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	727	126	1511	957	391	0	230	0	0	0	396	0	0	Letter of Credit Fees			Armored/Messenger Service	OREO Expenses											
19936	40	0	67	0	CONF	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	false	66	0	28	35	0	184	157	32	0	0	0	0	109	64	0	0				Deferred Compensation Expense												
19972	42	0	39	0	CONF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																
20053	29	0	0	36	CONF	0	0	0	33	86	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	57	75	0	0	0	0				Misc Loan fees and expenses	MPF Loan Losses											
20370	81	26	0	203	CONF	0	0	0	39	702	0	0	0	0	0	0	0	0	0	0	0	false	43	0	0	17	6	0	211	42	0	0	90	80	81	71	0	0				B &O Taxes	Other R/E Owned											
20512	15	0	18	0	CONF	0	0	0	49	48	24	0	0	0	0	0	0	0	0	0	0	false	21	0	0	0	3	20	2	31	0	0	0	0	32	9	9	0				PA shares tax	professional services	bank examination										
20633	132	0	56	61	CONF	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	55	0	95	346	90	0	0	78	0	0	0	0	0				Business Franchise Tax												
20857	12	0	27	5	CONF	0	0	0	144	25	18	0	0	0	0	0	0	0	0	0	0	false	8	0	0	6	6	4	0	26	0	15	15	18	0	8	0	0				Donations	Public Relations	Personnel Training/Travel/Meetings										
20866	43	0	0	148	CONF	0	0	0	206	50	46	0	0	0	0	0	0	0	0	0	0	false	0	0	0	115	0	45	0	67	0	29	0	50	0	53	0	0				software mait	dues and subscriptions	donations										
21256	0	0	6	17	CONF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	1	0	0	7	2	0	20	3	0	0	0	0	0	2	0	0																
21359	8	0	13	0	CONF	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	false	6	0	1	3	1	0	12	5	0	1	10	0	0	0	0	0				ORE EXPENSES												
21630	13	0	41	1	CONF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	12	0	0	0	1	5	44	22	0	37	7	10	24	10	0	0																
21658	32	0	41	28	CONF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	34	0	0	54	0	63	43	0	0	0	0	29	34	39	0	0																
