"IDRSSD"	RIAD0497	RIAD4042	RIAD4136	RIAD4141	RIAD4146	RIAD4461	RIAD4462	RIAD4463	RIAD4464	RIAD4467	RIAD4468	RIAD4469	RIAD4486	RIAD4487	RIAD4488	RIAD4489	RIAD4491	RIAD4498	RIAD4499	RIAD4521	RIAD4522	RIAD4769	RIAD5523	RIAD8403	RIADB526	RIADB527	RIADC013	RIADC014	RIADC015	RIADC016	RIADC017	RIADC018	TEXT4461	TEXT4462	TEXT4463	TEXT4464	TEXT4467	TEXT4468	TEXT4469	TEXT4487	TEXT4489	TEXT4498	TEXT4499	TEXT4521	TEXT4522	TEXT4769	TEXTB526	TEXTB527	
1351	6	0	10	4	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	23	0	0	0	0	6	7	0	11																	
1454	154	0	0	0	0	0	0	0	109	0	0	0	0	0	0	0	0	0	0	0	0	false	0	151	0	0	0	0	0	0	129	200				VISA DEBIT CARD EXPENSE                                                                                                                                                                          													
1557	0	0	0	33	0	0	0	0	14	11	11	0	0	0	0	0	0	0	0	0	0	false	0	11	0	0	0	0	0	0	0	0				MAINTENANCE CONTRACT                                                                                                                                                                             	CONSULTING FEES                                                                                                                                                                                  	INSURANCE & SURETY                                                                                                                                                                               											
1632	53	0	52	35	14	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	38	0	0	26	0	17	22	509	43	Travelers/American Express Net Revenue                                                                                                                                                           																
1669	33	0	20	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	33	0	0	0	0	24	26	205	66																	
1829	0	0	0	0	0	133	0	0	120	173	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	183	0	Miscellaneous Other Income                                                                                                                                                                       			ATM/Debit Card Network Expenses                                                                                                                                                                  	PA Shares Tax                                                                                                                                                                                    												
1856	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0																	
2040	40	16	37	8	8	11	12	0	34	26	22	0	0	0	0	0	0	0	0	0	0	false	0	27	0	0	5	0	9	13	20	43	Debit card fees                                                                                                                                                                                  	Miscellanous                                                                                                                                                                                     		Advisory & Auditing services                                                                                                                                                                     	ATM/Debit card expense                                                                                                                                                                           	Correspondent bank service charges                                                                                                                                                               											
2161	0	0	31	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	false	0	33	0	0	0	48	0	0	88	40				Deferred Compensation Plan                                                                                                                                                                       													
2376	140	155	238	20	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	78	0	0	0	0	7	120	407	118																	
2451	3	0	6	12	1	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	false	0	3	0	0	0	0	2	0	18	5				DUES, FEES, MEMBERSHIPS                                                                                                                                                                          													
2554	0	0	5	1	1	4	0	0	8	3	3	0	0	0	0	0	0	0	0	0	0	false	0	1	0	0	0	0	1	0	4	2	Misc.                                                                                                                                                                                            			Accounting                                                                                                                                                                                       	Software Maintenance                                                                                                                                                                             	Insurance & Bonds                                                                                                                                                                                											
2732	14	0	72	30	42	18	24	20	51	61	57	0	0	0	0	0	0	0	0	0	0	false	0	76	0	0	0	0	44	10	364	82	master charge                                                                                                                                                                                    	wire transfer fees                                                                                                                                                                               	student license fee                                                                                                                                                                              	occ assessment                                                                                                                                                                                   	telephone                                                                                                                                                                                        	sporting events and concerts                                                                                                                                                                     											
2750	20	0	15	55	0	0	0	0	20	30	26	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	35	0				EXAM FEES                                                                                                                                                                                        	CONSULTING FEES                                                                                                                                                                                  	ACCOUNTING  FEES                                                                                                                                                                                 											
2938	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2370	0	0	0	false	0	0	0	0	0	0	0	0	612	0										CAPITAL INFUSION                                                                                                                                                                                 							
2956	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	138	0																	
3252	0	0	0	0	0	0	0	0	138	36	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0				Repo Exp                                                                                                                                                                                         	Office Supplies                                                                                                                                                                                  												
3458	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0																	
3506	725	0	0	0	0	563	499	0	0	0	0	0	0	0	0	0	0	0	0	1930	0	false	0	0	0	0	0	0	0	0	0	0	Earnings on Bank Owned Life Insurance                                                                                                                                                            	Income on BOLI Claim - Death Claim (Perez)                                                                                                                                                       										Transferred Provision from Acquired Institution                                                                                                                                                  					
3579	129	0	0	0	0	93	0	0	103	91	91	0	0	0	0	0	0	0	0	884	0	true	0	0	0	0	0	0	0	0	0	164	Management Income                                                                                                                                                                                			Communications                                                                                                                                                                                   	Tax on Stock & Reserves                                                                                                                                                                          	ATM Expense                                                                                                                                                                                      						ACQUISITION OF FIRST FED ALLOWANCE                                                                                                                                                               					
3720	88	11	18	11	10	17	23	0	11	0	0	0	0	0	0	0	0	0	0	0	0	false	0	33	0	0	7	38	23	30	77	27	CREDIT CARDMERCHANT DISCOUNT                                                                                                                                                                     	BANCLUB INCOME                                                                                                                                                                                   		DDI BENEFIT EXPENSE                                                                                                                                                                              													
3953	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0																	
4138	54	0	78	0	0	0	0	0	50	45	0	0	0	0	0	0	0	0	0	0	0	false	0	45	0	0	0	0	0	0	50	0				Audit Expense                                                                                                                                                                                    	Telephone Expense                                                                                                                                                                                												
4147	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	64	0	0	0	33	Service  Charge on Checking                                                                                                                                                                      																
4156	31	0	27	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	12	0	0	1	0	26	3	154	27																	
4231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	31	0	0	0	0	0	0	54	30																	
4437	69	0	0	116	0	184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	67	0	0	0	0	0	0	231	60	ORIGINATION FEES - SECONDARY MARKET LOANS                                                                                                                                                        																
4745	0	0	10	2	1	0	0	0	2	5	10	0	0	0	0	0	0	0	0	0	0	false	0	2	0	0	0	0	1	2	6	2				STATE OF ILLINOIS ASSESMENT                                                                                                                                                                      	BANK SRVC CHGS                                                                                                                                                                                   	MISCELLANEOUS                                                                                                                                                                                    											
4839	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	215	0																	
5005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	140	0	0	153	0																	
5050	0	0	31	0	0	38	30	0	34	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	37	30	Merchant card                                                                                                                                                                                    	Debit card                                                                                                                                                                                       		Merchant card                                                                                                                                                                                    													
5069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0																	
5135	22	0	18	65	11	0	0	0	137	71	0	0	0	0	0	0	0	0	0	0	0	false	0	12	0	0	0	0	7	31	274	43				Administrative Fees                                                                                                                                                                              	Auditing Fees                                                                                                                                                                                    												
5210	0	0	0	0	0	0	0	0	338	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	246	0	0	0	0				PA Shares Tax                                                                                                                                                                                    													
5247	154	3	19	36	67	538	688	0	410	0	0	0	0	0	0	0	0	0	0	0	0	false	0	321	0	0	165	0	113	52	308	221	Debit card income                                                                                                                                                                                	Mortgage loan processing income                                                                                                                                                                  		ATM/Debit Card Expense                                                                                                                                                                           													
5274	0	0	62	34	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	114	0				Accounting and Audit                                                                                                                                                                             													
5331	0	0	0	0	0	0	0	0	72	108	0	0	0	0	0	0	0	0	0	86	0	false	0	0	0	0	0	0	0	89	225	0				ATM PROCESSING FEES                                                                                                                                                                              	EXAM AND AUDIT FEES                                                                                                                                                                              							ADJ FOR OFF B/S ITEMS ALLOCATED TO LOAN LOSS RESERVE                                                                                                                                             					
5461	67	0	10	19	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	63	0	0	54	34	14	108	186	100																	
5751	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	46	0	0	28	0																	
5939	0	0	0	0	0	0	0	0	754	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	3195	0				LOAN EXPENSES                                                                                                                                                                                    													
6039	27	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	102	0	MORTGAGE PREPERATION FEES                                                                                                                                                                        																
6057	4	1	0	6	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	6	0	0	0	0	3	0	17	7																	
6141	7	0	21	3	3	6	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	false	0	19	0	0	4	0	6	0	48	22	fees and commissions                                                                                                                                                                             			other fees and commissions                                                                                                                                                                       													
6329	65	0	20	110	28	182	208	79	123	110	61	0	0	0	0	0	0	0	0	0	0	false	0	82	0	0	0	0	17	73	0	112	SERVICE CHARGE & LOAN ORIGINATION                                                                                                                                                                	YIELD SPREAD PREMIUM                                                                                                                                                                             	EXCHANGE                                                                                                                                                                                         	COMPUTER & OTHER OFFICE SUPPLIES                                                                                                                                                                 	TELEPHONE                                                                                                                                                                                        	MISCELLANEOUS EXPENSE                                                                                                                                                                            											
6972	410	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	191	402																	
7009	0	0	0	0	0	0	0	0	19382	728	0	0	0	0	0	0	0	8	0	0	0	true	0	0	0	0	0	0	0	0	0	0				Investment advisory & other service fees                                                                                                                                                         	Custody Fees                                                                                                                                                                                     					See item RI-E7 below for description                                                                                                                                                             							
7045	20	0	26	24	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	40	0	0	5	0	10	19	0	40																	
7157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	12	0	0	0	0	0	0	26	10																	
7166	0	0	0	0	0	0	0	0	564	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	482	0				HOLDING CO MANAGEMENT FEES                                                                                                                                                                       													
7456	15	0	25	23	10	17	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	false	0	11	0	0	0	0	0	0	54	17	OD Charges                                                                                                                                                                                       			Service Charges                                                                                                                                                                                  													
7634	0	0	0	0	0	14	0	0	15	15	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	28	31	EDP Income                                                                                                                                                                                       			Audit, Tax and Accounting Fees                                                                                                                                                                   	ATM Operation Expense                                                                                                                                                                            												
8033	0	0	35	27	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	52	0				Taxes Ad Valorem                                                                                                                                                                                 													
8417	0	0	0	0	0	0	0	0	11840	103125	6921	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	8399	0				Attorney Fees                                                                                                                                                                                    	Affiliate Related Expense Allocations                                                                                                                                                            	Misc. Service Charges                                                                                                                                                                            											
8462	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	19	24																	
8547	0	0	0	0	0								0		0		0					false	0	0			0	0	0	0	1048	0																	
8631	23	15	51	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	false	0	16	0	0	0	0	0	0	38	0				COLLECTON AND REPOSSESSION EXPENSE                                                                                                                                                               													
9115	868	0	0	0	0	0	0	0	2074	589	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	549				Intercompany Allocation                                                                                                                                                                          	Other Losses                                                                                                                                                                                     												
9160	0	0	0	0	0	165	0	0	89	47	107	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	206	95	Mortgage Referral Fees                                                                                                                                                                           			Premise Rent                                                                                                                                                                                     	Courier Svs.                                                                                                                                                                                     	Merger Expense                                                                                                                                                                                   											
9357	0	0	0	0	0	126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	INCOME AND FEES FROM CUSTOMER OWNED ATMS                                                                                                                                                         																
9553	0	0	22	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0				ATM Expense                                                                                                                                                                                      													
9807	0	0	0	0	0	788	3243	0	757	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	Mortgage modification fees                                                                                                                                                                       	Bank owned life insurance                                                                                                                                                                        		Effect of hedge accounting                                                                                                                                                                       													
9955	20	0	30	0	0								0		0		0					false	0	23			0	0	0	0	146	20																	
10157	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	71	0																	
10250	144	0	33	7	18	17	455	0	26	78	42	0	0	0	0	0	0	0	0	0	0	false	0	104	0	0	20	5	25	15	31	102	Credit Card                                                                                                                                                                                      	Mortgage Origination Fees                                                                                                                                                                        		Education                                                                                                                                                                                        	Insurance, Fidelity, Property, VSI                                                                                                                                                               	Reposession Expenses                                                                                                                                                                             											
10849	0	0	0	0	0	0	0	0	57	65	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0				Software maintenance expense                                                                                                                                                                     	Telephone expense                                                                                                                                                                                												
10858	0	0	0	0	0	0	0	0	175	0	0	0	0	0	0	0	0	3000	0	0	0	false	0	0	0	0	0	0	0	0	0	0				I/C FNNI Adm. Overhead                                                                                                                                                                           						CAPITAL INJECTION OF $3.0MM                                                                                                                                                                      							
11145	25	0	38	2	8	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	false	0	39	0	0	19	0	21	35	158	51				audits and exams                                                                                                                                                                                 													
11640	0	0	76	0	0	0	0	0	71	71	36	0	0	0	0	0	0	0	0	0	0	false	0	46	0	0	0	105	0	0	0	47				SALES AND STATE INCOME TAX                                                                                                                                                                       	BOUNCE PROTECTION FEE EXPENSE                                                                                                                                                                    	LOAN AND COLLECTION EXPENSE                                                                                                                                                                      											
11837	0	0	0	0	0	38	33		33				0		0		0					false	0	0			0	0	0	0	30	0	Mtg. Origination Fees	Miscellaneous Fees		Item Processing													
12030	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	324	102																	
12058	0	0	0	0	0	0	0	0	126	0	0	0	0	0	0	0	0	0	0	0	0	false	0	43	0	0	0	0	0	0	0	46				Other bank fees                                                                                                                                                                                  													
12142	23	0	33	6	12	0	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	false	0	51	0	0	10	0	44	21	0	78				Consulting                                                                                                                                                                                       													
12245	0	0	0	0	0	38	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	63	0	OTHER FEE INCOME                                                                                                                                                                                 			SUPPLIES                                                                                                                                                                                         													
12311	0	0	0	0	0	266767	8972	13504	214527	16895	0	0	0	0	0	0	0	0	0	-7846	-21459	false	0	0	0	0	0	22181	0	0	0	0	Operating lease income                                                                                                                                                                           	Mortgage loan origination fees                                                                                                                                                                   	Check card interchange fees                                                                                                                                                                      	Operating lease expense                                                                                                                                                                          	Corporate overhead charges                                                                                                                                                                       							Allowance related to the sale and securitization of loan                                                                                                                                         	Change in allowance related to off-balance sheet credit                                                                                                                                          				
12357	2	0	1	6	2	1	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	false	0	3	0	0	0	0	3	0	0	5	Collections                                                                                                                                                                                      			Insurance                                                                                                                                                                                        													
12647	19	0	0	0	0	197	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	59	26	service fees                                                                                                                                                                                     	commission and fees                                                                                                                                                                              															
12656	2	0	12	8	12	2			6	6	5		0		0		0					false	0	4			0	0	2	3	5	7	MISC. INCOME                                                                                                                                                                                     			CORRESPONDENT SERVICE CHARGES                                                                                                                                                                    	TELEPHONE                                                                                                                                                                                        	BLANKET BOND PREMIUMS                                                                                                                                                                            											
12937	0	0	0	65	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	46	52	0				Insurance                                                                                                                                                                                        													
12946	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	187	0	0	0	0																	
12955	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	53	0	0	0	0	0	0	51	65	MISC. INCOME                                                                                                                                                                                     																
13037	0	0	53	0	0				327				0		0		0					false	0	0			0	0	0	0	0	0				OTHER LOSSES                                                                                                                                                                                     													
13103	0	0	0	0	0	0	0	0	285	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	412	0				item processing                                                                                                                                                                                  													
13251	5	1	6	12	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	2	0	0	2	9	8																	
13309	799	0	0	992	0	757	0	0	2211	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	CHECKCARD INTERCHANGE INC                                                                                                                                                                        			COMPUTER SERVICE FEE                                                                                                                                                                             													
13457	0	0	8	0	0	0	0	0	7	8	9	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	29	0	0	10	0				EDUCATION                                                                                                                                                                                        	LIFE INSURANCE EXPENSE                                                                                                                                                                           	OCC ASSESSMENT                                                                                                                                                                                   											
14052	58	0	23	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	true	0	25	0	0	0	0	0	0	54	25	Secondary Market Real Estate Pricing                                                                                                                                                             																
14155	38	0	7	6	5	0	0	0	31	32	0	0	0	0	0	0	0	0	0	0	0	false	0	33	0	0	27	25	10	11	95	36				CONSULTING                                                                                                                                                                                       	ATM EXP                                                                                                                                                                                          												
14258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	184	0	0																	
14409	10902	0	0	0	0	-6857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	7995	0	16810	0	0	Loss on hedge terminations                                                                                                                                                                       																
14454	0	0	0	0	0	0	0	0	12	116	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	30	0				Other Real Estate Expense                                                                                                                                                                        	Management Fees                                                                                                                                                                                  												
14650	0	0	0	0	0	17	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	false	0	11	0	0	0	16	0	0	45	14	EXCHANGE AND COLLECTION                                                                                                                                                                          			MISCELLANEOUS EXPENSE                                                                                                                                                                            													
14753	16	0	0	0	0	0	0	0	10	7	0	0	0	0	0	0	0	0	0	0	0	false	0	11	0	0	0	0	0	0	41	0				depreciation expense                                                                                                                                                                             	repairs                                                                                                                                                                                          												
14865	33	0	0	0	0	34	137	0	32	0	0	0	0	0	0	0	0	0	0	0	0	false	0	39	0	0	0	0	0	0	0	39	Mortgage Prep Fees                                                                                                                                                                               	Broker Fee Income                                                                                                                                                                                		Telephone                                                                                                                                                                                        													
