"IDRSSD"	RCFD0426	RCFD2150	RCFD2651	RCFD3164	RCFD3190	RCFD4088	RCFD5507	RCFD6164	RCFD6165	RCFDA590	RCFDB026	RCFDB569	RCFDB570	RCFDB571	RCFDF055	RCFDF056	RCFDF057	RCFDF058	RCFDF059	RCFDF060	RCFDF061	RCFDF062	RCFDF063	RCFDF065	RCFDJ452	RCFDJ453	RCFDJ461	RCFDJ462	RCFN5513	RCON0426	RCON2150	RCON2651	RCON3164	RCON3190	RCON4088	RCON5507	RCON5508	RCON5509	RCON5510	RCON5511	RCON5512	RCON6164	RCON6165	RCONA590	RCONB026	RCONB569	RCONB570	RCONB571	RCONC979	RCONF055	RCONF056	RCONF057	RCONF058	RCONF059	RCONF060	RCONF061	RCONF062	RCONF063	RCONF064	RCONF065	RCONG463	RCONG464	RCONJ452	RCONJ453	RCONJ461	RCONJ462	TEXT4087	
5069																														0	6887	0	0	0	false	0	0	0	0	0	6887	250	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0		
5135																														0	387	0	0	20819	true	0	25	0	362	0	0	9787	5	0	0	false	0	0	0	11000	8000	0	1819	0	0	0	0	0	0	0	false	false	0	0	0	0	http://www.fsbanks.com	
5210																														0	7859	10000	0	80823	true	0	1246	0	805	413	5395	13367	3	0	0	false	0	1823	0	20000	25000	23000	11000	10000	1823	0	0	0	0	1823	false	false	0	0	0	0	http://www.acnb.com	
5331																														0	541	13000	0	23334	true	0	356	0	33	152	0	789	0	0	0	false	0	334	0	13000	10000	0	0	0	334	0	0	0	0	334	true	false	0	0	0	0	www.hydeparkbank.net	
5461																														220	469	0	0	15600	true	220	469	0	0	0	0	42	0	0	0	true	0	600	0	0	0	15000	0	0	600	0	0	0	0	0	false	false	0	0	0	0	www.bankbac.com	
5751																														0	51	0	0	0	true	0	0	0	51	0	0	1708	1	0	0	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0	true	true	0	0	0	0	http://www.kearnycountybank.com	
6039																														0	1834	0	0	0	true	0	1093	0	15	0	726	792	1	0	0	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	wwwaebalma.com	
6141																														0	30	0	0	0	false	0	0	0	0	0	30	97	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0		
6329																														0	4777	0	0	0	true	0	2466	0	1841	0	470	581	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	www.abbank.com	
6972																														256	6320	44145	0	44145	true	256	1314	0	0	0	5006	4714	2	0	0	true	0	0	0	44145	0	0	0	0	0	0	0	0	0	0	true	true	0	0	0	0	http://www.firstindy.com	
7009																														0	0	0	0	0	true	0	0	0	0	0	0	1300	1	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	true	0	0	0	0	http://www.bessemer.com	
7045																														0	249	0	0	0	true	0	0	0	40	0	209	2475	1	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	true	true	0	0	0	0	http://www.tpbbancorp.com	
7157																														0	0	0	0	0	true	0	0	0	0	0	0	103	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	statebankbr.com	
7456																														0	0	0	0	0	true	0	0	0	0	0	0	170	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false	0	0	0	0	www.bankofhartington.com	
7634																														0	1589	0	0	2000	false	0	668	0	849	0	72	98	0	0	0	false	0	0	0	0	2000	0	0	0	0	0	0	0	0	0	true	false	0	0	0	0	THEFOURCOUNTYBANK.COM	
8033																														0	0	6350	0	18724	true	0	0	0	0	0	0	2930	1	0	0	true	0	0	0	6350	9374	1000	2000	0	0	0	0	0	0	0	false	false	0	0	0	0	WWW.THEFRIENDLYBANK.COM	
8462																														0	0	0	0	0	true	0	0	0	0	0	0	2038	2	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	http://www.perrytonbank.com	
8631																														0	741	0	0	0	true	0	0	0	452	0	289	438	1	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	pcbsm.com	
9357																														2552	0	54200	0	54200	true	2552	0	0	0	0	0	8	0	0	0	true	0	0	0	54200	0	0	0	0	0	0	0	0	0	0	true	false	0	0	0	0	www.fidelitybankmn.com	
9553																														0	0	2930	0	9814	true	0	0	0	0	0	0	2113	1	0	0	false	0	1701	0	2930	412	881	3360	0	1701	64	5	461	0	0	true	false	0	0	0	0	http://adamscountybankonline.com	
9807																														0	124616	20000	0	305998	true	0	102679	0	3755	11716	6466	7860	2	0	0	true	0	0	0	20000	0	100000	140000	0	0	45998	0	0	0	0	true	true	0	0	0	0	www.amboybank.com	
9955																														437	105	0	0	2031	true	437	0	0	0	0	105	3313	1	0	0	false	0	0	0	0	31	0	2000	0	0	0	0	0	0	0	true	false	0	0	0	0	www.bankkansas.com	
10250																														0	17459	0	0	5000	true	0	4056	0	1567	160	11676	202	0	0	0	true	0	0	0	0	3000	2000	0	0	0	0	0	0	0	0	true	false	0	0	0	0	www.thebankofelkriver.com	
10849																														0	17210	10500	0	18967	true	0	5683	1920	7407	0	2200	6941	2	0	0	false	0	0	0	10828	8139	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	http://www.firststatebk.com	
10858																														0	476	0	0	6391	true	0	476	0	0	0	0	5799	3	0	0	true	0	1145	0	0	246	0	5000	0	1145	0	0	0	0	1145	true	true	0	0	0	0	www.pvsb.com	
11145																														0	1771	2194	0	8506	false	0	0	0	865	0	906	1703	1	0	0	false	0	0	0	2194	728	2500	3084	0	0	0	0	0	0	0	false	false	0	0	0	0		
11640																														0	1207	0	0	20000	true	0	207	0	0	0	1000	7645	2	0	0	false	0	0	0	0	0	0	20000	0	0	0	0	0	0	0	true	false	0	0	0	0	http://fnbclarksdale.com	
11837																														0	950	0	0	7000	true	0	280	0	400	0	270	0	0	0	0	false	0	0	0	0	0	0	7000	0	0	0	0	0	0	0	false	false	0	0	0	0	http://www.farmbk.com	
12030																														0	5035	0	0	0	true	0	0	1476	876	0	2683	756	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	http://WWW.fnbalma.com	
12142																														0	518	0	0	0	true	0	0	0	368	0	150	289	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false	0	0	0	0	www.clevelandstatebank.com	
12245																														0	459	3000	0	5000	true	0	0	0	50	0	409	3445	2	0	0	false	0	0	0	3000	2000	0	0	0	0	0	0	0	0	0	true	false	0	0	0	0	www.banknorthwis.com	
12311	399706	66048	154873	196195	2387348	true	203414	271975	9	213140	97	true	3413034	697523	154873	9163	0	8483	0	697523	1241176	241130	35000	1526890	0	0	0	0	0					2387348			18239	834	11962	0	14026								20987										0		true	true					www.Huntington.com	
12647																														0	469	0	0	6200	true	0	432	0	37	0	0	5074	3	0	0	false	0	0	0	3550	2650	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	http://PORTAGECOUNTYBANK.COM	
12656																														0	0	0	0	0	true	0	0	0	0	0	0	226	1	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false	0	0	0	0	http://www.mybankathome.com	
12937																														0	0	0	0	4444	true	0	0	0	0	0	0	6545	3	0	0	false	0	0	0	0	0	4444	0	0	0	0	0	0	0	0	false	false	0	0	0	0	www.oakbank.com	
12946																														1358	8502	3	0	12335	true	1358	2968	809	800	0	3925	3948	2	0	0	true	0	632	0	3	10416	0	1284	0	632	0	0	0	0	632	true	false	0	0	0	0	www.fbtarkansas.com	
12955																														0	515	0	0	2500	true	0	515	0	0	0	0	1973	1	0	0	false	0	0	0	0	0	2500	0	0	0	0	0	0	0	0	true	false	0	0	0	0	http://www.bankofnebraska.com	
13037																														945	1011	0	0	0	true	945	100	748	131	0	32	3741	2	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false	0	0	0	0	http://www.tradersbanking.com	
13103																														4030	1010	0	0	107749	true	4030	0	0	1010	0	0	1867	1	0	0	false	0	0	0	0	22000	50000	35749	0	0	0	0	0	0	0	false	false	0	0	0	0	www.bristolcountysavingsbank.com	
13251																														0	341	0	0	0	false	0	0	0	80	0	261	207	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	http://elysianbank.com	
13457																														0	0	0	0	0	true	0	0	0	0	0	0	97	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	http://www.bankoflewellen.com	
14052																														0	38	0	0	1000	true	0	0	0	0	0	38	140	0	0	0	false	0	0	0	0	0	0	1000	0	0	0	0	0	0	0	false	false	0	0	0	0	www.lcbwi.com	
14155																														0	983	1200	0	6325	true	0	663	183	50	0	87	352	0	0	0	false	0	0	0	1200	975	700	3450	3000	0	0	0	0	300	0	false	false	0	0	0	0	http://www.fandcbank.com	
14454																														0	262	0	0	1000	true	0	0	0	0	0	262	0	0	0	0	false	0	0	0	0	0	500	500	0	0	0	0	0	0	0	false	false	0	0	0	0	www.fsevansville.com	
14650																														0	74	0	0	0	true	0	74	0	0	0	0	125	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	www.banklg.com	
14753																														0	0	0	0	0	false	0	0	0	0	0	0	836	1	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0		
14865																														441	984	0	0	0	true	441	426	0	60	0	498	1449	1	0	0	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false	0	0	0	0	beobank.com	
14977																														0	0	1006	0	1136	false	0	0	0	0	0	0	853	0	0	0	false	0	0	0	1006	80	0	50	0	0	0	0	0	0	0	true	false	0	0	0	0		
16458																														0	126	0	0	258	true	0	126	0	0	0	0	2106	1	0	0	true	0	258	0	0	0	0	0	0	258	0	0	0	0	0	true	true	0	0	0	0	www.douglascountybank.com	
16551																														0	2938	3000	0	11000	true	0	1659	0	1152	0	127	2	0	0	0	false	0	0	0	3000	3000	0	5000	8000	0	0	0	0	0	0	true	false	0	0	0	0	http://www.northviewbank.com	
16748																														411	47	0	411	0	true	0	0	0	47	0	0	1276	2	411	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	http://www.esbanc.com	
16944																														0	310	0	0	0	true	0	0	0	0	0	310	756	1	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	http://www.wmsbank.com	
16953																														0	0	0	0	0	false	0	0	0	0	0	0	111	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false	0	0	0	0	http://www.fertilebeltrami.k12.mn.us	
17110																														0	0	0	0	0	false	0	0	0	0	0	0	2984	2	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	true	true	0	0	0	0	http://www.haverfordquality.com	
17147																														12022	20927	18930	589	161663	true	11433	11449	0	4212	786	4480	3457	2	589	0	true	0	0	0	18930	50318	3270	10165	0	0	0	78980	0	0	0	true	false	0	0	0	0	http://www.firstmerchants.com	
17259																														0	694	0	0	3500	true	0	0	0	694	0	0	663	1	0	0	false	0	0	0	0	500	0	3000	0	0	0	0	0	0	0	false	false	0	0	0	0	http://www.fnbmarlow.com	
17464																														4912	39536	50000	0	236000	true	4912	32000	0	2702	0	4834	1274	1	0	0	true	0	0	0	105000	40000	25000	25000	0	15000	26000	0	0	0	0	true	true	0	0	0	0	http://www.botc.com	
17950																														0	1237	0	0	3109	true	0	0	0	344	0	893	762	1	0	0	false	0	0	0	3109	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	www.bankofbridger.com	
18050																														641	618	15	0	654	true	641	95	0	523	0	0	5274	5	0	0	true	0	0	0	15	91	325	223	0	0	0	0	0	0	0	true	false	0	0	0	0	http://www.fnbbastrop.com	
18135																														0	548	3970	0	26095	false	0	0	0	548	0	0	329	0	0	0	true	4345	0	0	3970	3525	2200	16400	0	0	0	0	0	0	0	false	false	0	0	0	0	http://www.banksouthcentral.com	
18377																														0	0	0	0	0	false	0	0	0	0	0	0	157	1	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false	0	0	0	0	www.ballysavingsbank.com	
18827																														1529	1884	0	0	0	true	1529	177	0	568	0	1139	4910	2	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	www.fmbwpa.com	
18836																														0	3462	837	0	3990	true	0	1551	298	1308	0	305	3289	1	0	0	false	0	0	0	837	562	446	2145	0	0	0	0	0	0	0	true	false	0	0	0	0	http://www.caponvalleybank.com	
18854																														0	402	3000	0	3000	true	0	0	0	0	0	402	1994	0	0	0	false	0	0	0	3000	0	0	0	0	0	0	0	0	0	0	true	false	0	0	0	0	www.bank7.com	
18957																														0	0	540	0	1107	false	0	0	0	0	0	0	40	0	0	0	false	0	0	0	540	190	27	350	0	0	0	0	0	0	0	true	false	0	0	0	0		
19356																														0	1100	0	0	2096	true	0	0	0	0	0	1100	0	0	0	0	false	0	0	0	0	0	0	2096	0	0	0	0	0	292	0	false	false	0	0	0	0	http://www.sbtmiami.com	
19730																														5810	12176	35613	1326	46990	true	4484	9034	0	1307	0	1835	50759	5	1326	0	true	0	0	0	35613	11377	0	0	0	0	0	0	0	0	0	true	true	0	0	0	0	www.standardbanks.com	
19936																														0	1876	0	0	0	true	0	1293	0	57	0	526	3330	2	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false	0	0	0	0	www.cbkamericus.com	
19972																														0	0	0	0	0	false	0	0	0	0	0	0	560	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0		
20053																														279	460	0	0	1709	true	279	73	0	138	0	249	93	0	0	0	false	0	0	0	0	1570	139	0	0	0	0	0	0	0	0	true	false	0	0	0	0	http://www.securityonlinebank.com	
20370																														0	13749	0	0	5061	true	0	7892	0	4850	0	1007	2010	1	0	0	false	0	0	0	0	5000	0	0	0	61	0	0	0	0	61	false	false	0	0	0	0	www.firstheritage.net	
20512																														0	295	0	0	0	false	0	0	0	0	0	295	1317	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	http://www.fnbpa.com	
20633																														0	1375	0	0	6000	true	0	1093	0	107	0	175	4704	2	0	0	false	0	0	0	1000	0	0	0	0	0	0	0	5000	0	0	false	false	0	0	0	0	www.mcnbbanks.com	
20857																														0	0	10900	0	16329	true	0	0	0	0	0	0	0	0	0	0	false	0	0	0	11189	1108	1130	2902	4198	0	0	0	0	0	0	false	false	0	0	0	0	granitefallsbank.com	
21256																														0	147	0	0	0	false	0	97	0	50	0	0	10	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	http://www.statebankofburrtononline.com	
21359																														0	84	0	0	327	true	0	0	0	0	0	84	500	2	0	0	false	0	29	0	0	0	0	0	0	29	76	78	144	0	0	true	false	0	0	0	0	http://www.asbgrygla.com	
21630																														0	0	0	0	4299	true	0	0	0	0	0	0	2026	3	0	0	false	0	0	0	0	947	979	2373	0	0	0	0	0	0	0	false	false	0	0	0	0	http://www.thetechebank.com	
21658																														0	626	0	0	640	true	0	275	0	300	0	51	4422	2	0	0	true	0	455	0	0	185	0	0	0	455	0	0	0	0	455	true	true	0	0	0	0	www.alliancebank.us	
22048																														0	268	2000	0	17172	true	0	0	0	49	0	219	8747	5	0	0	false	0	0	0	2000	5134	5865	3752	0	421	0	0	0	0	0	true	false	0	0	0	0	www.unionbnk.com	
22356																														3319	0	35000	0	35930	true	3319	0	0	0	0	0	1620	1	0	0	false	0	930	0	35000	0	0	0	0	930	0	0	0	0	930	true	false	0	0	0	0	http://www.myfnbt.com	
22459																														0	0	0	0	5138	true	0	0	0	0	0	0	3916	4	0	0	false	0	454	0	0	0	2000	2684	0	454	0	0	0	0	454	false	false	0	0	0	0	http://WWW.1STBANKONLINE.COM	
22543																														0	99	0	0	0	true	0	0	0	99	0	0	943	1	0	0	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	www.istatesavingsbank.com	
22552																														0	386	0	0	0	true	0	116	0	216	0	54	798	3	0	0	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false	0	0	0	0	http://www.firstsoutheastbank.com	
22730																														0	18	0	0	0	true	0	0	0	18	0	0	995	1	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	http://www.westunionbank.com	
22936																														0	5263	0	0	3742	true	0	3170	0	426	165	1502	9068	3	0	0	false	0	0	0	0	2000	0	1742	0	0	0	0	0	0	0	false	false	0	0	0	0	http://fmbnk.com	
22954																														0	584	3010	0	8806	true	0	0	0	460	0	124	694	0	0	0	false	0	0	0	3138	2354	2335	979	0	0	0	0	0	0	0	true	false	0	0	0	0	www.fnbhawley.com	
23045																														0	0	0	0	0	true	0	0	0	0	0	0	224	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	http://www.wmibt.com	
23241																														3950	49238	12000	0	168793	true	3950	35140	0	9524	3511	1063	1825	1	0	0	true	0	0	0	24000	75000	0	15000	0	0	51425	3368	0	0	4793	true	true	0	0	0	0	http://www.integrabank.com	
23456																														0	1013	0	0	131	true	0	314	0	0	0	699	509	0	0	0	false	0	0	0	100	0	0	0	0	0	0	31	0	0	0	true	false	0	0	0	0	www.fnbhenning.com	
23504																														0	0	0	0	0	true	0	0	0	0	0	0	1316	1	0	0	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false	0	0	0	0	www.bridgenb.com	
23540																														1355	0	0	0	0	true	1355	0	0	0	0	0	2586	1	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	http://OswegoCommunitybank.com	
