"IDRSSD"	RCFD0010	RCFD1395	RCFD1651	RCFD1754	RCFD1773	RCFD2170	RCFD2221	RCFD3123	RCFD3128	RCFD3210	RCFD3368	RCFD3411	RCFD3429	RCFD3433	RCFD3545	RCFD3792	RCFD3809	RCFD3812	RCFD3821	RCFD3833	RCFD4336	RCFD5306	RCFD5310	RCFD5311	RCFD5320	RCFD5327	RCFD5334	RCFD5339	RCFD5340	RCFD5369	RCFD5610	RCFD7204	RCFD7205	RCFD7206	RCFD7273	RCFD7274	RCFD7275	RCFD8274	RCFD8275	RCFD8434	RCFD8764	RCFD8766	RCFD8767	RCFD8769	RCFD8770	RCFD8771	RCFD8772	RCFD8773	RCFD8774	RCFD8775	RCFD8776	RCFD8777	RCFD8778	RCFD8779	RCFDA000	RCFDA001	RCFDA002	RCFDA167	RCFDA221	RCFDA222	RCFDA223	RCFDA224	RCFDA250	RCFDB503	RCFDB504	RCFDB505	RCFDB520	RCFDB528	RCFDB541	RCFDB542	RCFDB543	RCFDB546	RCFDB547	RCFDB548	RCFDB581	RCFDB582	RCFDB583	RCFDB588	RCFDB589	RCFDB590	RCFDB591	RCFDB592	RCFDB593	RCFDB594	RCFDB595	RCFDB596	RCFDB600	RCFDB601	RCFDB602	RCFDB603	RCFDB604	RCFDB605	RCFDB606	RCFDB607	RCFDB608	RCFDB609	RCFDB610	RCFDB611	RCFDB612	RCFDB617	RCFDB618	RCFDB619	RCFDB620	RCFDB621	RCFDB622	RCFDB623	RCFDB624	RCFDB625	RCFDB626	RCFDB627	RCFDB628	RCFDB629	RCFDB630	RCFDB631	RCFDB639	RCFDB640	RCFDB641	RCFDB642	RCFDB643	RCFDB644	RCFDB650	RCFDB651	RCFDB652	RCFDB653	RCFDB654	RCFDB655	RCFDB656	RCFDB657	RCFDB658	RCFDB659	RCFDB660	RCFDB661	RCFDB662	RCFDB663	RCFDB664	RCFDB665	RCFDB666	RCFDB667	RCFDB668	RCFDB669	RCFDB670	RCFDB671	RCFDB672	RCFDB673	RCFDB675	RCFDB676	RCFDB677	RCFDB678	RCFDB679	RCFDB680	RCFDB681	RCFDB682	RCFDB683	RCFDB684	RCFDB685	RCFDB686	RCFDB687	RCFDB688	RCFDB689	RCFDB690	RCFDB691	RCFDB693	RCFDB694	RCFDB695	RCFDB696	RCFDB697	RCFDB698	RCFDB699	RCFDB700	RCFDB701	RCFDB702	RCFDB703	RCFDB704	RCFDC063	RCFDC064	RCFDC225	RCFDC227	RCFDC228	RCFDC869	RCON0010	RCON1395	RCON1651	RCON1754	RCON1773	RCON2170	RCON2221	RCON3123	RCON3128	RCON3210	RCON3368	RCON3411	RCON3429	RCON3433	RCON3545	RCON3792	RCON3809	RCON3812	RCON3821	RCON3833	RCON4336	RCON5306	RCON5310	RCON5311	RCON5320	RCON5327	RCON5334	RCON5339	RCON5340	RCON5369	RCON5610	RCON7204	RCON7205	RCON7206	RCON7273	RCON7274	RCON7275	RCON8274	RCON8275	RCON8434	RCON8764	RCON8766	RCON8767	RCON8769	RCON8770	RCON8771	RCON8772	RCON8773	RCON8774	RCON8775	RCON8776	RCON8777	RCON8778	RCON8779	RCONA000	RCONA001	RCONA002	RCONA167	RCONA221	RCONA222	RCONA223	
1351																																																																																																																																																																																				2470	0	0	33059	2897	100665	0	1120	0	13934	99529	0	0	0	0	14902	0	0	689	2154	0	0	865	865	1390	29097	18771	2174	52630	0	0	0.141	0.216	0.2034	0	0	0	14037	865	-103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	255	69002	
1454																																																																																																																																																																																				14746	0	0	0	149761	384483	0	1191	0	28581	385889	0	0	0	0	32181	0	0	0	0	0	0	1191	1191	18704	166723	51623	6859	151033	513	0	0.080324	0.148754	0.143249	0	0	0	30990	1191	-2486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	216337	
1557																																																																																																																																																																																				1426	0	0	1119	9565	33133	0	377	0	4623	33774	0	0	0	0	4949	0	0	51	666	0	0	279	279	177	12854	2366	819	18185	0	0	0.1383	0.2229	0.2104	0	0	0	4670	279	-47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98	22200	
1632																																																																																																																																																																																				10597	0	0	0	29915	469617	0	5734	0	39652	456608	0	0	0	0	45382	0	0	1460	49724	0	0	5534	5534	2433	43202	54735	14451	375299	0	0	0.08727	0.102557	0.090051	0	0	0	39848	5534	-196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200	442506	
1669																																																																																																																																																																																				11035	0	0	70037	51631	220145	0	1400	0	38260	223611	672	0	0	0	38169	0	0	0	0	0	0	896	896	121332	9989	40155	10116	49472	0	0	0.167998	0.536247	0.523659	0	0	0	37273	896	-758	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	504	71178	
1829																																																																																																																																																																																				10374	0	0	0	112345	308791	648	3005	0	39446	313039	0	0	0	0	41889	0	0	0	11798	0	0	2315	2963	7291	106595	79560	5934	118210	0	0	0.1243	0.227	0.2109	0	0	0	38926	2963	520	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	690	184540	
1856																																																																																																																																																																																				507	0	0	115062	93741	230736	0	119	0	13979	231398	0	0	0	0	16341	0	0	0	4	0	0	119	119	170	214026	4439	2121	14463	0	0	0.0701	0.2747	0.2727	0	0	0	16222	119	-2341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59490	
2040																																																																																																																																																																																				3681	0	0	0	26308	154588	0	1790	0	15831	153306	0	0	0	0	17204	0	0	0	0	0	0	1440	1440	783	27996	37942	4860	89557	289	0	0.1028	0.1498	0.1372	0	0	0	15764	1440	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350	114874	
2161																																																																																																																																																																																				6546	0	0	96	27490	98818	0	518	0	9715	98215	0	0	0	0	10512	0	0	0	0	0	0	518	518	1410	37541	37113	4611	23694	0	0	0.1018	0.2113	0.2008	0	0	0	9994	518	-279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49759	
2376																																																																																																																																																																																				8622	0	0	331974	31502	1013504	0	6172	0	119611	1023578	0	0	0	0	125411	0	0	0	0	0	0	6172	6172	28586	353481	370363	46805	266831	0	0	0.1165	0.2399	0.2281	0	0	0	119239	6172	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	522709	
2451																																																																																																																																																																																				841	0	0	0	0	27057	0	192	0	2847	25418	0	0	0	0	2289	0	0	95	0	0	0	192	192	238	3694	5031	623	17536	0	0	0.085	0.1092	0.1001	0	0	0	2097	192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20959	
2554																																																																																																																																																																																				1151	0	0	3	2377	8233	0	44	0	692	7573	0	0	0	0	808	0	0	0	0	0	0	44	44	2	4766	229	224	3352	0	0	0.1009	0.1828	0.1729	0	0	0	764	44	-72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4420	
2732																																																																																																																																																																																				15728	0	0	0	59239	520154	0	3458	0	60393	507842	0	0	0	0	63155	0	0	0	0	0	0	3458	3458	42974	86131	97172	10607	296955	33820	0	0.117855	0.171205	0.161831	0	0	0	59697	3458	-616	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	368885	
2750																																																																																																																																																																																				1598	0	0	0	13347	51841	0	541	0	4693	51863	0	0	0	0	5463	0	0	0	0	0	0	463	463	3422	12939	3811	2025	32517	0	0	0.0964	0.1479	0.1354	0	0	0	5000	463	-307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	36941	
2938																																																																																																																																																																																				11221	0	0	0	45118	365008	0	5257	0	28119	364342	0	0	0	0	32284	0	0	2055	19440	0	0	3830	3830	2044	54443	64265	9280	250058	0	0	0.078097	0.105869	0.093309	0	0	0	28454	3830	-335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1427	304944	
3252																																																																																																																																																																																				9872	0	0	9645	39298	106177	0	956	0	11717	107679	0	0	0	0	12890	0	0	355	694	0	0	742	742	7084	50807	2739	2940	47155	0	0	0.1128	0.218	0.2055	0	0	0	12148	742	-431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	214	59127	
3458																																																																																																																																																																																				3959	0	0	2782	7857	24464	0	384	0	2420	25027	0	0	0	0	2706	0	0	0	0	0	0	210	210	1830	6961	1542	422	14631	0	0	0.099732	0.162816	0.150181	0	0	0	2496	210	-76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	174	16620	
3506																																																																																																																																																																																				42624	0	0	35714	309945	1636972	0	10646	0	200295	1642767	0	0	0	0	140863	0	0	3139	105914	0	0	10666	10666	19400	378493	221103	65631	959975	0	0	0.082911	0.119829	0.110756	0	0	0	130197	10666	-2310	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1175529	
3720																																																																																																																																																																																				5294	0	0	13154	37716	154939	0	1246	0	19072	153056	0	0	0	0	18582	0	0	0	3761	0	0	1099	1099	4877	62118	31272	3517	58020	210	923	0.114919	0.21144	0.198935	0	0	0	17483	1099	666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	147	87883	
