"IDRSSD"	FDIC Certificate Number	OCC Charter Number	OTS Docket Number	Primary ABA Routing Number	Financial Institution Name	Financial Institution Address	Financial Institution City	Financial Institution State	Financial Institution Zip Code	Financial Institution Filing Type	Last Date/Time Submission Updated On
4231	16440	0	0	61212345	FARMERS AND MERCHANTS BANK	104 NORTH MAIN STREET 	SYLVANIA	GA	30467	041	2005-08-08T16:16:33
4437	6795	13830	13423	51501558	FIRST NATIONAL BANK	1 CEDAR STREET 	RONCEVERTE	WV	24970	041	2005-08-08T16:16:33
4745	13661	0	0	71114828	WHAPLES AND FARMERS STATE BANK, THE	120 WEST COMMERCIAL STREET 	NEPONSET	IL	61345	041	2005-08-08T16:16:33
4839	11694	0	11442	71001122	AUSTIN BANK OF CHICAGO	5645 WEST LAKE STREET 	CHICAGO	IL	60644	041	2005-08-08T16:16:33
5005	90286	0	8422	211370480	STONEHAM SAVINGS BANK	359 MAIN STREET 	STONEHAM	MA	02180	041	2005-08-08T16:16:33
5050	13732	0	13045	101012722	COMMERCIAL STATE BANK OF BONNER SPRINGS	309 OAK 	BONNER SPRINGS	KS	66012	041	2005-08-08T16:16:33
5069	24332	0	0	122237599	FIRST CREDIT BANK	9255 SUNSET BOULEVARD 	LOS ANGELES	CA	90069	041	2005-08-08T16:16:33
5135	15496	0	14097	61202931	FIRST STATE BANK OF BLAKELY	218 S. MAIN STREET 	BLAKELY	GA	31723	041	2005-08-08T16:16:33
5210	7506	311	12499	31309945	ADAMS COUNTY NATIONAL BANK	16 LINCOLN SQUARE 	GETTYSBURG	PA	17325	041	2005-08-08T16:16:33
5247	10451	0	0	71921176	NLSB	110 WEST MAPLE STREET PO BOX 339	NEW LENOX	IL	60451	041	2005-08-08T16:16:33
5274	30282	0	5104	281070985	CLOVER LEAF BANK	200 EAST PARK STREET 	EDWARDSVILLE	IL	62025	041	2005-08-08T16:16:33
5331	10448	0	0	71004022	HYDE PARK BANK & TRUST COMPANY	1525 EAST 53RD STREET 	CHICAGO	IL	60615	041	2005-08-08T16:16:33
5461	19434	0	0	121125660	BANK OF AGRICULTURE AND COMMERCE	340 EAST MAIN STREET 	STOCKTON	CA	95202	041	2005-08-08T16:16:33
5751	15194	0	0	101106625	KEARNY COUNTY BANK	221 NORTH MAIN 	LAKIN	KS	67860	041	2005-08-08T16:16:33
5939	21350	0	12390	63108868	REPUBLIC BANK	111 SECOND AVENUE NORTHEAST 	SAINT PETERSBURG	FL	33701	041	2005-08-08T16:16:33
6039	15699	0	14102	61211964	ALMA EXCHANGE BANK & TRUST	501 WEST 12TH STREET 	ALMA	GA	31510	041	2005-08-08T16:16:33
6057	1651	0	12316	101917652	FARMERS AND MERCHANTS BANK	201 MAIN STREET 	HALE	MO	64643	041	2005-08-08T16:16:33
6141	16567	0	0	84201896	TALLAHATCHIE COUNTY BANK	1 EAST MAIN STREET 	CHARLESTON	MS	38921	041	2005-08-08T16:16:33
6329	9923	0	13430	53206741	ANDERSON BROTHERS BANK	101 NORTH MAIN STREET 	MULLINS	SC	29574	041	2005-08-08T16:16:33
6972	1500	0	0	123305378	FIRST INDEPENDENT BANK	1220 MAIN STREET, SUITE 500 	VANCOUVER	WA	98668	041	2005-08-08T16:16:33
7009	20015	0	0	21203970	BESSEMER TRUST COMPANY	100 WOODBRIDGE CENTER DRIVE 	WOODBRIDGE	NJ	070951191	041	2005-08-08T16:16:33
7045	5779	0	0	83905326	PEOPLES BANK, THE	100 NORTH MAIN STREET 	BROWNSTOWN	IN	47220	041	2005-08-08T16:16:33
7157	15057	0	0	101102810	STATE BANK OF BLUE RAPIDS	21 PUBLIC SQUARE 	BLUE RAPIDS	KS	66411	041	2005-08-08T16:16:33
7166	24903	18029	0	121140276	WESTERN SIERRA NATIONAL BANK	4080 PLAZA GOLDORADO CIRCLE 	CAMERON PARK	CA	95682	041	2005-08-08T16:16:33
7456	13962	0	0	104110977	BANK OF HARTINGTON	229 NORTH BROADWAY 	HARTINGTON	NE	68739	041	2005-08-08T16:16:33
7634	15904	0	0	61112034	FOUR COUNTY BANK, THE	MAIN STREET 	ALLENTOWN	GA	31003	041	2005-08-08T16:16:33
8033	23090	0	15605	65202830	PEOPLES BANK AND TRUST COMPANY OF POINTE COUPEE PARISH	107 E MAIN ST 	NEW ROADS	LA	70760	041	2005-08-08T16:16:33
8154	1628	0	13472	101902298	CITIZENS BANK OF PRINCETON	U.S. HIGHWAYS 65 & 136 	PRINCETON	MO	64673	041	2005-08-08T16:16:33
8417	21377	16235	0	44000804	BANK ONE TRUST COMPANY, NATIONAL ASSOCIATION	235 WEST SCHROCK RD. 	COLUMBUS	OH	432710393	041	2005-08-08T16:16:33
8462	3388	11595	0	111318584	PERRYTON NATIONAL BANK, THE	825 S. MAIN STREET 	PERRYTON	TX	790703556	041	2005-08-08T16:16:33
8547	9088	0	13994	74912849	HERITAGE COMMUNITY BANK	426 WASHINGTON STREET 	COLUMBUS	IN	47201	041	2005-08-08T16:16:33
8631	847	0	0	51501765	PLEASANTS COUNTY BANK, THE	323 SECOND ST 	SAINT MARYS	WV	26170	041	2005-08-08T16:16:33
9115	21002	21863	0	31201328	COMMERCE BANK/SHORE NATIONAL ASSOCIATION	106 NORTH MAIN STREET 	FORKED RIVER	NJ	08731	041	2005-08-08T16:16:33
9160	23579	0	9206	121138741	CENTRAL SIERRA BANK	373 WEST ST. CHARLES STREET 	SAN ANDREAS	CA	95249	041	2005-08-08T16:16:33
9357	20268	0	14336	91014924	FIDELITY BANK	7600 PARKLAWN AVE. 	EDINA	MN	55435	041	2005-08-08T16:16:33
9553	14311	0	15282	104907708	ADAMS COUNTY BANK	109 NORTH SMITH AVENUE 	KENESAW	NE	68956	041	2005-08-08T16:16:33
9807	6423	3878	9315	21204416	AMBOY NATIONAL BANK	3590 U.S. HIGHWAY 9 SOUTH 	OLD BRIDGE	NJ	08857	041	2005-08-08T16:16:33
9955	15899	0	14147	101101992	FIRST STATE BANK AND TRUST COMPANY OF LARNED, THE	116 WEST 6TH 	LARNED	KS	67550	041	2005-08-08T16:16:33
10157	4709	7125	13751	101101989	FIRST NATIONAL BANK & TRUST CO. IN LARNED	102 WEST 6TH STREET 	LARNED	KS	67550	041	2005-08-08T16:16:33
10250	1607	0	17004	91903831	BANK OF ELK RIVER, THE	630 MAIN ST. 	ELK RIVER	MN	55330	041	2005-08-08T16:16:33
10849	15050	0	9924	82902003	FIRST STATE BANK	101 SOUTH CENTER STREET P. O. BOX 320	LONOKE	AR	72086	041	2005-08-08T16:16:33
10858	16112	0	15947	104900459	PLATTE VALLEY STATE BANK AND TRUST COMPANY	2223 SECOND AVENUE 	KEARNEY	NE	68847	041	2005-10-24T17:38:00
11145	8172	0	11663	72405604	LAKE-OSCEOLA STATE BANK	790 NORTH MICHIGAN AVENUE PO BOX DRAWER A	BALDWIN	MI	49304	041	2005-08-08T16:16:33
11640	19070	15284	11550	84201029	FIRST NATIONAL BANK OF CLARKSDALE	402 EAST SECOND STREET 	CLARKSDALE	MS	38614	041	2005-08-08T16:16:33
11837	5709	0	17705	61107861	FARMERS BANK, THE	710 SIBLEY AVENUE 	UNION POINT	GA	30669	041	2006-05-23T13:42:17
12030	17011	16258	12295	61212866	FIRST NATIONAL BANK SOUTH	423 WEST 12TH STREET 	ALMA	GA	31510	041	2005-08-08T16:16:33
12058	8297	0	0	101902117	BANK OF HOLDEN	123 WEST 2ND STREET 	HOLDEN	MO	64040	041	2005-08-08T16:16:33
12142	12201	0	16145	84202280	CLEVELAND STATE BANK, THE	110 COMMERCE AVENUE 	CLEVELAND	MS	38732	041	2005-08-08T16:16:33
12245	15093	0	12035	75907112	BANK NORTH	606 HENRIETTE AVENUE 	CRIVITZ	WI	54114	041	2005-08-08T16:16:33
12311	6560	7745	0	44000024	HUNTINGTON NATIONAL BANK, THE	17 S HIGH ST 	COLUMBUS	OH	43216	031	2005-09-01T13:43:08
12357	10199	0	0	91205089	ELLSWORTH STATE BANK	MAIN ST. 	ELLSWORTH	MN	56129	041	2005-08-08T16:16:33
12647	10012	0	11965	75904377	PORTAGE COUNTY BANK	1155 COUNTY ROAD D 	ALMOND	WI	549099777	041	2005-08-08T16:16:33
12656	14944	0	0	101107624	STATE BANK OF BURDEN	333 MAIN 	BURDEN	KS	67019	041	2005-08-08T16:16:33
12937	20226	0	14477	71001449	OAK BANK	1000 NORTH RUSH STREET P O BOX 11002	CHICAGO	IL	606111208	041	2005-08-08T16:16:33
12946	1291	0	10472	82901635	FARMERS BANK & TRUST COMPANY	200 EAST MAIN STREET 	MAGNOLIA	AR	71753	041	2005-08-08T16:16:33
12955	21704	0	14794	104001138	BANK OF NEBRASKA	7223 SOUTH 84TH STREET 	LA VISTA	NE	68128	041	2005-08-08T16:16:33
13037	848	0	13424	51501846	TRADERS BANK	303 MAIN & MARKET STREET 	SPENCER	WV	25276	041	2005-08-08T16:16:33
13103	23622	0	8406	211370859	BRISTOL COUNTY SAVINGS BANK	35 BROADWAY 	TAUNTON	MA	02780	041	2005-08-08T16:16:33
13251	10185	0	17722	91907374	ELYSIAN BANK	121 MAIN ST. 	ELYSIAN	MN	56028	041	2005-08-08T16:16:33
13309	15957	0	7838	221370108	BSB BANK & TRUST COMPANY	58-68 EXCHANGE STREET 	BINGHAMTON	NY	13901	041	2005-08-08T16:16:33
13457	5425	13423	0	104107786	FIRST NATIONAL BANK OF LEWELLEN	302 MAIN STREET 	LEWELLEN	NE	69147	041	2005-08-08T16:16:33
14052	9042	0	17355	91501411	LINCOLN COUNTY BANK	403 WEST MAIN 	MERRILL	WI	54452	041	2005-08-08T16:16:33
14155	9378	0	12104	101902146	FARMERS AND COMMERCIAL BANK	124 WEST 2ND STREET 	HOLDEN	MO	64040	041	2005-08-08T16:16:33
14258	520	0	16076	102301209	JACKSON STATE BANK & TRUST, THE	112 CENTER STREET 	JACKSON	WY	83001	041	2005-08-08T16:16:33
14409	18562	0	7913	211070175	CITIZENS BANK OF MASSACHUSETTS	28 STATE STREET 	BOSTON	MA	02110	031	2005-08-08T16:16:33
14454	8186	23459	9894	91205607	STEARNS BANK OF EVANSVILLE, NATIONAL ASSOCIATION	303 KRON STREET 	EVANSVILLE	MN	56326	041	2005-08-08T16:16:33
14650	16795	0	17319	103112730	BANK OF LOCUST GROVE	123 EAST MAIN STREET PO BOX 219	LOCUST GROVE	OK	74352	041	2005-08-08T16:16:33
14753	18101	0	0	101104711	FARMERS STATE BANK OF BUCKLIN, KANSAS, THE	111 NORTH MAIN 	BUCKLIN	KS	67834	041	2005-08-08T16:16:33
14865	16243	0	13260	123203535	BANK OF EASTERN OREGON	279 NORTH MAIN STREET 	HEPPNER	OR	97812	041	2005-08-08T16:16:33
14931	26873	0	0	67012811	FIRST WESTERN BANK	5854 SOUTH FLAMINGO ROAD 	COOPER CITY	FL	33330	041	2005-08-08T16:16:33
14940	20807	0	0	71923695	HARRIS BANK OAKBROOK TERRACE	17 WEST 695 ROOSEVELT ROAD 	OAKBROOK TERRACE	IL	60181	041	2005-08-08T16:16:33
15536	11677	0	17817	71001041	PULLMAN BANK AND TRUST COMPANY	1000 EAST 111TH STREET 	CHICAGO	IL	60628	041	2005-08-08T16:16:33
15732	25847	0	12347	61103205	FIRST COLONY BANK	300 S.MAIN STREET 	ALPHARETTA	GA	30201	041	2005-08-08T16:16:33
16337	21777	0	15172	63109702	WAKULLA BANK	2932 CRAWFORDVILLE HIGHWAY 	CRAWFORDVILLE	FL	32327	041	2005-08-08T16:16:33
16355	23277	23592	11464	107003641	BANK OF LARAMIE, NATIONAL ASSOCIATION	3908 GRAND AVENUE 	LARAMIE	WY	82070	041	2005-08-08T16:16:33
16458	17105	0	16181	101114646	DOUGLAS COUNTY BANK	9TH AND KENTUCKY 	LAWRENCE	KS	66044	041	2005-08-08T16:16:33
16551	10956	0	10191	91907471	FIRST STATE BANK OF FINLAYSON	2203 FINLAND AVENUE 	FINLAYSON	MN	55735	041	2005-08-08T16:16:33
16748	13104	0	13385	81307382	ELBERFELD STATE BANK, THE	55 MAIN STREET 	ELBERFELD	IN	47613	041	2005-08-08T16:16:33
16766	23543	0	0	121138673	PENINSULA BANK OF COMMERCE	1001 BROADWAY 	MILLBRAE	CA	94030	041	2005-08-08T16:16:33
16944	11404	0	0	72405620	WEST MICHIGAN SAVINGS BANK, THE	232 WEST MONROE 	BANGOR	MI	49013	041	2005-08-08T16:16:33
16953	10186	0	0	91204682	FIRST STATE BANK OF FERTILE	114 MILL ST. N. 	FERTILE	MN	56540	041	2005-08-08T16:16:33
17110	26189	0	0	36002085	RITTENHOUSE TRUST COMPANY, THE	3 RADNOR CORPORATE CENTER SUITE 450 	RADNOR	PA	190874546	041	2005-08-08T16:16:33
17147	4365	2234	11365	74900657	FIRST MERCHANTS BANK, NATIONAL ASSOCIATION	200 EAST JACKSON P O BOX 792	MUNCIE	IN	47305	041	2005-08-08T16:16:33
17259	26260	20838	13959	103102494	FIRST NATIONAL BANK IN MARLOW, THE	301 WEST MAIN STREET 	MARLOW	OK	73055	041	2005-08-08T16:16:33
17464	22407	0	9626	123206024	BANK OF THE CASCADES	1100 NORTHWEST WALL STREET 	BEND	OR	97701	041	2005-08-08T16:16:33
17549	1801	0	0	71920559	FIRST BANK OF OAK PARK	11 WEST MADISON 	OAK PARK	IL	60302	041	2005-08-08T16:16:33
17839	21803	0	17833	61202410	SUMTER BANK AND TRUST COMPANY	201 E LAMAR ST 	AMERICUS	GA	31709	041	2005-08-08T16:16:33
17950	2224	10844	13855	102300873	BANK OF LOVELL, NATIONAL ASSOCIATION	179 EAST THIRD STREET 	LOVELL	WY	82431	041	2005-08-08T16:16:33
18050	3091	4093	13670	114904953	FIRST NATIONAL BANK OF BASTROP, THE	1028 MAIN STREET 	BASTROP	TX	786023217	041	2005-08-08T16:16:33
18135	19536	0	9744	71001232	SOUTH CENTRAL BANK AND TRUST COMPANY OF CHICAGO	525 WEST ROOSEVELT ROAD 	CHICAGO	IL	60607	041	2005-08-08T16:16:33
18368	23273	0	17464	121138013	BANK OF WALNUT CREEK	1400 CIVIC DRIVE 	WALNUT CREEK	CA	945964127	041	2005-08-08T16:16:33
18377	34440	0	9245	231371731	BALLY SAVINGS BANK	323 MAIN STREET 	BALLY	PA	19503	041	2005-08-08T16:16:33
18827	7900	5073	9637	43307524	MERCHANTS NATIONAL BANK OF KITTANNING, THE	222 MARKET STREET 	KITTANNING	PA	16201	041	2005-08-08T16:16:33
18836	9998	0	12053	52203703	CAPON VALLEY BANK	MAIN ST BOX 119 	WARDENSVILLE	WV	26851	041	2005-08-08T16:16:33
18854	4147	5796	0	103103778	FIRST NATIONAL BANK OF MEDFORD, THE	120 NORTH FIRST STREET 	MEDFORD	OK	73759	041	2005-08-08T16:16:33
18863	25070	0	0	122240683	BUSINESS BANK OF CALIFORNIA	505 WEST 2ND STREET 	SAN BERNARDINO	CA	92401	041	2005-08-08T16:16:33
18957	15794	0	13700	101114523	FIRST STATE BANK OF BURLINGAME, THE	115 SOUTH TOPEKA AVENUE 	BURLINGAME	KS	66413	041	2005-08-08T16:16:33
19356	9881	0	0	103110907	SECURITY BANK AND TRUST COMPANY	SECURITY PLAZA, 2 SOUTH MAIN ST. 	MIAMI	OK	74354	041	2005-08-08T16:16:33
19730	16606	0	14166	71909363	STANDARD BANK AND TRUST COMPANY	7800 WEST 95TH STREET 	HICKORY HILLS	IL	60457	041	2005-08-08T16:16:33
19936	15477	0	12677	61201042	CITIZENS BANK OF AMERICUS	119 NORTH LEE STREET 	AMERICUS	GA	31709	041	2005-08-08T16:16:33
19972	34711	0	9008	243374108	FARMERS BUILDING AND SAVINGS BANK	290 WEST PARK 	ROCHESTER	PA	15074	041	2005-08-08T16:16:33
20053	10015	0	15088	91806242	SECURITY BANK	112 MAIN ST. 	NEW AUBURN	WI	54757	041	2005-08-08T16:16:33
20147	10484	0	14935	74911581	FARMERS STATE BANK	STATE AND MAIN STREETS P O BOX 188	NEW ROSS	IN	47968	041	2005-08-08T16:16:33
20259	18747	15076	0	102301979	FIRST NATIONAL BANK OF PINEDALE	61 EAST PINE STREET 	PINEDALE	WY	82941	041	2005-08-08T16:16:33
20370	23626	0	11449	125107875	FIRST HERITAGE BANK	167 LINCOLN AVENUE 	SNOHOMISH	WA	98290	041	2005-08-08T16:16:33
20512	7704	3877	12798	31309343	FIRST NATIONAL BANK OF PORT ALLEGANY	64 MAIN ST 	PORT ALLEGANY	PA	16743	041	2005-08-08T16:16:33
20633	6803	13512	0	51501723	MCNB BANK, NATIONAL ASSOCIATION	75 WYOMING ST 	WELCH	WV	24801	041	2005-08-08T16:16:33
20754	12690	0	0	101112127	STATE BANK OF COLONY	207 EAST BROAD STREET 	COLONY	KS	66015	041	2005-08-08T16:16:33
20839	19653	0	14609	61212426	COLONY BANK SOUTHEAST	103 ALABAMA STREET 	BROXTON	GA	31519	041	2005-08-08T16:16:33
20857	10998	0	15310	91902793	GRANITE FALLS BANK	702 PRENTICE ST. 	GRANITE FALLS	MN	56241	041	2005-08-08T16:16:33
20866	23181	0	0	123206367	HOME VALLEY BANK	110 SOUTHWEST 4TH STREET 	GRANTS PASS	OR	97526	041	2005-08-08T16:16:33
21256	16583	0	0	101114565	STATE BANK OF BURRTON	200 NORTH BURRTON 	BURRTON	KS	67020	041	2005-08-08T16:16:33
21359	22263	0	0	91205128	AMERICAN STATE BANK OF GRYGLA	STATE & MAIN STS. 	GRYGLA	MN	56727	041	2005-08-08T16:16:33
21630	20041	0	12528	65201789	TECHE BANK & TRUST COMPANY	200 WEST PORT STREET 	SAINT MARTINVILLE	LA	70582	041	2005-08-08T16:16:33
21658	12511	0	11730	91803355	BANK OF MONDOVI	245 S. EAU CLAIRE ST. 	MONDOVI	WI	54755	041	2005-08-08T16:16:33
22048	1753	0	12426	82901567	UNION BANK & TRUST COMPANY	102 WEST MCCLOY 	MONTICELLO	AR	71655	041	2005-08-08T16:16:33
22235	8023	0	12560	61202575	COLONY BANK ASHBURN	500 E WASHINGTON AVE 	ASHBURN	GA	31714	041	2005-08-08T16:16:33
22356	2226	10265	11817	102301089	FIRST NATIONAL BANK AND TRUST COMPANY	245 EAST FIRST STREET 	POWELL	WY	82435	041	2005-08-08T16:16:33
22459	4712	182	16359	101100016	FIRST NATIONAL BANK AND TRUST COMPANY OF LEAVENWORTH	630 DELAWARE 	LEAVENWORTH	KS	66048	041	2005-08-08T16:16:33
22543	8162	0	11909	72406506	STATE SAVINGS BANK OF FRANKFORT, MICH.	703 MAIN STREET 	FRANKFORT	MI	49635	041	2005-08-08T16:16:33
22552	10576	0	12917	91204462	FIRST SOUTHEAST BANK	3 MAIN AVENUE NORTH 	HARMONY	MN	55939	041	2005-08-08T16:16:33
22730	2452	0	0	51502159	WEST UNION BANK	105 E MAIN STREET 	WEST UNION	WV	26456	041	2005-08-08T16:16:33
22936	16673	0	10640	61212688	FARMERS & MERCHANTS BANK	201 NORTH MAIN STREET 	STATESBORO	GA	30458	041	2005-08-08T16:16:33
22954	5161	7772	9610	91204116	FIRST NATIONAL BANK	1018 HOBART STREET 	HAWLEY	MN	56549	041	2005-08-08T16:16:33
23036	25804	0	0	61103140	CB&T BANK OF MIDDLE GEORGIA	1444 WATSON BLVD 	WARNER ROBINS	GA	31099	041	2005-08-08T16:16:33
23045	24471	17748	0	72413421	WEST MICHIGAN NATIONAL BANK & TRUST	501 MAIN STREET PO BOX 1009	FRANKFORT	MI	496351009	041	2005-08-08T16:16:33
23241	4392	12132	11234	86300025	INTEGRA BANK NATIONAL ASSOCIATION	21 SOUTHEAST THIRD STREET 	EVANSVILLE	IN	47701	041	2005-08-08T16:16:33
23456	5162	6906	11509	91204763	FIRST NATIONAL BANK OF HENNING, THE	512 DOUGLAS AVE. 	HENNING	MN	56551	041	2005-08-08T16:16:33
23504	6976	9669	9545	21406667	BRIDGEHAMPTON NATIONAL BANK, THE	2200 MONTAUK HIGHWAY 	BRIDGEHAMPTON	NY	11932	041	2005-08-08T16:16:33
23540	17899	0	0	71922874	OSWEGO COMMUNITY BANK	10 NORTH MADISON 	OSWEGO	IL	60543	041	2005-08-08T16:16:33
23643	90	0	12628	82905343	COMMERCIAL BANK & TRUST COMPANY	212 WEST GAINES STREET 	MONTICELLO	AR	71655	041	2005-08-08T16:16:33
23755	5357	11412	13440	91809980	FIRST NATIONAL BANK OF NEW RICHMOND, THE	109 EAST SECOND STREET 	NEW RICHMOND	WI	54017	041	2005-08-08T16:16:33
23812	7802	148	10148	31904395	FIRST NATIONAL BANK OF CHESTER COUNTY	9 NORTH HIGH ST 	WEST CHESTER	PA	19380	041	2005-08-08T16:16:33
24006	15995	0	17455	221970980	PUTNAM COUNTY SAVINGS BANK	DREWVILLE ROAD AND CARMEL AVENUE 	BREWSTER	NY	10509	041	2005-08-08T16:16:33
24266	18396	0	0	122221686	MID-STATE BANK & TRUST	1026 GRAND AVENUE 	ARROYO GRANDE	CA	93420	041	2005-08-08T16:16:33
24453	24334	17656	9491	102305098	AMERICAN NATIONAL BANK OF ROCK SPRINGS	2515 FOOTHILL BOULEVARD 	ROCK SPRINGS	WY	82901	041	2005-08-08T16:16:33
24659	10178	0	0	91915722	PRODUCE STATE BANK	109 PARK AVENUE 	HOLLANDALE	MN	56045	041	2005-08-08T16:16:33
24668	3402	10646	17645	111912498	FIRST NATIONAL BANK OF QUITMAN, THE	412 E GOODE ST 	QUITMAN	TX	757831544	041	2005-08-08T16:16:33
24855	4155	11306	0	103111087	FIRST NATIONAL BANK OF NASH, THE	107 SOUTH MAIN STREET 	NASH	OK	73761	041	2005-08-08T16:16:33
24949	12788	14397	12050	75901590	BARABOO NATIONAL BANK, THE	101 THIRD AVENUE PO BOX 50	BARABOO	WI	53913	041	2005-08-08T16:16:33
25357	20093	0	16002	103001456	ALL AMERICA BANK	7000 WEST RENO 	OKLAHOMA CITY	OK	73101	041	2005-08-08T16:16:33
25647	22536	0	0	71924681	FAMILY BANK AND TRUST COMPANY	10360 SOUTH ROBERTS ROAD 	PALOS HILLS	IL	60465	041	2005-08-08T16:16:33
25852	14800	0	12284	91802880	S&C BANK	355 S. KNOWLES AVE. 	NEW RICHMOND	WI	54017	041	2005-08-08T16:16:33
26149	12103	0	0	71115157	PALMER STATE BANK	620 NORTH WEBSTER P O BOX 768	TAYLORVILLE	IL	62556	041	2005-08-08T16:16:33
26233	3634	13373	11771	71901811	FIRST NATIONAL BANK	101 DIXIE HIGHWAY PO BOX 550	CHICAGO HEIGHTS	IL	60411	041	2005-08-08T16:16:33
