"IDRSSD"	RCFD0010	RCFD1350	RCFD1395	RCFD1651	RCFD1727	RCFD1754	RCFD1773	RCFD2170	RCFD2221	RCFD2243	RCFD3123	RCFD3128	RCFD3210	RCFD3368	RCFD3411	RCFD3429	RCFD3433	RCFD3545	RCFD3792	RCFD3809	RCFD3812	RCFD3819	RCFD3821	RCFD3833	RCFD4336	RCFD5306	RCFD5310	RCFD5311	RCFD5320	RCFD5327	RCFD5334	RCFD5339	RCFD5340	RCFD5369	RCFD5610	RCFD7204	RCFD7205	RCFD7206	RCFD7273	RCFD7274	RCFD7275	RCFD8274	RCFD8275	RCFD8434	RCFD8764	RCFD8766	RCFD8767	RCFD8769	RCFD8770	RCFD8771	RCFD8772	RCFD8773	RCFD8774	RCFD8775	RCFD8776	RCFD8777	RCFD8778	RCFD8779	RCFDA000	RCFDA001	RCFDA002	RCFDA167	RCFDA221	RCFDA222	RCFDA223	RCFDA224	RCFDA250	RCFDB503	RCFDB504	RCFDB505	RCFDB528	RCFDB588	RCFDB589	RCFDB590	RCFDB591	RCFDB592	RCFDB593	RCFDB594	RCFDB595	RCFDB596	RCFDB600	RCFDB601	RCFDB602	RCFDB603	RCFDB604	RCFDB605	RCFDB606	RCFDB607	RCFDB608	RCFDB609	RCFDB610	RCFDB611	RCFDB612	RCFDB613	RCFDB614	RCFDB616	RCFDB617	RCFDB618	RCFDB619	RCFDB620	RCFDB621	RCFDB622	RCFDB623	RCFDB624	RCFDB625	RCFDB626	RCFDB627	RCFDB628	RCFDB629	RCFDB630	RCFDB631	RCFDB639	RCFDB640	RCFDB641	RCFDB642	RCFDB643	RCFDB644	RCFDB645	RCFDB646	RCFDB647	RCFDB648	RCFDB649	RCFDB650	RCFDB651	RCFDB652	RCFDB653	RCFDB654	RCFDB655	RCFDB656	RCFDB657	RCFDB658	RCFDB659	RCFDB660	RCFDB661	RCFDB662	RCFDB663	RCFDB664	RCFDB665	RCFDB666	RCFDB667	RCFDB668	RCFDB669	RCFDB670	RCFDB671	RCFDB672	RCFDB673	RCFDB674	RCFDB675	RCFDB676	RCFDB677	RCFDB678	RCFDB679	RCFDB680	RCFDB681	RCFDB682	RCFDB683	RCFDB684	RCFDB685	RCFDB686	RCFDB687	RCFDB688	RCFDB689	RCFDB690	RCFDB691	RCFDB693	RCFDB694	RCFDB695	RCFDB696	RCFDB697	RCFDB698	RCFDB699	RCFDB700	RCFDB701	RCFDB702	RCFDB703	RCFDB704	RCON0010	RCON1350	RCON1395	RCON1651	RCON1727	RCON1754	RCON1773	RCON2170	RCON2221	RCON2243	RCON3123	RCON3128	RCON3210	RCON3368	RCON3411	RCON3429	RCON3433	RCON3545	RCON3792	RCON3809	RCON3812	RCON3819	RCON3821	RCON3833	RCON4336	RCON5306	RCON5310	RCON5311	RCON5320	RCON5327	RCON5334	RCON5339	RCON5340	RCON5369	RCON5610	RCON7204	RCON7205	RCON7206	RCON7273	RCON7274	RCON7275	RCON8274	RCON8275	RCON8434	RCON8764	RCON8766	RCON8767	RCON8769	RCON8770	RCON8771	RCON8772	RCON8773	RCON8774	RCON8775	RCON8776	RCON8777	RCON8778	RCON8779	RCONA000	RCONA001	RCONA002	RCONA167	RCONA221	RCONA222	
1351																																																																																																																																																																																	1810	3851	0	0	0	21849	4566	80460	0	0	346	0	11574	80546	0	0	0	0	11878	0	0	0	374	0	0	0	346	346	499	24850	12798	3067	42592	0	0	0.1432	0.2194	0.2130	0.0000	0.0000	0.0000	11532	346	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1454																																																																																																																																																																																	18393	21300	0	0	0	0	88118	267793	0	0	848	0	27037	263990	0	0	0	0	26078	0	0	17718	0	0	0	0	848	848	22155	101742	38917	5111	104187	1138	0	0.0956	0.1768	0.1710	0.0000	0.0000	0.0000	25230	848	1640	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1557																																																																																																																																																																																	738	4672	0	0	0	2051	8561	34114	0	0	351	0	5784	34169	0	0	0	0	5937	0	0	0	45	1049	0	0	260	260	133	15026	3723	935	15414	0	0	0.1661	0.2863	0.2737	0.0000	0.0000	0.0000	5677	260	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91	
1632																																																																																																																																																																																	7410	0	0	0	0	0	40397	198251	0	0	2012	0	15445	198034	0	0	0	0	16868	0	0	1614	512	12645	0	0	1871	1871	2270	48417	27391	7349	121456	0	0	0.0757	0.1128	0.1003	0.0000	0.0000	0.0000	14997	1871	448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	141	
1669																																																																																																																																																																																	8711	7306	0	0	0	94401	63011	244558	0	0	714	0	37690	249809	0	0	0	0	35282	0	0	15	0	0	0	0	714	714	28942	144588	35138	3384	35719	0	0	0.1398	0.4291	0.4204	0.0000	0.0000	0.0000	34568	714	585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1829																																																																																																																																																																																	13158	0	0	0	0	0	113902	248607	530	0	1713	0	32960	246560	0	0	0	0	33185	0	0	111	58	5504	0	0	1713	2243	31579	48379	78891	6660	88943	0	0	0.1255	0.2354	0.2195	0.0000	0.0000	0.0000	30942	2243	2018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1856																																																																																																																																																																																	1590	492	0	0	0	0	3043	9176	0	0	121	0	700	9279	0	0	0	0	747	0	0	0	0	67	0	0	56	56	649	4504	1180	461	2952	0	0	0.0745	0.1693	0.1566	0.0000	0.0000	0.0000	691	56	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	
1959																																																																																																																																																																																	1384	850	0	0	0	2513	6362	17012	0	0	325	0	3537	17187	0	0	0	0	3590	0	0	0	0	0	0	0	95	95	2626	8684	117	188	5840	0	0	0.2034	0.4847	0.4719	0.0000	0.0000	0.0000	3495	95	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	230	
2040																																																																																																																																																																																	2883	881	0	0	0	314	18330	122695	0	0	1180	0	11843	122819	0	0	0	0	12762	0	0	350	0	0	0	0	1172	1172	579	11205	41949	3611	69758	160	0	0.0944	0.1368	0.1242	0.0000	0.0000	0.0000	11590	1172	253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	
2161																																																																																																																																																																																	9959	7095	0	0	0	1125	20472	92399	0	0	509	0	8293	92576	0	0	0	0	8634	0	0	120	0	0	0	0	509	509	2325	36269	21310	2696	32749	0	0	0.0878	0.1700	0.1600	0.0000	0.0000	0.0000	8125	509	168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2376																																																																																																																																																																																	3054	23000	0	0	0	41950	227810	666399	0	0	4976	0	86345	660749	0	0	0	0	89502	0	0	0	0	0	0	0	3294	3294	90761	170524	360799	13189	49080	0	0	0.1305	0.3417	0.3292	0.0000	0.0000	0.0000	86208	3294	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	1682	
2451																																																																																																																																																																																	171	160	0	0	0	412	459	11206	0	0	101	0	903	11232	47	0	0	0	1000	0	0	0	0	0	0	0	101	101	38	1160	2675	465	7430	0	0	0.0800	0.1110	0.0998	0.0000	0.0000	0.0000	899	101	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2554																																																																																																																																																																																	586	105	0	0	0	18	1270	6110	0	0	45	0	716	5947	0	0	0	0	761	0	0	0	0	0	0	0	45	45	6	1728	332	272	4089	0	0	0.1204	0.1654	0.1556	0.0000	0.0000	0.0000	716	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2732																																																																																																																																																																																	15954	11000	0	0	0	12	90054	407560	0	0	1996	0	44498	396694	0	0	0	0	43757	0	0	1448	0	0	0	0	1996	1996	5311	109645	68418	9029	223018	0	0	0.1058	0.1559	0.1488	0.0000	0.0000	0.0000	41761	1996	828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2750																																																																																																																																																																																	577	2635	0	0	0	0	4181	50281	0	0	812	0	5373	47393	0	0	0	0	5821	0	0	10	0	131	0	0	537	537	1825	5341	4024	2645	39814	0	0	0.1115	0.1363	0.1238	0.0000	0.0000	0.0000	5284	537	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	275	
2938																																																																																																																																																																																	10536	0	0	0	0	0	42138	268635	0	0	2575	0	19846	260263	0	0	0	0	21864	0	0	3980	322	3865	0	0	2575	2575	3835	45978	34276	11566	186214	0	0	0.0741	0.1005	0.0886	0.0000	0.0000	0.0000	19289	2575	557	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2956																																																																																																																																																																																	3496	10705	0	0	0	0	31781	115660	0	0	857	0	12236	116739	30	0	0	0	12784	0	0	0	100	332	0	0	770	770	10861	39807	24199	1348	41299	0	0	0.1029	0.2079	0.1954	0.0000	0.0000	0.0000	12014	770	222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87	
