"IDRSSD"	RIAD0497	RIAD4042	RIAD4136	RIAD4141	RIAD4146	RIAD4461	RIAD4462	RIAD4463	RIAD4464	RIAD4467	RIAD4468	RIAD4486	RIAD4487	RIAD4488	RIAD4489	RIAD4491	RIAD4498	RIAD4499	RIAD4521	RIAD4522	RIAD4769	RIAD5523	RIAD8403	RIADB526	RIADB527	RIADC013	RIADC014	RIADC015	RIADC016	RIADC017	RIADC018	RIADC231	TEXT4461	TEXT4462	TEXT4463	TEXT4464	TEXT4467	TEXT4468	TEXT4487	TEXT4489	TEXT4498	TEXT4499	TEXT4521	TEXT4522	TEXT4769	TEXTB526	TEXTB527	
1632	63	0	44	39	14	11	0	0	0	0	0	0	0	0	0	0	500	0	0	0	false	0	38	0	0	32	0	19	20	515	31	0	Travelers Express Net Revenue                                                                                                                                                                    								Capital Infusion from Holding Company                                                                                                                                                            							
1669	19	0	16	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	50	0	0	0	0	25	25	72	51	0																
1829	0	0	0	0	0	0	0	0	115	162	0	0	0	0	0	0	0	0	0	0	false	5	88	0	0	0	0	0	0	181	0	0				ATM/Debit Card Network expenses                                                                                                                                                                  	PA Shares Tax                                                                                                                                                                                    											
1856	0	0	0	8	0	0	0	0	9	4	4	0	0	0	0	0	0	0	0	0	false	0	3	0	0	0	0	0	0	0	7	0				FEES                                                                                                                                                                                             	TELEPHONE                                                                                                                                                                                        	ATM                                                                                                                                                                                              										
2040	39	0	34	8	9	11	14	21	13	22	17	0	0	0	0	0	0	0	0	0	false	0	21	0	0	5	0	8	7	32	38	0	Debit card fees                                                                                                                                                                                  	Miscellanous fees                                                                                                                                                                                	Insurance refund prior years                                                                                                                                                                     	Auditing expenses                                                                                                                                                                                	ATM/Debit card expense                                                                                                                                                                           	Correspondent bank service charges                                                                                                                                                               										
2161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0																
2376	0	310	224	0	0	772	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	357	0	0	Joint Venture income                                                                                                                                                                             															
2451	3	0	7	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	7	0	0	0	0	2	0	12	7	0																
2554	0	0	5	0	1	0	0	0	2	3	8	0	0	0	0	0	0	0	0	0	false	0	1	0	0	0	0	1	0	3	2	0				SOFTWARE MAINTENANCE                                                                                                                                                                             	INSURANCE & BONDS                                                                                                                                                                                	ACCOUNTING                                                                                                                                                                                       										
2732	25	0	66	31	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	96	0	0	0	0	55	15	328	74	0																
2750	0	19	17	82	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	true	0	0	-190	-526	0	66	0	0	33	0	0				Professional Fees                                                                                                                                                                                										Write off Deferred Tax Asset 65 and Built in gain Def. T                                                                                                                                         	Salary Continuation Plan 508 and prior year tax expense                                                                                                                                          	
2938	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	619	0	0																
2956	0	0	0	0	0	0	0	0	56	37	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	121	0	0				LEASE & MAINTANCE                                                                                                                                                                                	REPO & ORE EXPENSE                                                                                                                                                                               											
3252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0																
3458	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0																
3506	772	0	0	0	0	445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	Earnings from BOLI (Bank Owned Life Insurance)                                                                                                                                                   															
3579	178	0	0	0	0	93	0	0	92	90	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	146	0	Management Income                                                                                                                                                                                			Communications                                                                                                                                                                                   	Tax on Stock & Reserves                                                                                                                                                                          											
3720	102	11	20	6	8	29	25	0	18	0	0	0	0	0	0	0	0	0	0	0	false	0	37	0	0	10	32	20	24	67	39	0	Credit Card Merchant Discount                                                                                                                                                                    	Banclub Income                                                                                                                                                                                   		DDI Benefit Expense                                                                                                                                                                              												
3953	38	55	35	4	10	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	17	0	0	9	24	12	3	31	38	0	Sale of stock of Life Insurance Co.                                                                                                                                                              															
4138	0	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	101	0																
4147	39	0	0	0	0	48	42	0	42	32	31	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	65	0	0	0	0	0	MERCHANT CREDIT CARD                                                                                                                                                                             	NET SERVICE FEES                                                                                                                                                                                 		MERCHANT CREDIT CARD                                                                                                                                                                             	PROF SERVICE EXP                                                                                                                                                                                 	SUPPLIES EXP                                                                                                                                                                                     										
4156	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	70	0	0				Consulting Expense                                                                                                                                                                               												
4231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	36	0	0	0	0	0	0	54	0	0																
4437	63	0	45	65	0	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	57	0	0	0	0	0	0	185	75	0	ORIGINATION FEES - SECONDARY MARKET LOANS                                                                                                                                                        															
4745	7	0	10	2	2	1	0	0	3	5	2	0	0	0	0	0	0	0	0	0	false	0	2	0	0	0	0	1	2	6	2	0	MISCELLANEOUS                                                                                                                                                                                    			FDIC & STATE ASSESMENTS                                                                                                                                                                          	BANK SERVICE CHARGES                                                                                                                                                                             	MAINTENANCE CONTRACTS                                                                                                                                                                            										
4839	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	233	0	0																
5005	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	161	0	0	149	0	0																
5050	0	0	0	0	0	40	0	0	35	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	merchant card transactions                                                                                                                                                                       			merchant transaction expense                                                                                                                                                                     												
5069	69	0	0	-24	9	39	24	1	32	30	70	0	0	0	0	0	0	0	0	0	false	0	12	0	0	0	0	0	0	72	25	0	FEES LETTERS OF CREDIT                                                                                                                                                                           	DOCUMENTARY COLLECTION FEES                                                                                                                                                                      	OTHER FEES & CHARGES                                                                                                                                                                             	PHONE & TELEX                                                                                                                                                                                    	CORRESPONDENT & FED SERVICE CHARGES                                                                                                                                                              	AUDIT AND OTHER PROFESSIONAL SERVICES                                                                                                                                                            										
5135	8	0	14	5	6	30	0	0	70	0	0	0	0	0	0	0	0	0	0	0	false	0	4	0	0	2	0	5	17	139	17	0	Miscellaneous                                                                                                                                                                                    			Administrative Fees                                                                                                                                                                              												
5210	0	0	0	0	0	0	0	0	319	215	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	296	0	0	0	0	0				Pennsylvania Shares Tax                                                                                                                                                                          	Professional services                                                                                                                                                                            											
5247	102	0	19	50	66	337	310	0	335	361	0	0	0	0	0	0	0	0	0	0	false	0	310	0	0	174	0	125	39	313	151	0	Debit Card Income                                                                                                                                                                                	Mortgage Loan Processing Income                                                                                                                                                                  		Item Processing                                                                                                                                                                                  	ATM / Debit Card Expense                                                                                                                                                                         											
5274	0	0	49	0	0	42	0	0	28	32	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	109	0	0	Gain on Sale of NYCE Corp Stock                                                                                                                                                                  			Accounting & Audit Fees                                                                                                                                                                          	Bad Debt Collection Fees                                                                                                                                                                         											
5331	0	0	0	0	0	70	0	0	94	72	0	0	0	0	0	0	0	0	-18	0	false	0	0	0	0	0	0	0	83	247	0	0	LETTER OF CREDIT/RESALE MORTGAGE FEES                                                                                                                                                            			ATM PROCESSING FEES                                                                                                                                                                              	EXAM AND AUDIT FEES                                                                                                                                                                              						ADJ FOR OFF B/S ITEMS ALLOCATED TO LOAN LOSS RESERVE                                                                                                                                             					
5461	82	14	9	19	16	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	false	0	44	0	0	58	15	10	81	136	88	0				TELEPHONE SERVICE                                                                                                                                                                                												
5751	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	50	0	0	0	0	0																
5939	384	0	0	387	334	324	0	0	603	0	0	0	0	0	0	0	0	0	0	0	false	0	517	0	0	111	0	167	0	2313	757	0	CHARGE CARD PROCESSING INCOME                                                                                                                                                                    			TELEPHONE EXPENSE                                                                                                                                                                                												
6039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	107	0	0																
6057	3	0	0	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	6	0	0	0	0	3	0	18	8	0																
6141	8	0	22	18	4	5	0	0	8	0	0	0	0	0	0	0	0	0	0	0	false	0	19	0	0	3	0	6	0	39	23	0	fees and commissions                                                                                                                                                                             			insurance                                                                                                                                                                                        												
6329	43	0	20	82	30	185	151	78	97	48	45	0	0	0	0	0	0	0	0	0	false	0	73	157	0	0	0	19	86	0	107	0	SERVICE CHARGE AND ORIGNATION FEE                                                                                                                                                                	YIELD SPREAD PREMIUM                                                                                                                                                                             	EXCHANGE                                                                                                                                                                                         	TELEPHONE                                                                                                                                                                                        	SERVICE FEE ANALYSIS ETC                                                                                                                                                                         	MISCELLANEOUS EXPENSE                                                                                                                                                                            								OVER-ACCRUAL OF PRIOR YEARS TAXES                                                                                                                                                                		
6842	5	2	6	22	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	6	0	0	0	0	3	7	21	5	0																
6972	238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	224	0																
7009	0	0	0	0	0	6339	0	0	21058	700	0	0	0	0	0	0	15	0	0	0	true	0	0	0	0	0	0	0	0	0	0	0	Trademark Royalty Fees                                                                                                                                                                           			Investment advisory & other service fees                                                                                                                                                         	Custody Fees                                                                                                                                                                                     				See item RI-E7 below for description                                                                                                                                                             							
7045	24	0	29	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	31	0	0	5	0	10	13	0	35	0																
7157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	11	0	0	0	0	0	0	21	0	0																
7166	0	0	0	0	0	0	0	0	614	195	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	679	0	0				HOLDING CO MANAGEMENT FEES                                                                                                                                                                       	ITEM PROCESSING / FISERV                                                                                                                                                                         											
7456	16	0	25	58	13	14	0	0	15	13	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	21	0	Overdraft                                                                                                                                                                                        			PR expenses                                                                                                                                                                                      	services charges - correspondent banks                                                                                                                                                           											
7634	0	0	0	0	0	18	0	0	16	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	26	24	0	EDP Income                                                                                                                                                                                       			ATM Operation Expense                                                                                                                                                                            												
8033	3	15	35	22	3	12	0	0	26	16	14	0	0	0	0	0	0	0	0	0	false	0	16	0	0	3	0	0	18	50	14	0	Fees All Other                                                                                                                                                                                   			Taxes AdValorum                                                                                                                                                                                  	Services External Auditors                                                                                                                                                                       	Services Analysis Charges                                                                                                                                                                        										
8154	19	0	3	18	3	0	0	0	39	10	0	0	0	0	0	0	0	0	0	0	false	0	25	0	0	2	0	6	3	46	14	0				Miscellaneous Expense                                                                                                                                                                            	Education and Training                                                                                                                                                                           											
8417	0	0	0	0	0	0	0	0	4117	69299	6832	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	8412	0	0				Operating Losses                                                                                                                                                                                 	Affiliate Related Expense Allocations                                                                                                                                                            	Misc Service Charges                                                                                                                                                                             										
8462	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	22	0																
8547	0	0	0	0	0							0		0		0					false	0	0			0	0	0	0	968	0	0																
8631	25	0	51	0	0	0	0	0	21	19	0	0	0	0	0	0	0	0	0	0	false	0	17	0	0	0	0	0	0	68	19	0				DEALER PARTICIPATION                                                                                                                                                                             	COLLECTION AND REPOSSESSION EXPENSE                                                                                                                                                              											
9115	1063	0	0	0	0	0	0	0	1808	877	668	0	0	0	0	0	1000	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0				Intercompany Allocation                                                                                                                                                                          	Debit Card                                                                                                                                                                                       	Other Losses                                                                                                                                                                                     			Capital Downstream from Parent Company                                                                                                                                                           							
9160	0	0	0	0	0	96	0	0	88	57	50	0	0	0	0	0	0	0	0	0	false	0	52	0	0	0	0	0	0	159	101	0	Mortgage referral fees                                                                                                                                                                           			Rent                                                                                                                                                                                             	Insurance                                                                                                                                                                                        	Courier                                                                                                                                                                                          										
9339	142	0	44	13	17	0	0	0	0	0	0	0	0	0	0	0	0	1500	0	0	false	0	29	0	0	30	62	21	60	1092	43	0										CAPITAL INJECTION                                                                                                                                                                                						
9357	0	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	SPECIAL SERVICES FEE                                                                                                                                                                             															
9553	0	0	22	0	11	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	false	0	9	0	0	0	0	0	0	0	14	0				Donations                                                                                                                                                                                        												
9807	0	0	0	0	0	1250	0	0	1409	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	Federal tax benefits not previoulsy utilized                                                                                                                                                     			Decrease in value of bank owned life insurance                                                                                                                                                   												
9955	0	0	31	46	0							0		0		0					false	0	0			0	0	0	0	143	0	0																
10157	27	0	0	36	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	48	0	0	TRUST FEES                                                                                                                                                                                       															
10250	85	0	35	67	17	5	128	0	34	75	46	0	0	0	0	0	0	0	0	0	false	0	66	0	0	20	5	25	14	41	98	0	Merchant Credit Cards                                                                                                                                                                            	Mortgage Origination Fees                                                                                                                                                                        		Accounting                                                                                                                                                                                       	Insurance, Bond, Property, VSI                                                                                                                                                                   	Repo Expense                                                                                                                                                                                     										
10849	0	0	0	0	0	0	0	0	61	63	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0				Software maintenance expense                                                                                                                                                                     	Telephone expense                                                                                                                                                                                											
10858	0	0	0	0	0	0	0	0	163	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0				Intercompany FNNI Admin Overhead                                                                                                                                                                 												
11145	23	0	36	2	8	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	false	0	43	0	0	28	0	20	33	134	58	0				audits and exams                                                                                                                                                                                 												
11350	11	0	0	6	15	0	0	0	5	0	0	0	0	0	0	0	-86	0	0	0	false	0	6	0	0	0	0	7	3	40	9	0				TELEPHONE                                                                                                                                                                                        					REDUCTION OF CAPITAL SURPLUS PAID AS CASH DISTRIBUTION T                                                                                                                                         							
11640	0	0	72	0	0	0	0	0	36	49	37	0	0	0	0	0	0	0	0	0	false	0	39	0	0	0	107	0	0	38	40	0				Loan and Collection Expense                                                                                                                                                                      	Sales and State Income Tax                                                                                                                                                                       	Bounce Protection Fee Expense                                                                                                                                                                    										
11837	34	0	0	0	0	42	29		33			0		0		0					false	0	0			0	0	0	0	30	0	0	Mtg. Origination Fees - Farmers Funding	Miscellaneous Fees		Item Processing												
12030	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	206	124	0																
12058	0	0	0	0	0	0	0	0	123	0	0	0	0	0	0	0	0	0	0	0	false	0	41	0	0	0	0	0	0	0	46	0				FEES-OUTSIDE SERVICES, CORRESPONDENT BANKS                                                                                                                                                       												
12142	24	0	34	7	13	16	0	0	54	30	15	0	0	0	0	0	0	0	0	0	false	0	50	0	0	11	0	27	23	0	67	0	appraisal fees                                                                                                                                                                                   			consulting                                                                                                                                                                                       	telephone                                                                                                                                                                                        	accounting                                                                                                                                                                                       										
12245	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	38	0	0	0	62	0	0					SUPPLIES                                                                                                                                                                                         											
12311	0	0	0	0	0	175344	23119	11643	49325	13508	0	0	0	0	0	0	-670000	0	-22297	-4256	false	0	0	0	0	0	0	0	0	0	0	0	Gain on sale of Florida operations                                                                                                                                                               	Bank Owned Life Insurance Income                                                                                                                                                                 	Check card fees                                                                                                                                                                                  	Restructuring and other Special Charges                                                                                                                                                          	Corporate Overhead                                                                                                                                                                               				Return of capital subsequent to sale of Florida operatio                                                                                                                                         		Allowance of assets sold                                                                                                                                                                         	Allowance of securitized loans                                                                                                                                                                   				
12357	1	0	1	5	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	false	0	3	0	0	0	0	3	0	0	7	0	Collections                                                                                                                                                                                      			Insurance                                                                                                                                                                                        												
12647	16	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	19	0	0	0	0	0	0	61	0	0	service fee on loans                                                                                                                                                                             															
12656	2	0	15	19	1	2	1		6	5	27	0		0		0					false	0	4			0	0	2	2	3	7	0	MISCELLANEOUS INCOME                                                                                                                                                                             	CHECK CASHING FEES                                                                                                                                                                               		TELEPHONE EXPENSE                                                                                                                                                                                	TRAVEL EXPENSES                                                                                                                                                                                  	CONSULTANT FEES                                                                                                                                                                                  										
12937	0	0	42	53	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	54	42	0	0				Insurance                                                                                                                                                                                        												
12946	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	210	0	0	0	0	0																
12955	0	0	0	0	0	0	0	0	45	33	0	0	0	0	0	0	0	0	0	0	false	0	34	0	0	0	0	0	0	0	56	0				EXAMS & ACCOUNTING                                                                                                                                                                               	TELEPHONE                                                                                                                                                                                        											
13037	0	0	51	0	0							0		0		0					false	0	0			0	0	0	0	0	0	0																
13103	0	0	0	0	0	0	0	0	282	0	0	0	0	0	0	0	0	0	-133	0	false	0	0	0	0	0	0	0	0	346	0	0				Item Processing                                                                                                                                                                                  							reclass off balance sheet exposures to RC-G                                                                                                                                                      					
13251	5	1	6	12	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	3	0	0	1	9	7	0																
13309	0	0	0	0	0	0	0	0	935	865	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0				Computer Service Fee                                                                                                                                                                             	Software Maint. Srvc - Special Services                                                                                                                                                          											
