"IDRSSD"	RIAD0497	RIAD4042	RIAD4136	RIAD4141	RIAD4146	RIAD4461	RIAD4462	RIAD4463	RIAD4464	RIAD4467	RIAD4468	RIAD4486	RIAD4487	RIAD4488	RIAD4489	RIAD4491	RIAD4498	RIAD4499	RIAD4522	RIAD4769	RIAD5523	RIAD6373	RIAD8403	RIADB526	RIADB527	RIADC013	RIADC014	RIADC015	RIADC016	RIADC017	RIADC018	TEXT4461	TEXT4462	TEXT4463	TEXT4464	TEXT4467	TEXT4468	TEXT4487	TEXT4489	TEXT4498	TEXT4499	TEXT4522	TEXT4769	TEXTB526	TEXTB527	
1351	10	0	17	4	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	51	0	0	0	0	12	11	0	32															
1454	380	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	284	0	0	0	0	0	0	0	409															
1557	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0															
1632	164	0	90	56	31	27	0	0	0	0	0	0	0	0	0	0	375	0	0	false	0	0	75	0	0	52	0	46	45	435	63	Travelers Express Net Revenue                                                                                                                                                                    								Stock Option Appreciation Adjustment per KPMG                                                                                                                                                    						
1669	48	0	50	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	104	0	0	0	0	39	45	126	93															
1829	0	0	0	0	0	0	0	0	239	308	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	381	0				ATM/Debit Card Network Expenses                                                                                                                                                                  	PA Shares Tax                                                                                                                                                                                    										
1856	0	0	0	21	0	0	0	0	16	8	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	15				FEES                                                                                                                                                                                             	ATM                                                                                                                                                                                              										
1959	0	0	19	15	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0				Real estate foreclosure costs                                                                                                                                                                    											
2040	83	3	64	16	17	15	29	0	3	26	36	0	0	0	0	0	0	0	0	false	0	0	59	0	0	10	0	17	16	33	91	Debit card fees                                                                                                                                                                                  	Miscellanous customer fees                                                                                                                                                                       		ORE writedown                                                                                                                                                                                    	Auditing expense                                                                                                                                                                                 	ATM/Debit card expense                                                                                                                                                                           									
2161	0	103	149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	121	119															
2376	0	644	0	0	0	1983	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	641	0	Joint venture income                                                                                                                                                                             														
2451	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	false	0	0	11	0	0	0	0	2	0	0	0				Subs, Dues, Membership                                                                                                                                                                           											
2554	0	0	9	0	1	25	0	0	9	6	3	0	0	0	0	0	0	0	0	false	0	0	3	0	0	0	0	3	0	5	4	misc                                                                                                                                                                                             			accounting                                                                                                                                                                                       	insurance & bonds                                                                                                                                                                                	exams                                                                                                                                                                                            									
2732	305	0	79	65	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	173	0	0	0	0	105	59	698	199															
2750	0	53	0	88	0	0	0	0	175	155	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	73	0	0	68	0				Settelement on Lawsuit                                                                                                                                                                           	Other Real Estate Owned Expenses                                                                                                                                                                 										
2938	0	0	0	0	0	3264	0	0	0	0	0	0	0	0	0	0	319	129	0	false	0	0	0	0	0	0	0	0	0	1038	0	GAIN ON THE SALE OF COLQUITT, GA. BRANCH                                                                                                                                                         								CAPITAL INFUSION                                                                                                                                                                                 	STOCK OPTION APPRECIATION ADJUSTMENTS                                                                                                                                                            					
2956	0	0	0	0	0	0	0	0	92	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	219	0				lease & maintance                                                                                                                                                                                											
3252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0															
3458	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0															
3506	1093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0															
3579	257	0	0	0	0	0	186	0	166	206	0	0	0	0	0	0	0	0	552	false	0	0	0	0	0	0	0	0	0	0	201		Management Income                                                                                                                                                                                		Communications                                                                                                                                                                                   	Tax on Stock & Reserves                                                                                                                                                                          						Bal. of allow. of merged institution                                                                                                                                                             				
3720	147	23	95	35	17	54	58	0	67	0	0	0	0	0	0	0	0	0	0	false	0	0	75	0	0	19	64	18	70	122	69	Credit card merchant discount                                                                                                                                                                    	Banclub income                                                                                                                                                                                   		DDI Benefit Expense                                                                                                                                                                              											
3953	101	109	69	81	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	40	0	0	7	51	14	5	70	92															
4138	113	0	151	13	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	70	0	0	22	0	26	24	113	175															
4147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	82	128	0	106	0	0															
4156	0	0	0	0	0	0	0	0	73	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	135	83				Exam and audit expenses                                                                                                                                                                          											
4231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	62	0	0	0	0	0	0	125	0															
4437	0	0	0	128	0	128	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	283	112	ORIGINATION FEES - SECONDARY MARKET LOANS                                                                                                                                                        														
4745	2	0	20	5	2	2	0	0	4	10	4	0	0	0	0	0	0	0	0	false	0	0	4	0	0	0	0	1	4	11	4	MISC.                                                                                                                                                                                            			STATE ASSESSMENT                                                                                                                                                                                 	BANK SERVICE CHGS.                                                                                                                                                                               	FREIGHT & EXPRESS                                                                                                                                                                                									
4839	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	418	0															
5005	220	0	0	0	0	251	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	246	0	0	267	0	Defined Benefit Plan Termination                                                                                                                                                                 														
5050	0	0	0	0	0	78	0	0	67	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	96	merchant card discount income                                                                                                                                                                    			merchant card expense                                                                                                                                                                            											
5069	164	0	0	92	56	33	109	0	74	70	50	0	0	0	0	0	0	0	0	false	0	0	22	0	0	0	0	1	0	143	40				TELEPHONE & TELEX                                                                                                                                                                                	AUDIT AND OTHER PROFESSIONAL SERVICES                                                                                                                                                            	SERVICE CHARGES-CORRESPONDENT BANKS AND FED.                                                                                                                                                     									
5135	17	0	23	34	13	30	4	13	88	125	0	0	0	0	0	0	0	0	0	false	0	0	9	0	0	3	0	9	32	251	35	Miscellaneous Income                                                                                                                                                                             	Early Withdrawal Penalties                                                                                                                                                                       	Check Cashing Fees                                                                                                                                                                               	Auditing Fees                                                                                                                                                                                    	Administrative Fees                                                                                                                                                                              										
5210	0	0	0	0	0	0	0	0	603	540	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0				Pennsylvania Shares Tax                                                                                                                                                                          	Professional Services                                                                                                                                                                            										
5247	241	0	38	15	125	740	0	0	651	564	0	0	0	0	0	0	0	0	0	false	0	0	563	0	0	262	0	229	80	528	412	Mortgage Loan Processing Income                                                                                                                                                                  			Item Processing Expense                                                                                                                                                                          	Cash Station Expense                                                                                                                                                                             										
5274	0	0	100	0	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	216	0				Accounting & Audit                                                                                                                                                                               											
5331	0	0	0	0	0	0	0	0	199	0	0	0	0	0	0	0	0	0	-177	false	0	0	0	0	0	0	0	0	189	484	0				ATM PROCESSING FEES                                                                                                                                                                              							LISTING OF OFF BALANCE SHEET ALLOCATED LOAN LOSS RESERVE                                                                                                                                         				
5461	131	26	21	81	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	73	0	0	67	1001	16	162	242	153															
5751	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	90	0	0	0	0															
5939	0	0	0	0	0	4483	0	0	2016	0	0	0	0	0	0	0	21	0	-613	false	0	0	0	0	0	0	0	0	0	7387	0	GAIN ON SALE OF DEPOSITS                                                                                                                                                                         			LOAN COLLECTION & REPO EXPENSE                                                                                                                                                                   					TAX EFFECT OF OPTIONS EXERCISED                                                                                                                                                                  		TRANSFER TO LOANS DISCOUNT                                                                                                                                                                       				
6039	0	0	0	0	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	232	0	MORTGAGE PREPARATION FEES                                                                                                                                                                        														
6057	4	0	18	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	7	0	0	0	0	3	0	30	12	Collection fees                                                                                                                                                                                  														
6141	14	0	43	44	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	34	0	0	7	0	6	0	71	38															
6329	113	0	41	239	58	298	93	0	179	146	59	0	0	0	0	0	0	0	0	false	0	0	156	0	0	0	0	29	152	0	119	Yield Spread premium                                                                                                                                                                             	Exchange                                                                                                                                                                                         		Telephone                                                                                                                                                                                        	Office Supplies                                                                                                                                                                                  	Miscellaneous  Expense                                                                                                                                                                           									
6842	11	2	22	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	16	0	0	0	0	4	10	42	16															
6972	543	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	-1803	0	0	0	0	0	0	0													CORRECTION OF LIFE INSURANCE CV ACCRUAL                                                                                                                                                          		
7009	0	0	0	0	0	11971	0	0	34944	1352	0	0	0	0	0	0	16	0	0	true	0	0	0	0	0	0	0	0	0	0	0	Trademark royalty fees                                                                                                                                                                           			Investment advisory  other service fees                                                                                                                                                          	Custody fees                                                                                                                                                                                     				See item RI-E7 below for description                                                                                                                                                             						
7045	66	0	57	38	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	67	0	0	11	0	17	30	0	68															
7157	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	29	0	0	0	0	0	0	39	23															
7166	0	0	0	0	0	0	0	0	1076	331	0	0	0	0	0	0	1500	0	0	false	0	0	0	0	0	0	0	0	0	1502	0				HOLDING COMPANY MANAGEMENT FEES                                                                                                                                                                  	THIRD PARTY VENDOR EXPENSE                                                                                                                                                                       				INFUSION OF CAPITAL FROM H/C                                                                                                                                                                     						
7456	28	0	33	67	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0				Utilities and Rent                                                                                                                                                                               											
7634	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	54	EDP Income                                                                                                                                                                                       														
8033	7	42	84	44	7	16	3	0	52	33	29	0	0	0	0	0	0	0	0	false	0	0	30	0	0	6	0	8	14	95	29	Fees All Other                                                                                                                                                                                   	Bk Card , ATM & Check Card Income                                                                                                                                                                		Taxes AdValorem                                                                                                                                                                                  	Services  External Auditors                                                                                                                                                                      	Services Analysis Charges                                                                                                                                                                        									
8154	49	0	0	29	0	0	0	0	49	68	13	0	0	0	0	0	0	0	0	false	0	0	0	0	0	5	0	6	6	84	22				Communications (Postage & Telephone)                                                                                                                                                             	Micellaneous Expense                                                                                                                                                                             	Education & Seminars                                                                                                                                                                             									
8417	0	0	0	6866	0	0	0	0	67851	7011	7001	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	12834	0				Affiliate related expense allocations                                                                                                                                                            	Software                                                                                                                                                                                         	Miscellaneous losses                                                                                                                                                                             									
8462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	57															
8547	0	0	0	0	0							0		0		0			2845	false	0	0	0			0	0	0	0	1177	0											ADJUSTMENT DUE TO MERGER-- EFFECTIVE NOVEMBER 9, 2001.                                                                                                                                           				
8631	60	0	103	0	0	0	0	0	68	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	71	53				DEALER PARTICIPATION                                                                                                                                                                             											
9115	1565	0	0	0	0	0	0	0	2806	1269	1201	0	0	0	0	0	3350	0	0	false	0	0	0	0	0	0	0	0	0	0	0				Miscellaneous Expense                                                                                                                                                                            	Debit Card Expense                                                                                                                                                                               	Travel & Entertainment                                                                                                                                                                           			Capital Downstream from Parent Company                                                                                                                                                           						
9160	0	0	0	0	0	195	0	0	161	111	101	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	208	226	Mortgage Referral Fees                                                                                                                                                                           			Rent                                                                                                                                                                                             	Item Processing                                                                                                                                                                                  	Insurance                                                                                                                                                                                        									
9339	244	0	86	36	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	74	0	0	0	0	40	0	2088	160															
9357	0	0	0	0	0	0	0	0	256	0	0	0	0	0	0	0	4100	0	0	false	0	0	0	0	0	0	0	0	0	0	0				OTHER EXPENSE                                                                                                                                                                                    					CAPITAL CONTRIBUTION FROM FIDELITY BANCSHARES INC                                                                                                                                                						
9553	13	0	43	9	8	0	0	0	11	15	18	0	0	0	0	0	0	0	0	false	0	0	20	0	0	0	0	4	11	16	30				Telephone                                                                                                                                                                                        	Insurance                                                                                                                                                                                        	Service Charges                                                                                                                                                                                  									
9807	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33858	0	0	false	0	0	0	0	0	0	0	0	0	0	0									Contribution of additional capital                                                                                                                                                               						
9955	0	0	0	0	0							0		0		0				false	0	0	0			0	0	0	0	280	0															
10157	0	0	71	0	0	98	0	0	67	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	102	0	TRUST FEES                                                                                                                                                                                       			PROFESSIONAL FEES                                                                                                                                                                                											
10250	212	0	85	27	33	32	398	0	45	156	38	0	0	0	0	0	2000	0	0	false	0	0	132	0	0	42	25	38	22	55	235	Merchant credit cards                                                                                                                                                                            	Mortgage Origination Fees                                                                                                                                                                        		Education                                                                                                                                                                                        	Insurance, fidelity, property and vsi                                                                                                                                                            	Loss on od s and checks                                                                                                                                                                          			Holding Company Capital Injections                                                                                                                                                               						
10849	0	0	0	0	0	0	0	0	151	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	14	0	24	14	0	0				Telephone expense                                                                                                                                                                                											
10858	0	0	0	0	0	0	0	0	327	350	0	0	0	0	0	0	0	0	8	false	0	0	0	0	0	0	0	0	0	0	0				I/C FNNI Adm Overhead-FNNI & Subs                                                                                                                                                                	I/C IS Serv Exp - FNNI & Subs                                                                                                                                                                    						Loan Loss Due to Branch Acquisition                                                                                                                                                              				
11145	104	0	84	5	16	0	0	0	86	0	0	0	0	0	0	0	0	0	0	false	0	0	80	0	0	56	0	23	48	267	128				audits and exams                                                                                                                                                                                 											
11350	29	0	0	15	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	23	0	0	0	0	9	3	79	18															
11640	0	0	126	0	0	0	0	0	108	0	0	0	0	0	0	0	0	0	0	false	0	0	0	-7	0	0	196	0	0	0	109				Sales & State Income Tax                                                                                                                                                                         									2000 State of MS Income Tax Due                                                                                                                                                                  		
11837	78	0	0	0	0				58	64		0		0		0				false	0	0	0			0	0	0	0	0	0				Data Processing Expense	Item Processing Expense										
12030	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	284	316															
12058	0	0	0	0	0	0	0	0	205	0	0	0	0	0	0	0	1450	0	0	true	0	0	0	0	0	0	0	0	0	0	114				FEES - CORRESPONDENT BANKS, OUTSIDE SERVICES                                                                                                                                                     					THERE WAS A $1.45MM CAPITAL INFUSION BY THE HOLDING COMP                                                                                                                                         						
12142	52	0	67	18	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	112	0	0	46	0	27	46	0	181															
12245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	84	0	0	0	125	0															
12311	0	0	0	0	0	38242	699857	24928	65309	30456	533734	0	0	0	0	0	-125200	0	-6653	true	0	0	0	-63580	0	0	0	0	0	0	0	Income from Bank Owned Life Insurance	OPERATING LEASE INCOME	Check Card Fees	Restructuring and other special charges	Corporate overhead charges	OPERATING LEASE EXPENSE			Surplus reduction-partially converted to subordinated de		Allowance for securitized loans		Change in accounting method for derivatives                                                                                                    Restatement due to Corr. of Mat acctg errors		
12357	5	0	11	14	5	2	0	0	8	4	3	0	0	0	0	0	0	0	0	false	0	0	8	0	0	0	0	3	0	0	13	Collections                                                                                                                                                                                      			Insurance                                                                                                                                                                                        	Association Dues & Periodicals                                                                                                                                                                   	Donations                                                                                                                                                                                        									
12647	0	0	0	0	0	225	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	116	40	service fee of real estate loans                                                                                                                                                                 														
12656	6	0	29	8	2	2	4		16	8	9	0		0		0				true	0	0	16	7		0	0	2	4	12	17	CHECK CASHING FEES                                                                                                                                                                               	MISC INCOME                                                                                                                                                                                      		BOND PREMIUMS                                                                                                                                                                                    	COMMITTEE FEES                                                                                                                                                                                   	CORRESPONDENT SERVICE CHARGES                                                                                                                                                                    							UPDATE 2000 TAX ACCRUALS                                                                                                                                                                         		
12937	0	0	0	106	0	0	0	0	102	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	135	91	0				Insurance                                                                                                                                                                                        											
12946	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0															
12955	0	0	0	261	0	0	0	0	76	0	0	0	0	0	0	0	0	0	0	false	0	0	87	0	0	0	0	0	0	0	108				EXAMS & ACCOUNTING                                                                                                                                                                               											
13037	0	0	108	0	0							0		0		0				false	0	0	0			0	0	0	0	0	0															
13103	0	0	0	0	0	0	0	0	538	0	0	0	0	0	0	0	0	0	0	false	0	0	0	1	-2	0	0	0	0	674	0				Item processing charges                                                                                                                                                                          									amendment of 3/31 minority interest (this should be -1)                                                                                                                                          	this corrects the 3/31 amendment the right way                                                                                                                                                   	
13251	17	0	6	24	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	10	0	0	33	0	6	0	11	12															
13309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-15000	0	0	false	0	0	0	0	0	0	0	0	0	0	0									DIVIDEND                                                                                                                                                                                         						
13457	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	50	0	0	20	21				Charitable Contributions                                                                                                                                                                         											
14052	51	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	42	0	0	0	0	0	0	107	42															
14155	94	0	12	1	10	0	0	0	103	0	68	0	0	0	0	0	0	0	0	false	0	0	64	0	0	32	16	16	16	155	56				CONSULTING FEES                                                                                                                                                                                  		DIRECT MAIL EXP                                                                                                                                                                                  									
14258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0															
14409	19847	0	0	0	0	15335	0	0	0	0	0	70	0	0	0	0	18164	0	-1743	false	0	207	0	0	0	0	12989	0	25425	0	0	International Fees                                                                                                                                                                               								Purchase Accounting Adjustment                                                                                                                                                                   		Sale of Subsidiary                                                                                                                                                                               				
14454	0	0	0	0	0	0	0	0	41	167	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	59	0				Service Charge Leases                                                                                                                                                                            	Management Fees                                                                                                                                                                                  										
14650	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	46	0	0	0	28	0	0	90	29	EXCHANGE AND COLLECTIONS                                                                                                                                                                         														
14753	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	23	0	0	0	0	0	0	74	0															
14865	0	0	0	0	0	70	221	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	93	0	0	0	0	0	0	0	121	Mortgage Prep Fees                                                                                                                                                                               	Mortgage Broker Fees                                                                                                                                                                             													
14931	0	0	0	70	0				68	41	66	0		0		0				false	0	0	26			0	0	0	0	153	0				Corr. Bk. Chgs. (38) & Insurance (30)                                                                                                                                                            	Audit & Accounting Fees                                                                                                                                                                          	Courier (34) & Software Deprec. (32)                                                                                                                                                             									
14940	154	0	0	0	0	235	0	0	880	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	346	0	Fees from affiliates-mtge loan orig                                                                                                                                                              			Holding co. admin & processing fees                                                                                                                                                              											
15536	193	0	44	649	208							0		0		0				false	0	0	154			204	0	192	279	962	334															
15732	0	0	0	0	0	866	0	0	0	0	0	0	0	0	0	0	350	0	0	true	0	0	0	0	0	0	0	0	0	383	0	Mortgage Origination Fees                                                                                                                                                                        								CAPITAL FROM HOLD.CO.MAR & SEPT                                                                                                                                                                  						
